REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PX4-102
PATNUM:,3314
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19920212
LOWFRQ:,10200
HGHFRQ:,10700
GUNITS:,DBI/DBR
LWGAIN:,39.7
MDGAIN:,39.9
HGGAIN:,40.1
AZWIDT:,1.80
ELWIDT:,1.80
ATVSWR:,1.10
FRTOBA:,45.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,43
-180.00,-45.00,
-170.00,-45.00,
-170.00,-50.00,
-130.00,-50.00,
-100.00,-36.00,
-40.00,-36.00,
-30.00,-35.00,
-30.00,-33.40,
-25.00,-32.00,
-20.00,-32.00,
-20.00,-30.50,
-18.00,-30.00,
-15.00,-28.00,
-15.00,-27.00,
-10.00,-24.00,
-4.00,-24.00,
-2.50,-19.40,
-2.00,-16.00,
-1.50,-10.00,
-1.00,-4.10,
-0.50,-1.00,
0.00,0.00,
0.50,-1.00,
1.00,-4.10,
1.50,-10.00,
2.00,-16.00,
2.50,-19.40,
4.00,-24.00,
10.00,-24.00,
15.00,-27.00,
15.00,-28.00,
18.00,-30.00,
20.00,-30.50,
20.00,-32.00,
25.00,-32.00,
30.00,-33.40,
30.00,-35.00,
40.00,-36.00,
100.00,-36.00,
130.00,-50.00,
170.00,-50.00,
170.00,-45.00,
180.00,-45.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,17
-180.00,-58.00,
-140.00,-58.00,
-110.00,-53.00,
-40.00,-52.00,
-15.00,-47.00,
-12.50,-43.00,
-2.50,-43.00,
-1.10,-30.00,
0.00,-30.00,
1.10,-30.00,
2.50,-43.00,
12.50,-43.00,
15.00,-47.00,
40.00,-52.00,
110.00,-53.00,
140.00,-58.00,
180.00,-58.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,33
-180.00,-45.00,
-170.00,-45.00,
-170.00,-50.00,
-140.00,-50.00,
-121.00,-41.00,
-110.00,-38.00,
-29.00,-38.00,
-20.00,-34.00,
-15.00,-30.00,
-12.40,-26.00,
-3.50,-26.00,
-2.50,-19.40,
-2.00,-16.00,
-1.50,-10.00,
-1.00,-4.00,
-0.50,-1.00,
0.00,0.00,
0.50,-1.00,
1.00,-4.00,
1.50,-10.00,
2.00,-16.00,
2.50,-19.40,
3.50,-26.00,
12.40,-26.00,
15.00,-30.00,
20.00,-34.00,
29.00,-38.00,
110.00,-38.00,
121.00,-41.00,
140.00,-50.00,
170.00,-50.00,
170.00,-45.00,
180.00,-45.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,21
-180.00,-52.00,
-170.00,-52.00,
-170.00,-55.00,
-130.00,-55.00,
-112.00,-51.70,
-75.00,-48.00,
-15.00,-48.00,
-12.50,-45.00,
-3.00,-45.00,
-1.10,-30.00,
0.00,-30.00,
1.10,-30.00,
3.00,-45.00,
12.50,-45.00,
15.00,-48.00,
75.00,-48.00,
112.00,-51.70,
130.00,-55.00,
170.00,-55.00,
170.00,-52.00,
180.00,-52.00,
ENDFIL:,EOF
