REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,P4-105
PATNUM:,3002A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19911127
LOWFRQ:,10500
HGHFRQ:,10700
GUNITS:,DBI/DBR
LWGAIN:,39.8
MDGAIN:,39.9
HGGAIN:,40.0
AZWIDT:,1.80
ELWIDT:,1.80
ATVSWR:,1.15
FRTOBA:,45.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,77
-180.00,-45.00,
-170.00,-45.00,
-170.00,-48.00,
-120.00,-48.00,
-110.00,-40.00,
-95.00,-40.00,
-90.00,-42.00,
-75.00,-42.00,
-63.00,-36.00,
-40.00,-36.00,
-20.00,-34.00,
-15.00,-34.00,
-11.50,-34.00,
-10.50,-30.00,
-9.00,-30.00,
-8.00,-26.00,
-6.50,-26.00,
-5.00,-24.00,
-3.50,-24.00,
-2.50,-21.00,
-2.00,-21.00,
-1.50,-10.00,
-1.40,-8.20,
-1.30,-6.60,
-1.20,-5.30,
-1.10,-4.30,
-1.00,-3.40,
-0.90,-2.60,
-0.90,-2.00,
-0.80,-1.50,
-0.70,-1.00,
-0.60,-0.70,
-0.50,-0.50,
-0.40,-0.30,
-0.30,-0.10,
-0.30,-0.10,
-0.20,0.00,
-0.10,0.00,
0.00,0.00,
0.10,0.00,
0.20,0.00,
0.30,-0.10,
0.30,-0.10,
0.40,-0.30,
0.50,-0.50,
0.60,-0.70,
0.70,-1.00,
0.80,-1.50,
0.90,-2.00,
0.90,-2.60,
1.00,-3.40,
1.10,-4.30,
1.20,-5.30,
1.30,-6.60,
1.40,-8.20,
1.50,-10.00,
2.00,-21.00,
2.50,-21.00,
3.50,-24.00,
5.00,-24.00,
6.50,-26.00,
8.00,-26.00,
9.00,-30.00,
10.50,-30.00,
11.50,-34.00,
15.00,-34.00,
20.00,-34.00,
40.00,-36.00,
63.00,-36.00,
75.00,-42.00,
90.00,-42.00,
95.00,-40.00,
110.00,-40.00,
120.00,-48.00,
170.00,-48.00,
170.00,-45.00,
180.00,-45.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,23
-180.00,-53.00,
-170.00,-53.00,
-170.00,-57.00,
-120.00,-57.00,
-107.00,-52.00,
-75.00,-52.00,
-60.00,-51.00,
-30.00,-51.00,
-15.00,-46.00,
-4.00,-46.00,
-1.80,-30.00,
0.00,-30.00,
1.80,-30.00,
4.00,-46.00,
15.00,-46.00,
30.00,-51.00,
60.00,-51.00,
75.00,-52.00,
107.00,-52.00,
120.00,-57.00,
170.00,-57.00,
170.00,-53.00,
180.00,-53.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,61
-180.00,-45.00,
-170.00,-45.00,
-170.00,-48.00,
-120.00,-48.00,
-105.00,-40.00,
-80.00,-40.00,
-75.00,-42.00,
-50.00,-42.00,
-40.00,-36.00,
-30.00,-36.00,
-15.00,-31.50,
-13.00,-31.50,
-9.00,-26.00,
-7.00,-26.00,
-3.00,-22.00,
-2.00,-22.00,
-1.50,-10.00,
-1.40,-8.20,
-1.30,-6.60,
-1.20,-5.40,
-1.10,-4.30,
-1.00,-3.40,
-0.90,-2.70,
-0.90,-2.00,
-0.80,-1.50,
-0.70,-1.10,
-0.60,-0.70,
-0.50,-0.50,
-0.40,-0.30,
-0.30,-0.20,
0.00,0.00,
0.30,-0.20,
0.40,-0.30,
0.50,-0.50,
0.60,-0.70,
0.70,-1.10,
0.80,-1.50,
0.90,-2.00,
0.90,-2.70,
1.00,-3.40,
1.10,-4.30,
1.20,-5.40,
1.30,-6.60,
1.40,-8.20,
1.50,-10.00,
2.00,-22.00,
3.00,-22.00,
7.00,-26.00,
9.00,-26.00,
13.00,-31.50,
15.00,-31.50,
30.00,-36.00,
40.00,-36.00,
50.00,-42.00,
75.00,-42.00,
80.00,-40.00,
105.00,-40.00,
120.00,-48.00,
170.00,-48.00,
170.00,-45.00,
180.00,-45.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,25
-180.00,-53.00,
-170.00,-53.00,
-170.00,-57.00,
-120.00,-57.00,
-105.00,-53.00,
-50.00,-53.00,
-45.00,-51.00,
-30.00,-51.00,
-20.00,-39.00,
-15.00,-39.00,
-3.00,-39.00,
-1.80,-30.00,
0.00,-30.00,
1.80,-30.00,
3.00,-39.00,
15.00,-39.00,
20.00,-39.00,
30.00,-51.00,
45.00,-51.00,
50.00,-53.00,
105.00,-53.00,
120.00,-57.00,
170.00,-57.00,
170.00,-53.00,
180.00,-53.00,
ENDFIL:,EOF
