REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHX4-105
PATNUM:,2012A
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19970223
LOWFRQ:,10500
HGHFRQ:,10700
GUNITS:,DBI/DBR
LWGAIN:,39.8
MDGAIN:,39.9
HGGAIN:,40.0
AZWIDT:,1.70
ELWIDT:,1.70
ATVSWR:,1.08
FRTOBA:,70.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,66
-180.00,-70.00,
-100.00,-70.00,
-93.90,-67.10,
-80.80,-64.60,
-76.40,-63.50,
-70.70,-59.20,
-66.30,-54.10,
-60.20,-51.10,
-56.20,-47.70,
-53.30,-46.90,
-47.10,-46.90,
-43.70,-46.40,
-37.20,-45.60,
-23.50,-45.60,
-15.80,-42.70,
-15.00,-42.70,
-10.90,-42.70,
-9.00,-38.40,
-8.70,-37.90,
-7.90,-37.90,
-6.20,-31.60,
-5.60,-29.50,
-4.10,-24.60,
-3.00,-24.60,
-2.00,-16.00,
-1.80,-13.00,
-1.60,-10.20,
-1.40,-7.80,
-1.20,-5.80,
-1.00,-4.00,
-0.80,-2.60,
-0.60,-1.40,
-0.40,-0.60,
-0.20,-0.20,
0.00,0.00,
0.20,-0.20,
0.40,-0.60,
0.60,-1.40,
0.80,-2.60,
1.00,-4.00,
1.20,-5.80,
1.40,-7.80,
1.60,-10.20,
1.80,-13.00,
2.00,-16.00,
3.20,-19.90,
4.90,-27.10,
5.40,-27.10,
6.40,-31.10,
7.10,-33.50,
8.90,-35.50,
9.70,-38.40,
14.10,-38.70,
15.00,-38.70,
16.20,-38.70,
22.70,-43.50,
25.80,-43.50,
30.90,-45.60,
41.00,-50.40,
46.70,-53.90,
57.80,-54.50,
60.80,-57.20,
68.10,-61.10,
72.90,-61.60,
84.20,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,30
-180.00,-73.00,
-70.00,-73.00,
-60.50,-69.00,
-47.30,-66.30,
-36.20,-63.50,
-17.90,-63.20,
-15.00,-59.30,
-13.90,-57.80,
-6.10,-57.80,
-5.10,-48.70,
-4.30,-46.90,
-4.00,-46.90,
-2.00,-45.00,
-1.60,-40.10,
-1.50,-33.00,
1.50,-33.00,
1.60,-40.10,
2.70,-49.00,
3.10,-52.70,
4.50,-56.40,
5.80,-58.90,
15.00,-58.90,
17.90,-58.90,
22.50,-65.40,
32.20,-67.50,
35.10,-67.50,
42.30,-69.70,
55.20,-69.70,
70.00,-73.00,
180.00,-73.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,63
-180.00,-70.00,
-85.00,-70.00,
-75.30,-64.30,
-71.30,-62.70,
-65.20,-57.10,
-61.70,-54.50,
-41.40,-54.50,
-37.10,-49.90,
-27.00,-49.40,
-23.40,-47.00,
-15.90,-40.10,
-15.00,-40.10,
-10.60,-40.10,
-9.60,-39.60,
-8.60,-36.70,
-7.70,-36.70,
-6.00,-29.70,
-5.60,-27.90,
-3.00,-27.90,
-2.00,-16.00,
-1.80,-13.00,
-1.60,-10.90,
-1.40,-7.80,
-1.20,-5.80,
-1.00,-4.00,
-0.80,-2.60,
-0.60,-1.40,
-0.40,-0.60,
-0.20,-0.20,
0.00,0.00,
0.20,-0.20,
0.40,-0.60,
0.60,-1.40,
0.80,-2.60,
1.00,-4.00,
1.20,-5.80,
1.40,-7.80,
1.60,-10.20,
1.80,-13.00,
2.00,-16.00,
2.10,-18.10,
3.20,-20.70,
5.00,-26.20,
5.60,-26.20,
6.30,-31.00,
7.30,-34.20,
9.10,-34.20,
10.80,-38.60,
15.00,-38.60,
16.10,-38.60,
22.20,-43.60,
26.00,-43.60,
31.10,-46.30,
39.80,-49.20,
41.00,-49.20,
47.10,-51.70,
54.80,-51.70,
57.50,-54.60,
62.20,-61.20,
65.80,-63.90,
75.80,-67.50,
80.00,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,35
-180.00,-70.00,
-100.00,-70.00,
-97.40,-67.40,
-69.40,-66.50,
-54.60,-65.30,
-38.80,-65.30,
-33.70,-60.90,
-17.90,-60.90,
-15.00,-60.20,
-14.20,-60.00,
-14.00,-59.50,
-12.00,-58.90,
-10.50,-58.90,
-5.70,-58.90,
-4.10,-51.60,
-3.30,-46.80,
-2.00,-45.40,
-1.70,-43.70,
-1.60,-36.00,
1.50,-36.00,
1.60,-42.00,
2.10,-49.00,
3.20,-49.50,
4.00,-54.70,
5.90,-58.60,
6.80,-60.80,
13.00,-60.80,
14.60,-61.70,
15.00,-61.70,
40.40,-61.70,
45.30,-63.80,
52.70,-67.40,
70.70,-68.60,
100.00,-70.00,
180.00,-70.00,
ENDFIL:,EOF
