REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,P6-105
PATNUM:,3146B
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19910907
LOWFRQ:,10500
HGHFRQ:,10700
GUNITS:,DBI/DBR
LWGAIN:,43.4
MDGAIN:,43.5
HGGAIN:,43.6
AZWIDT:,1.20
ELWIDT:,1.20
ATVSWR:,1.10
FRTOBA:,51.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,59
-180.00,-51.00,
-170.00,-51.00,
-170.00,-53.00,
-120.00,-53.00,
-108.00,-43.00,
-100.00,-43.00,
-95.00,-45.00,
-70.00,-45.00,
-60.00,-39.00,
-22.00,-39.00,
-20.00,-37.00,
-15.00,-37.00,
-8.50,-37.00,
-7.00,-33.00,
-4.50,-33.00,
-3.50,-26.00,
-2.50,-26.00,
-2.00,-24.00,
-1.30,-24.00,
-1.20,-15.80,
-1.10,-11.70,
-1.00,-9.50,
-0.90,-6.60,
-0.80,-4.90,
-0.60,-2.90,
-0.50,-1.60,
-0.40,-0.80,
-0.30,-0.30,
-0.10,0.00,
0.00,0.00,
0.10,0.00,
0.30,-0.30,
0.40,-0.80,
0.50,-1.60,
0.60,-2.90,
0.80,-4.90,
0.90,-6.60,
1.00,-9.50,
1.10,-11.70,
1.20,-15.80,
1.30,-24.00,
2.00,-24.00,
2.50,-26.00,
3.50,-26.00,
4.50,-33.00,
7.00,-33.00,
8.50,-37.00,
15.00,-37.00,
20.00,-37.00,
22.00,-39.00,
60.00,-39.00,
70.00,-45.00,
95.00,-45.00,
100.00,-43.00,
108.00,-43.00,
120.00,-53.00,
170.00,-53.00,
170.00,-51.00,
180.00,-51.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,17
-180.00,-58.00,
-50.00,-58.00,
-25.00,-55.00,
-15.00,-55.00,
-8.50,-55.00,
-4.00,-47.00,
-2.00,-47.00,
-1.20,-30.00,
0.00,-30.00,
1.20,-30.00,
2.00,-47.00,
4.00,-47.00,
8.50,-55.00,
15.00,-55.00,
25.00,-55.00,
50.00,-58.00,
180.00,-58.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,63
-180.00,-51.00,
-170.00,-51.00,
-170.00,-53.00,
-160.00,-53.00,
-122.00,-53.00,
-109.00,-42.00,
-97.00,-42.00,
-95.00,-44.00,
-55.00,-44.00,
-35.00,-40.00,
-33.00,-38.00,
-25.00,-38.00,
-22.00,-33.00,
-15.00,-33.00,
-11.00,-33.00,
-10.00,-32.00,
-7.50,-31.50,
-4.50,-31.50,
-4.00,-28.00,
-2.50,-26.00,
-2.00,-23.00,
-1.30,-23.00,
-1.20,-15.50,
-1.10,-11.70,
-0.90,-8.50,
-0.80,-5.80,
-0.60,-3.30,
-0.50,-1.70,
-0.30,-0.80,
-0.20,-0.30,
-0.10,0.00,
0.00,0.00,
0.10,0.00,
0.20,-0.30,
0.30,-0.80,
0.50,-1.70,
0.60,-3.30,
0.80,-5.80,
0.90,-8.50,
1.10,-11.70,
1.20,-15.50,
1.30,-23.00,
2.00,-23.00,
2.50,-26.00,
4.00,-28.00,
4.50,-31.50,
7.50,-31.50,
10.00,-32.00,
11.00,-33.00,
15.00,-33.00,
22.00,-33.00,
25.00,-38.00,
33.00,-38.00,
35.00,-40.00,
55.00,-44.00,
95.00,-44.00,
97.00,-42.00,
109.00,-42.00,
122.00,-53.00,
160.00,-53.00,
170.00,-53.00,
170.00,-51.00,
180.00,-51.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,15
-180.00,-58.00,
-20.00,-58.00,
-15.00,-56.00,
-13.50,-56.00,
-12.00,-49.00,
-2.50,-49.00,
-1.20,-30.00,
0.00,-30.00,
1.20,-30.00,
2.50,-49.00,
12.00,-49.00,
13.50,-56.00,
15.00,-56.00,
20.00,-58.00,
180.00,-58.00,
ENDFIL:,EOF
