REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PX6-105
PATNUM:,3290B
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19910907
LOWFRQ:,10500
HGHFRQ:,10700
GUNITS:,DBI/DBR
LWGAIN:,43.4
MDGAIN:,43.5
HGGAIN:,43.6
AZWIDT:,1.20
ELWIDT:,1.20
ATVSWR:,1.15
FRTOBA:,49.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,65
-180.00,-49.00,
-170.00,-49.00,
-170.00,-51.00,
-118.00,-51.00,
-108.00,-44.00,
-100.00,-44.00,
-90.00,-46.00,
-70.00,-46.00,
-65.00,-41.00,
-45.00,-41.00,
-40.00,-39.00,
-35.00,-39.00,
-25.00,-37.00,
-20.00,-37.00,
-19.00,-33.00,
-15.00,-33.00,
-11.50,-33.00,
-9.50,-28.00,
-4.50,-25.50,
-2.50,-25.50,
-2.00,-23.50,
-1.40,-23.50,
-1.30,-18.70,
-1.10,-14.00,
-1.00,-10.70,
-0.90,-8.10,
-0.80,-6.00,
-0.60,-3.60,
-0.50,-2.20,
-0.40,-1.20,
-0.30,-0.40,
-0.10,0.00,
0.00,0.00,
0.10,0.00,
0.30,-0.40,
0.40,-1.20,
0.50,-2.20,
0.60,-3.60,
0.80,-6.00,
0.90,-8.10,
1.00,-10.70,
1.10,-14.00,
1.30,-18.70,
1.40,-23.50,
2.00,-23.50,
2.50,-25.50,
4.50,-25.50,
9.50,-28.00,
11.50,-33.00,
15.00,-33.00,
19.00,-33.00,
20.00,-37.00,
25.00,-37.00,
35.00,-39.00,
40.00,-39.00,
45.00,-41.00,
65.00,-41.00,
70.00,-46.00,
90.00,-46.00,
100.00,-44.00,
108.00,-44.00,
118.00,-51.00,
170.00,-51.00,
170.00,-49.00,
180.00,-49.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,19
-180.00,-60.00,
-25.00,-60.00,
-20.00,-57.00,
-15.00,-57.00,
-13.00,-57.00,
-11.00,-55.00,
-9.50,-50.00,
-2.50,-50.00,
-1.20,-30.00,
0.00,-30.00,
1.20,-30.00,
2.50,-50.00,
9.50,-50.00,
11.00,-55.00,
13.00,-57.00,
15.00,-57.00,
20.00,-57.00,
25.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,69
-180.00,-49.00,
-170.00,-49.00,
-170.00,-51.00,
-115.00,-51.00,
-106.00,-42.00,
-100.00,-42.00,
-90.00,-47.00,
-60.00,-47.00,
-55.00,-44.00,
-40.00,-44.00,
-35.00,-40.00,
-25.00,-40.00,
-21.00,-36.00,
-15.00,-36.00,
-12.00,-36.00,
-11.00,-31.50,
-8.50,-31.50,
-8.00,-29.00,
-4.50,-29.00,
-4.00,-26.50,
-2.50,-26.50,
-2.00,-24.00,
-1.30,-24.00,
-1.20,-16.90,
-1.10,-14.00,
-1.10,-12.00,
-1.00,-9.10,
-0.90,-6.80,
-0.80,-5.20,
-0.60,-2.60,
-0.40,-1.60,
-0.30,-0.80,
-0.20,-0.30,
-0.10,0.00,
0.00,0.00,
0.10,0.00,
0.20,-0.30,
0.30,-0.80,
0.40,-1.60,
0.60,-2.60,
0.80,-5.20,
0.90,-6.80,
1.00,-9.10,
1.10,-12.00,
1.10,-14.00,
1.20,-16.90,
1.30,-24.00,
2.00,-24.00,
2.50,-26.50,
4.00,-26.50,
4.50,-29.00,
8.00,-29.00,
8.50,-31.50,
11.00,-31.50,
12.00,-36.00,
15.00,-36.00,
21.00,-36.00,
25.00,-40.00,
35.00,-40.00,
40.00,-44.00,
55.00,-44.00,
60.00,-47.00,
90.00,-47.00,
100.00,-42.00,
106.00,-42.00,
115.00,-51.00,
170.00,-51.00,
170.00,-49.00,
180.00,-49.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.00,-59.00,
-60.00,-59.00,
-50.00,-56.00,
-15.00,-56.00,
-13.00,-56.00,
-12.00,-50.00,
-2.00,-50.00,
-1.20,-30.00,
0.00,-30.00,
1.20,-30.00,
2.00,-50.00,
12.00,-50.00,
13.00,-56.00,
15.00,-56.00,
50.00,-56.00,
60.00,-59.00,
180.00,-59.00,
ENDFIL:,EOF
