REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HP8-105
PATNUM:,3259C
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19910907
LOWFRQ:,10500
HGHFRQ:,10700
GUNITS:,DBI/DBR
LWGAIN:,45.8
MDGAIN:,45.9
HGGAIN:,46.0
AZWIDT:,0.90
ELWIDT:,0.90
ATVSWR:,1.06
FRTOBA:,68.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,57
-180.00,-68.00,
-170.00,-68.00,
-170.00,-70.00,
-90.00,-70.00,
-80.00,-63.00,
-65.00,-47.00,
-40.00,-47.00,
-25.00,-40.00,
-15.00,-40.00,
-10.00,-40.00,
-8.00,-36.00,
-5.50,-36.00,
-4.50,-31.00,
-4.00,-30.00,
-3.00,-24.00,
-2.00,-24.00,
-1.50,-22.00,
-1.00,-22.00,
-1.00,-19.20,
-0.90,-15.70,
-0.80,-12.40,
-0.80,-10.00,
-0.70,-7.10,
-0.60,-4.70,
-0.40,-2.60,
-0.30,-1.50,
-0.30,-0.50,
-0.10,-0.20,
0.00,0.00,
0.10,-0.20,
0.30,-0.50,
0.30,-1.50,
0.40,-2.60,
0.60,-4.70,
0.70,-7.10,
0.80,-10.00,
0.80,-12.40,
0.90,-15.70,
1.00,-19.20,
1.00,-22.00,
1.50,-22.00,
2.00,-24.00,
3.00,-24.00,
4.00,-30.00,
4.50,-31.00,
5.50,-36.00,
8.00,-36.00,
10.00,-40.00,
15.00,-40.00,
25.00,-40.00,
40.00,-47.00,
65.00,-47.00,
80.00,-63.00,
90.00,-70.00,
170.00,-70.00,
170.00,-68.00,
180.00,-68.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,19
-180.00,-73.00,
-85.00,-73.00,
-60.00,-63.00,
-25.00,-54.00,
-15.00,-54.00,
-6.50,-54.00,
-5.00,-45.00,
-2.00,-45.00,
-0.90,-30.00,
0.00,-30.00,
0.90,-30.00,
2.00,-45.00,
5.00,-45.00,
6.50,-54.00,
15.00,-54.00,
25.00,-54.00,
60.00,-63.00,
85.00,-73.00,
180.00,-73.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,61
-180.00,-68.00,
-100.00,-68.00,
-75.00,-65.00,
-65.00,-53.00,
-45.00,-50.00,
-30.00,-44.00,
-25.50,-44.00,
-20.00,-37.00,
-15.00,-35.50,
-10.00,-35.50,
-9.50,-34.00,
-7.50,-32.00,
-5.00,-31.00,
-3.00,-25.50,
-1.10,-25.50,
-1.10,-24.60,
-1.10,-22.90,
-1.00,-20.50,
-1.00,-17.60,
-0.90,-14.80,
-0.90,-12.10,
-0.80,-10.10,
-0.70,-7.10,
-0.70,-5.70,
-0.60,-4.60,
-0.60,-3.50,
-0.50,-2.30,
-0.40,-1.40,
-0.30,-0.70,
-0.20,-0.20,
0.00,0.00,
0.20,-0.20,
0.30,-0.70,
0.40,-1.40,
0.50,-2.30,
0.60,-3.50,
0.60,-4.60,
0.70,-5.70,
0.70,-7.10,
0.80,-10.10,
0.90,-12.10,
0.90,-14.80,
1.00,-17.60,
1.00,-20.50,
1.10,-22.90,
1.10,-24.60,
1.10,-25.50,
3.00,-25.50,
5.00,-31.00,
7.50,-32.00,
9.50,-34.00,
10.00,-35.50,
15.00,-35.50,
20.00,-37.00,
25.50,-44.00,
30.00,-44.00,
45.00,-50.00,
65.00,-53.00,
75.00,-65.00,
100.00,-68.00,
180.00,-68.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,23
-180.00,-68.00,
-85.00,-68.00,
-55.00,-58.00,
-25.00,-58.00,
-15.00,-55.00,
-10.00,-55.00,
-9.00,-51.50,
-4.00,-51.50,
-3.00,-48.00,
-2.00,-48.00,
-0.90,-30.00,
0.00,-30.00,
0.90,-30.00,
2.00,-48.00,
3.00,-48.00,
4.00,-51.50,
9.00,-51.50,
10.00,-55.00,
15.00,-55.00,
25.00,-58.00,
55.00,-58.00,
85.00,-68.00,
180.00,-68.00,
ENDFIL:,EOF
