REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HPX8-105
PATNUM:,3274A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19910919
LOWFRQ:,10500
HGHFRQ:,10700
GUNITS:,DBI/DBR
LWGAIN:,45.8
MDGAIN:,45.9
HGGAIN:,46.0
AZWIDT:,0.90
ELWIDT:,0.90
ATVSWR:,1.06
FRTOBA:,68.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,63
-180.00,-68.00,
-90.00,-68.00,
-63.00,-52.00,
-45.00,-51.00,
-35.00,-48.00,
-28.00,-48.00,
-25.00,-44.00,
-15.00,-40.00,
-13.00,-37.00,
-10.00,-37.00,
-9.50,-35.50,
-7.00,-35.50,
-6.50,-32.00,
-3.50,-32.00,
-2.00,-27.00,
-1.10,-27.00,
-1.10,-24.50,
-1.00,-22.10,
-1.00,-19.00,
-0.90,-16.80,
-0.90,-14.70,
-0.80,-12.10,
-0.80,-9.40,
-0.60,-6.80,
-0.60,-5.30,
-0.50,-4.20,
-0.40,-2.50,
-0.30,-1.50,
-0.30,-0.80,
-0.20,-0.30,
-0.10,-0.10,
0.00,0.00,
0.10,-0.10,
0.20,-0.30,
0.30,-0.80,
0.30,-1.50,
0.40,-2.50,
0.50,-4.20,
0.60,-5.30,
0.60,-6.80,
0.80,-9.40,
0.80,-12.10,
0.90,-14.70,
0.90,-16.80,
1.00,-19.00,
1.00,-22.10,
1.10,-24.50,
1.10,-27.00,
2.00,-27.00,
3.50,-32.00,
6.50,-32.00,
7.00,-35.50,
9.50,-35.50,
10.00,-37.00,
13.00,-37.00,
15.00,-40.00,
25.00,-44.00,
28.00,-48.00,
35.00,-48.00,
45.00,-51.00,
63.00,-52.00,
90.00,-68.00,
180.00,-68.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,29
-180.00,-68.00,
-80.00,-68.00,
-75.00,-65.00,
-55.00,-63.00,
-28.00,-63.00,
-15.00,-57.00,
-11.00,-57.00,
-9.00,-51.00,
-6.00,-51.00,
-5.00,-50.00,
-3.00,-50.00,
-2.50,-48.00,
-2.00,-48.00,
-0.90,-30.00,
0.00,-30.00,
0.90,-30.00,
2.00,-48.00,
2.50,-48.00,
3.00,-50.00,
5.00,-50.00,
6.00,-51.00,
9.00,-51.00,
11.00,-57.00,
15.00,-57.00,
28.00,-63.00,
55.00,-63.00,
75.00,-65.00,
80.00,-68.00,
180.00,-68.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,67
-180.00,-68.00,
-170.00,-68.00,
-170.00,-70.00,
-90.00,-70.00,
-85.00,-66.00,
-70.00,-63.00,
-63.00,-54.00,
-45.00,-54.00,
-38.00,-49.00,
-30.00,-49.00,
-20.00,-41.00,
-15.00,-41.00,
-5.50,-37.00,
-4.50,-30.00,
-1.50,-24.50,
-1.00,-24.50,
-1.00,-21.60,
-1.00,-19.70,
-1.00,-18.40,
-0.90,-16.20,
-0.90,-13.90,
-0.80,-12.30,
-0.80,-10.40,
-0.70,-8.40,
-0.60,-6.90,
-0.60,-5.40,
-0.50,-4.40,
-0.50,-3.30,
-0.40,-2.50,
-0.30,-1.60,
-0.30,-1.00,
-0.20,-0.40,
-0.20,-0.10,
0.00,0.00,
0.20,-0.10,
0.20,-0.40,
0.30,-1.00,
0.30,-1.60,
0.40,-2.50,
0.50,-3.30,
0.50,-4.40,
0.60,-5.40,
0.60,-6.90,
0.70,-8.40,
0.80,-10.40,
0.80,-12.30,
0.90,-13.90,
0.90,-16.20,
1.00,-18.40,
1.00,-19.70,
1.00,-21.60,
1.00,-24.50,
1.50,-24.50,
4.50,-30.00,
5.50,-37.00,
15.00,-41.00,
20.00,-41.00,
30.00,-49.00,
38.00,-49.00,
45.00,-54.00,
63.00,-54.00,
70.00,-63.00,
85.00,-66.00,
90.00,-70.00,
170.00,-70.00,
170.00,-68.00,
180.00,-68.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,25
-180.00,-67.00,
-80.00,-67.00,
-70.00,-65.00,
-60.00,-62.00,
-40.00,-61.00,
-20.00,-59.00,
-15.00,-59.00,
-12.00,-52.50,
-7.50,-52.50,
-4.00,-48.00,
-2.50,-44.00,
-0.90,-30.00,
0.00,-30.00,
0.90,-30.00,
2.50,-44.00,
4.00,-48.00,
7.50,-52.50,
12.00,-52.50,
15.00,-59.00,
20.00,-59.00,
40.00,-61.00,
60.00,-62.00,
70.00,-65.00,
80.00,-67.00,
180.00,-67.00,
ENDFIL:,EOF
