REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HP10-105
PATNUM:,3260C
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19910906
LOWFRQ:,10500
HGHFRQ:,10700
GUNITS:,DBI/DBR
LWGAIN:,47.7
MDGAIN:,47.8
HGGAIN:,47.9
AZWIDT:,0.80
ELWIDT:,0.80
ATVSWR:,1.06
FRTOBA:,70.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,55
-180.00,-70.00,
-170.00,-70.00,
-170.00,-73.00,
-97.00,-73.00,
-85.00,-67.00,
-70.00,-53.00,
-50.00,-49.00,
-32.00,-45.00,
-32.00,-43.00,
-15.00,-43.00,
-7.50,-43.00,
-6.00,-36.00,
-4.50,-36.00,
-3.50,-26.00,
-2.00,-24.00,
-0.90,-24.00,
-0.80,-19.50,
-0.80,-16.10,
-0.70,-13.20,
-0.70,-10.20,
-0.60,-8.30,
-0.50,-6.80,
-0.50,-4.90,
-0.40,-3.50,
-0.30,-2.20,
-0.20,-0.90,
-0.20,-0.10,
0.00,0.00,
0.20,-0.10,
0.20,-0.90,
0.30,-2.20,
0.40,-3.50,
0.50,-4.90,
0.50,-6.80,
0.60,-8.30,
0.70,-10.20,
0.70,-13.20,
0.80,-16.10,
0.80,-19.50,
0.90,-24.00,
2.00,-24.00,
3.50,-26.00,
4.50,-36.00,
6.00,-36.00,
7.50,-43.00,
15.00,-43.00,
32.00,-43.00,
32.00,-45.00,
50.00,-49.00,
70.00,-53.00,
85.00,-67.00,
97.00,-73.00,
170.00,-73.00,
170.00,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,25
-180.00,-74.00,
-85.00,-74.00,
-67.00,-65.00,
-52.00,-65.00,
-47.00,-58.00,
-30.00,-58.00,
-20.00,-53.00,
-15.00,-53.00,
-6.50,-53.00,
-3.00,-42.00,
-2.00,-42.00,
-0.80,-30.00,
0.00,-30.00,
0.80,-30.00,
2.00,-42.00,
3.00,-42.00,
6.50,-53.00,
15.00,-53.00,
20.00,-53.00,
30.00,-58.00,
47.00,-58.00,
52.00,-65.00,
67.00,-65.00,
85.00,-74.00,
180.00,-74.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,59
-180.00,-70.00,
-170.00,-70.00,
-170.00,-73.00,
-87.00,-73.00,
-80.00,-66.00,
-67.00,-57.00,
-30.00,-45.00,
-23.00,-45.00,
-20.00,-40.00,
-15.00,-37.00,
-10.00,-37.00,
-7.50,-32.00,
-4.00,-32.00,
-2.00,-25.00,
-1.20,-25.00,
-1.10,-23.90,
-1.00,-21.90,
-1.00,-19.50,
-0.90,-17.50,
-0.80,-16.10,
-0.80,-14.90,
-0.70,-12.60,
-0.60,-9.10,
-0.60,-6.90,
-0.50,-4.40,
-0.40,-2.60,
-0.30,-1.50,
-0.20,-0.60,
-0.10,-0.10,
0.00,0.00,
0.10,-0.10,
0.20,-0.60,
0.30,-1.50,
0.40,-2.60,
0.50,-4.40,
0.60,-6.90,
0.60,-9.10,
0.70,-12.60,
0.80,-14.90,
0.80,-16.10,
0.90,-17.50,
1.00,-19.50,
1.00,-21.90,
1.10,-23.90,
1.20,-25.00,
2.00,-25.00,
4.00,-32.00,
7.50,-32.00,
10.00,-37.00,
15.00,-37.00,
20.00,-40.00,
23.00,-45.00,
30.00,-45.00,
67.00,-57.00,
80.00,-66.00,
87.00,-73.00,
170.00,-73.00,
170.00,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,25
-180.00,-74.00,
-85.00,-74.00,
-70.00,-67.00,
-55.00,-67.00,
-22.00,-59.00,
-15.00,-59.00,
-14.00,-59.00,
-12.00,-52.00,
-8.00,-52.00,
-6.50,-45.00,
-2.00,-45.00,
-0.80,-30.00,
0.00,-30.00,
0.80,-30.00,
2.00,-45.00,
6.50,-45.00,
8.00,-52.00,
12.00,-52.00,
14.00,-59.00,
15.00,-59.00,
22.00,-59.00,
55.00,-67.00,
70.00,-67.00,
85.00,-74.00,
180.00,-74.00,
ENDFIL:,EOF
