REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HPX10-105
PATNUM:,3280A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19910907
LOWFRQ:,10500
HGHFRQ:,10700
GUNITS:,DBI/DBR
LWGAIN:,47.7
MDGAIN:,47.8
HGGAIN:,47.9
AZWIDT:,0.80
ELWIDT:,0.80
ATVSWR:,1.06
FRTOBA:,70.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,63
-180.00,-70.00,
-95.00,-70.00,
-90.00,-68.00,
-80.00,-60.00,
-67.00,-53.00,
-60.00,-53.00,
-55.00,-51.00,
-40.00,-51.00,
-35.00,-46.00,
-20.00,-46.00,
-15.00,-39.50,
-10.50,-39.50,
-10.00,-37.00,
-6.00,-35.00,
-4.00,-30.00,
-3.50,-30.00,
-2.00,-25.00,
-1.00,-25.00,
-0.90,-23.90,
-0.90,-20.90,
-0.80,-15.70,
-0.70,-13.20,
-0.70,-10.80,
-0.60,-8.30,
-0.50,-6.40,
-0.50,-4.70,
-0.40,-2.90,
-0.30,-1.70,
-0.20,-0.80,
-0.10,-0.20,
-0.10,-0.10,
0.00,0.00,
0.10,-0.10,
0.10,-0.20,
0.20,-0.80,
0.30,-1.70,
0.40,-2.90,
0.50,-4.70,
0.50,-6.40,
0.60,-8.30,
0.70,-10.80,
0.70,-13.20,
0.80,-15.70,
0.90,-20.90,
0.90,-23.90,
1.00,-25.00,
2.00,-25.00,
3.50,-30.00,
4.00,-30.00,
6.00,-35.00,
10.00,-37.00,
10.50,-39.50,
15.00,-39.50,
20.00,-46.00,
35.00,-46.00,
40.00,-51.00,
55.00,-51.00,
60.00,-53.00,
67.00,-53.00,
80.00,-60.00,
90.00,-68.00,
95.00,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,23
-180.00,-73.00,
-83.00,-73.00,
-63.00,-66.00,
-35.00,-66.00,
-25.00,-64.00,
-20.00,-60.00,
-15.00,-60.00,
-11.00,-60.00,
-5.00,-46.50,
-1.50,-46.50,
-0.80,-30.00,
0.00,-30.00,
0.80,-30.00,
1.50,-46.50,
5.00,-46.50,
11.00,-60.00,
15.00,-60.00,
20.00,-60.00,
25.00,-64.00,
35.00,-66.00,
63.00,-66.00,
83.00,-73.00,
180.00,-73.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,53
-180.00,-70.00,
-95.00,-70.00,
-85.00,-67.00,
-73.00,-56.00,
-60.00,-56.00,
-25.00,-44.00,
-18.00,-44.00,
-15.00,-39.00,
-11.00,-39.00,
-10.00,-37.00,
-5.50,-37.00,
-4.50,-32.00,
-3.00,-28.00,
-2.00,-24.00,
-1.00,-24.00,
-0.90,-17.20,
-0.80,-13.70,
-0.70,-10.90,
-0.60,-8.50,
-0.50,-5.70,
-0.50,-4.10,
-0.40,-2.70,
-0.30,-1.60,
-0.20,-0.60,
-0.20,-0.20,
-0.10,-0.10,
0.00,0.00,
0.10,-0.10,
0.20,-0.20,
0.20,-0.60,
0.30,-1.60,
0.40,-2.70,
0.50,-4.10,
0.50,-5.70,
0.60,-8.50,
0.70,-10.90,
0.80,-13.70,
0.90,-17.20,
1.00,-24.00,
2.00,-24.00,
3.00,-28.00,
4.50,-32.00,
5.50,-37.00,
10.00,-37.00,
11.00,-39.00,
15.00,-39.00,
18.00,-44.00,
25.00,-44.00,
60.00,-56.00,
73.00,-56.00,
85.00,-67.00,
95.00,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,29
-180.00,-70.00,
-84.00,-70.00,
-75.00,-64.00,
-60.00,-62.00,
-50.00,-59.00,
-23.00,-59.00,
-18.00,-55.00,
-15.00,-55.00,
-12.50,-55.00,
-11.50,-50.00,
-11.00,-50.00,
-8.50,-45.00,
-2.00,-45.00,
-0.80,-30.00,
0.00,-30.00,
0.80,-30.00,
2.00,-45.00,
8.50,-45.00,
11.00,-50.00,
11.50,-50.00,
12.50,-55.00,
15.00,-55.00,
18.00,-55.00,
23.00,-59.00,
50.00,-59.00,
60.00,-62.00,
75.00,-64.00,
84.00,-70.00,
180.00,-70.00,
ENDFIL:,EOF
