REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PX10-105
PATNUM:,3292B
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19910907
LOWFRQ:,10500
HGHFRQ:,10700
GUNITS:,DBI/DBR
LWGAIN:,47.7
MDGAIN:,47.8
HGGAIN:,47.9
AZWIDT:,0.80
ELWIDT:,0.80
ATVSWR:,1.10
FRTOBA:,52.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,77
-180.00,-52.00,
-170.00,-52.00,
-170.00,-54.00,
-160.00,-56.00,
-103.00,-56.00,
-97.00,-47.00,
-90.00,-47.00,
-88.00,-49.00,
-65.00,-49.00,
-50.00,-47.00,
-45.00,-44.00,
-20.00,-44.00,
-15.00,-43.00,
-13.00,-39.00,
-11.00,-39.00,
-10.00,-37.50,
-6.00,-37.50,
-5.50,-32.50,
-2.50,-32.50,
-2.00,-30.00,
-2.00,-27.00,
-1.50,-23.00,
-1.00,-23.00,
-0.90,-19.10,
-0.80,-16.80,
-0.80,-14.60,
-0.80,-12.50,
-0.70,-10.70,
-0.60,-9.10,
-0.60,-7.50,
-0.60,-6.30,
-0.50,-4.90,
-0.40,-3.60,
-0.40,-2.50,
-0.30,-1.60,
-0.20,-0.80,
-0.10,-0.30,
-0.10,-0.10,
0.00,0.00,
0.10,-0.10,
0.10,-0.30,
0.20,-0.80,
0.30,-1.60,
0.40,-2.50,
0.40,-3.60,
0.50,-4.90,
0.60,-6.30,
0.60,-7.50,
0.60,-9.10,
0.70,-10.70,
0.80,-12.50,
0.80,-14.60,
0.80,-16.80,
0.90,-19.10,
1.00,-23.00,
1.50,-23.00,
2.00,-27.00,
2.00,-30.00,
2.50,-32.50,
5.50,-32.50,
6.00,-37.50,
10.00,-37.50,
11.00,-39.00,
13.00,-39.00,
15.00,-43.00,
20.00,-44.00,
45.00,-44.00,
50.00,-47.00,
65.00,-49.00,
88.00,-49.00,
90.00,-47.00,
97.00,-47.00,
103.00,-56.00,
160.00,-56.00,
170.00,-54.00,
170.00,-52.00,
180.00,-52.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,21
-180.00,-66.00,
-15.00,-66.00,
-9.50,-66.00,
-9.00,-63.00,
-8.00,-63.00,
-7.50,-56.00,
-5.50,-56.00,
-5.00,-54.00,
-2.00,-54.00,
-0.80,-30.00,
0.00,-30.00,
0.80,-30.00,
2.00,-54.00,
5.00,-54.00,
5.50,-56.00,
7.50,-56.00,
8.00,-63.00,
9.00,-63.00,
9.50,-66.00,
15.00,-66.00,
180.00,-66.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,63
-180.00,-52.00,
-170.00,-52.00,
-170.00,-54.00,
-160.00,-56.00,
-102.00,-56.00,
-97.00,-49.00,
-90.00,-49.00,
-88.00,-50.00,
-40.00,-50.00,
-30.00,-46.00,
-25.00,-46.00,
-15.00,-42.00,
-12.00,-42.00,
-11.00,-40.00,
-7.00,-40.00,
-6.00,-38.00,
-4.50,-33.00,
-3.00,-33.00,
-2.50,-30.50,
-2.00,-30.50,
-1.50,-19.00,
-1.00,-18.00,
-0.90,-14.90,
-0.80,-11.90,
-0.70,-8.70,
-0.60,-6.30,
-0.50,-3.50,
-0.40,-2.20,
-0.30,-1.10,
-0.20,-0.50,
-0.10,-0.10,
0.00,0.00,
0.10,-0.10,
0.20,-0.50,
0.30,-1.10,
0.40,-2.20,
0.50,-3.50,
0.60,-6.30,
0.70,-8.70,
0.80,-11.90,
0.90,-14.90,
1.00,-18.00,
1.50,-19.00,
2.00,-30.50,
2.50,-30.50,
3.00,-33.00,
4.50,-33.00,
6.00,-38.00,
7.00,-40.00,
11.00,-40.00,
12.00,-42.00,
15.00,-42.00,
25.00,-46.00,
30.00,-46.00,
40.00,-50.00,
88.00,-50.00,
90.00,-49.00,
97.00,-49.00,
102.00,-56.00,
160.00,-56.00,
170.00,-54.00,
170.00,-52.00,
180.00,-52.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,27
-180.00,-65.00,
-65.00,-65.00,
-60.00,-62.00,
-15.00,-62.00,
-13.00,-62.00,
-12.00,-59.50,
-9.00,-59.50,
-8.50,-56.50,
-7.50,-56.50,
-6.50,-52.00,
-2.00,-52.00,
-1.50,-49.50,
-0.80,-30.00,
0.00,-30.00,
0.80,-30.00,
1.50,-49.50,
2.00,-52.00,
6.50,-52.00,
7.50,-56.50,
8.50,-56.50,
9.00,-59.50,
12.00,-59.50,
13.00,-62.00,
15.00,-62.00,
60.00,-62.00,
65.00,-65.00,
180.00,-65.00,
ENDFIL:,EOF
