REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,P10-105
PATNUM:,3006B
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19910907
LOWFRQ:,10500
HGHFRQ:,10700
GUNITS:,DBI/DBR
LWGAIN:,47.8
MDGAIN:,47.9
HGGAIN:,48.0
AZWIDT:,0.80
ELWIDT:,0.80
ATVSWR:,1.10
FRTOBA:,53.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,53
-180.00,-55.00,
-170.00,-55.00,
-170.00,-66.00,
-120.00,-66.00,
-110.00,-62.30,
-100.00,-55.00,
-100.00,-51.00,
-70.00,-51.00,
-65.00,-48.50,
-15.00,-48.50,
-11.00,-48.50,
-8.50,-42.50,
-6.40,-42.50,
-5.50,-38.00,
-4.50,-38.00,
-4.40,-36.50,
-3.00,-29.00,
-1.50,-27.00,
-1.00,-23.00,
-0.90,-19.50,
-0.80,-15.00,
-0.60,-10.40,
-0.50,-5.80,
-0.40,-3.40,
-0.30,-1.10,
-0.20,-0.20,
0.00,0.00,
0.20,-0.20,
0.30,-1.10,
0.40,-3.40,
0.50,-5.80,
0.60,-10.40,
0.80,-15.00,
0.90,-19.50,
1.00,-23.00,
1.50,-27.00,
3.00,-29.00,
4.40,-36.50,
4.50,-38.00,
5.50,-38.00,
6.40,-42.50,
8.50,-42.50,
11.00,-48.50,
15.00,-48.50,
65.00,-48.50,
70.00,-51.00,
100.00,-51.00,
100.00,-55.00,
110.00,-62.30,
120.00,-66.00,
170.00,-66.00,
170.00,-55.00,
180.00,-55.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,29
-180.00,-67.00,
-170.00,-67.00,
-170.00,-69.00,
-80.00,-69.00,
-20.00,-63.00,
-15.00,-63.00,
-9.50,-63.00,
-7.00,-58.00,
-6.00,-57.90,
-5.00,-50.00,
-4.00,-50.00,
-3.00,-45.00,
-2.00,-45.00,
-0.80,-30.00,
0.00,-30.00,
0.80,-30.00,
2.00,-45.00,
3.00,-45.00,
4.00,-50.00,
5.00,-50.00,
6.00,-57.90,
7.00,-58.00,
9.50,-63.00,
15.00,-63.00,
20.00,-63.00,
80.00,-69.00,
170.00,-69.00,
170.00,-67.00,
180.00,-67.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,53
-180.00,-55.00,
-170.00,-55.00,
-170.00,-63.00,
-107.00,-63.00,
-100.00,-55.00,
-100.00,-52.00,
-85.00,-52.00,
-85.00,-54.00,
-50.00,-54.00,
-45.00,-50.00,
-25.00,-50.00,
-15.00,-40.00,
-11.50,-40.00,
-8.50,-35.00,
-5.50,-32.00,
-3.50,-32.00,
-2.00,-29.00,
-1.50,-20.00,
-1.00,-20.00,
-0.90,-17.40,
-0.80,-13.00,
-0.60,-8.20,
-0.50,-4.70,
-0.40,-2.70,
-0.30,-1.00,
-0.20,-0.20,
0.00,0.00,
0.20,-0.20,
0.30,-1.00,
0.40,-2.70,
0.50,-4.70,
0.60,-8.20,
0.80,-13.00,
0.90,-17.40,
1.00,-20.00,
1.50,-20.00,
2.00,-29.00,
3.50,-32.00,
5.50,-32.00,
8.50,-35.00,
11.50,-40.00,
15.00,-40.00,
25.00,-50.00,
45.00,-50.00,
50.00,-54.00,
85.00,-54.00,
85.00,-52.00,
100.00,-52.00,
100.00,-55.00,
107.00,-63.00,
170.00,-63.00,
170.00,-55.00,
180.00,-55.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,21
-180.00,-68.00,
-30.50,-68.00,
-20.50,-65.00,
-15.00,-65.00,
-13.50,-65.00,
-9.00,-49.00,
-4.00,-49.00,
-3.00,-40.00,
-2.00,-40.00,
-0.80,-30.00,
0.00,-30.00,
0.80,-30.00,
2.00,-40.00,
3.00,-40.00,
4.00,-49.00,
9.00,-49.00,
13.50,-65.00,
15.00,-65.00,
20.50,-65.00,
30.50,-68.00,
180.00,-68.00,
ENDFIL:,EOF
