REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HPX12-105
PATNUM:,3282A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19910907
LOWFRQ:,10500
HGHFRQ:,10700
GUNITS:,DBI/DBR
LWGAIN:,49.2
MDGAIN:,49.3
HGGAIN:,49.4
AZWIDT:,0.70
ELWIDT:,0.70
ATVSWR:,1.06
FRTOBA:,71.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,61
-180.00,-71.00,
-85.00,-71.00,
-73.00,-52.50,
-55.00,-52.50,
-50.00,-51.00,
-37.00,-51.00,
-35.00,-46.00,
-25.00,-46.00,
-20.00,-44.00,
-15.00,-44.00,
-11.00,-44.00,
-10.00,-36.00,
-4.50,-36.00,
-3.50,-31.00,
-3.00,-31.00,
-2.50,-27.00,
-2.00,-27.00,
-1.00,-22.00,
-0.70,-22.00,
-0.60,-16.40,
-0.60,-13.20,
-0.50,-9.90,
-0.40,-6.50,
-0.40,-5.00,
-0.30,-3.30,
-0.30,-1.90,
-0.20,-1.00,
-0.20,-0.50,
-0.10,-0.20,
-0.10,0.00,
0.00,0.00,
0.10,0.00,
0.10,-0.20,
0.20,-0.50,
0.20,-1.00,
0.30,-1.90,
0.30,-3.30,
0.40,-5.00,
0.40,-6.50,
0.50,-9.90,
0.60,-13.20,
0.60,-16.40,
0.70,-22.00,
1.00,-22.00,
2.00,-27.00,
2.50,-27.00,
3.00,-31.00,
3.50,-31.00,
4.50,-36.00,
10.00,-36.00,
11.00,-44.00,
15.00,-44.00,
20.00,-44.00,
25.00,-46.00,
35.00,-46.00,
37.00,-51.00,
50.00,-51.00,
55.00,-52.50,
73.00,-52.50,
85.00,-71.00,
180.00,-71.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,33
-180.00,-74.00,
-80.00,-74.00,
-70.00,-69.00,
-65.00,-69.00,
-60.00,-67.00,
-17.00,-64.00,
-15.00,-64.00,
-13.50,-64.00,
-11.00,-61.00,
-7.50,-61.00,
-6.00,-55.00,
-5.00,-54.00,
-3.00,-54.00,
-2.50,-52.00,
-2.00,-52.00,
-0.70,-30.00,
0.00,-30.00,
0.70,-30.00,
2.00,-52.00,
2.50,-52.00,
3.00,-54.00,
5.00,-54.00,
6.00,-55.00,
7.50,-61.00,
11.00,-61.00,
13.50,-64.00,
15.00,-64.00,
17.00,-64.00,
60.00,-67.00,
65.00,-69.00,
70.00,-69.00,
80.00,-74.00,
180.00,-74.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,59
-180.00,-71.00,
-87.00,-71.00,
-80.00,-58.00,
-51.00,-58.00,
-40.00,-50.00,
-20.00,-47.00,
-15.00,-41.00,
-10.50,-41.00,
-10.00,-38.50,
-5.50,-38.50,
-4.50,-36.00,
-4.00,-36.00,
-3.50,-30.00,
-3.00,-30.00,
-2.50,-26.00,
-1.50,-26.00,
-1.00,-18.00,
-0.70,-18.00,
-0.60,-13.60,
-0.50,-10.00,
-0.50,-7.70,
-0.40,-6.90,
-0.40,-5.90,
-0.40,-4.50,
-0.30,-2.60,
-0.30,-1.80,
-0.20,-1.00,
-0.10,-0.50,
-0.10,-0.10,
0.00,0.00,
0.10,-0.10,
0.10,-0.50,
0.20,-1.00,
0.30,-1.80,
0.30,-2.60,
0.40,-4.50,
0.40,-5.90,
0.40,-6.90,
0.50,-7.70,
0.50,-10.00,
0.60,-13.60,
0.70,-18.00,
1.00,-18.00,
1.50,-26.00,
2.50,-26.00,
3.00,-30.00,
3.50,-30.00,
4.00,-36.00,
4.50,-36.00,
5.50,-38.50,
10.00,-38.50,
10.50,-41.00,
15.00,-41.00,
20.00,-47.00,
40.00,-50.00,
51.00,-58.00,
80.00,-58.00,
87.00,-71.00,
180.00,-71.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,29
-180.00,-74.00,
-95.00,-74.00,
-65.00,-65.00,
-60.00,-65.00,
-55.00,-63.00,
-25.00,-63.00,
-20.00,-61.00,
-15.00,-61.00,
-11.50,-61.00,
-9.00,-52.00,
-6.50,-52.00,
-6.00,-49.00,
-2.00,-49.00,
-0.70,-30.00,
0.00,-30.00,
0.70,-30.00,
2.00,-49.00,
6.00,-49.00,
6.50,-52.00,
9.00,-52.00,
11.50,-61.00,
15.00,-61.00,
20.00,-61.00,
25.00,-63.00,
55.00,-63.00,
60.00,-65.00,
65.00,-65.00,
95.00,-74.00,
180.00,-74.00,
ENDFIL:,EOF
