REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PX12-105
PATNUM:,3293B
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19910907
LOWFRQ:,10500
HGHFRQ:,10700
GUNITS:,DBI/DBR
LWGAIN:,49.2
MDGAIN:,49.3
HGGAIN:,49.4
AZWIDT:,0.70
ELWIDT:,0.70
ATVSWR:,1.10
FRTOBA:,55.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,67
-180.00,-55.00,
-170.00,-55.00,
-170.00,-58.00,
-110.00,-58.00,
-105.00,-50.00,
-95.00,-50.00,
-90.00,-52.50,
-65.00,-52.50,
-62.00,-50.00,
-34.00,-48.00,
-15.00,-48.00,
-13.50,-48.00,
-13.00,-47.00,
-11.50,-47.00,
-10.00,-36.00,
-4.50,-36.00,
-3.50,-32.00,
-3.00,-32.00,
-2.00,-25.00,
-1.80,-25.00,
-1.30,-20.00,
-0.70,-20.00,
-0.60,-14.30,
-0.60,-11.30,
-0.50,-8.80,
-0.50,-6.70,
-0.40,-5.00,
-0.40,-3.60,
-0.30,-2.40,
-0.30,-1.50,
-0.20,-0.80,
-0.20,-0.30,
-0.10,-0.10,
0.00,0.00,
0.10,-0.10,
0.20,-0.30,
0.20,-0.80,
0.30,-1.50,
0.30,-2.40,
0.40,-3.60,
0.40,-5.00,
0.50,-6.70,
0.50,-8.80,
0.60,-11.30,
0.60,-14.30,
0.70,-20.00,
1.30,-20.00,
1.80,-25.00,
2.00,-25.00,
3.00,-32.00,
3.50,-32.00,
4.50,-36.00,
10.00,-36.00,
11.50,-47.00,
13.00,-47.00,
13.50,-48.00,
15.00,-48.00,
34.00,-48.00,
62.00,-50.00,
65.00,-52.50,
90.00,-52.50,
95.00,-50.00,
105.00,-50.00,
110.00,-58.00,
170.00,-58.00,
170.00,-55.00,
180.00,-55.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,19
-180.00,-60.00,
-170.00,-60.00,
-170.00,-63.00,
-15.00,-63.00,
-12.00,-63.00,
-5.00,-53.00,
-2.50,-53.00,
-1.50,-49.00,
-0.60,-30.00,
0.00,-30.00,
0.60,-30.00,
1.50,-49.00,
2.50,-53.00,
5.00,-53.00,
12.00,-63.00,
15.00,-63.00,
170.00,-63.00,
170.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,73
-180.00,-55.00,
-170.00,-55.00,
-170.00,-58.00,
-110.00,-58.00,
-105.00,-51.50,
-95.00,-51.50,
-90.00,-54.00,
-40.00,-54.00,
-25.00,-49.00,
-17.00,-49.00,
-15.00,-46.00,
-11.50,-46.00,
-10.50,-39.50,
-5.50,-39.50,
-4.00,-36.00,
-2.00,-27.50,
-1.50,-27.50,
-1.30,-22.00,
-0.90,-22.00,
-0.80,-21.10,
-0.80,-20.60,
-0.70,-20.40,
-0.70,-18.60,
-0.70,-17.90,
-0.60,-15.50,
-0.60,-12.80,
-0.50,-10.40,
-0.50,-8.20,
-0.40,-6.40,
-0.40,-4.90,
-0.30,-3.60,
-0.30,-2.50,
-0.20,-1.70,
-0.20,-1.00,
-0.10,-0.50,
-0.10,-0.10,
0.00,0.00,
0.10,-0.10,
0.10,-0.50,
0.20,-1.00,
0.20,-1.70,
0.30,-2.50,
0.30,-3.60,
0.40,-4.90,
0.40,-6.40,
0.50,-8.20,
0.50,-10.40,
0.60,-12.80,
0.60,-15.50,
0.70,-17.90,
0.70,-18.60,
0.70,-20.40,
0.80,-20.60,
0.80,-21.10,
0.90,-22.00,
1.30,-22.00,
1.50,-27.50,
2.00,-27.50,
4.00,-36.00,
5.50,-39.50,
10.50,-39.50,
11.50,-46.00,
15.00,-46.00,
17.00,-49.00,
25.00,-49.00,
40.00,-54.00,
90.00,-54.00,
95.00,-51.50,
105.00,-51.50,
110.00,-58.00,
170.00,-58.00,
170.00,-55.00,
180.00,-55.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,23
-180.00,-60.00,
-170.00,-60.00,
-170.00,-63.00,
-15.00,-63.00,
-9.50,-63.00,
-9.00,-61.00,
-7.00,-61.00,
-6.00,-56.00,
-3.50,-56.00,
-2.00,-54.00,
-0.70,-30.00,
0.00,-30.00,
0.70,-30.00,
2.00,-54.00,
3.50,-56.00,
6.00,-56.00,
7.00,-61.00,
9.00,-61.00,
9.50,-63.00,
15.00,-63.00,
170.00,-63.00,
170.00,-60.00,
180.00,-60.00,
ENDFIL:,EOF
