REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHX4-107
PATNUM:,2098A
FEDORN:,LEFT 
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19970925
LOWFRQ:,10700
HGHFRQ:,11700
GUNITS:,DBI/DBR
LWGAIN:,40.0
MDGAIN:,40.4
HGGAIN:,40.8
AZWIDT:,1.60
ELWIDT:,1.60
ATVSWR:,1.08
FRTOBA:,70.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,56
-180.00,-70.00,
-87.00,-70.00,
-77.00,-64.50,
-75.00,-62.10,
-69.60,-62.10,
-61.00,-57.40,
-55.50,-57.00,
-52.60,-51.80,
-46.20,-51.80,
-40.90,-50.70,
-35.10,-48.30,
-31.20,-44.00,
-20.50,-43.20,
-16.20,-38.70,
-15.00,-38.40,
-14.50,-38.20,
-9.00,-38.20,
-8.60,-36.60,
-7.10,-35.60,
-6.20,-31.50,
-5.40,-27.10,
-5.00,-27.10,
-3.50,-22.60,
-2.10,-17.40,
-1.50,-8.00,
-1.10,-4.10,
-0.60,-0.90,
-0.20,-0.10,
0.20,-0.10,
0.50,-1.10,
1.20,-5.00,
1.50,-8.10,
2.00,-16.60,
3.60,-24.40,
4.10,-24.60,
5.60,-29.50,
6.20,-31.90,
7.70,-35.30,
8.70,-37.90,
9.80,-42.70,
15.00,-42.70,
15.80,-42.70,
23.50,-46.10,
35.50,-46.10,
41.10,-47.10,
47.10,-47.10,
53.60,-47.70,
56.20,-47.70,
60.20,-51.10,
65.10,-54.00,
70.70,-59.20,
77.00,-64.60,
80.80,-64.60,
90.30,-66.50,
100.00,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,42
-180.00,-73.00,
-72.30,-73.00,
-66.10,-72.00,
-61.40,-72.00,
-56.00,-70.40,
-52.90,-70.10,
-48.20,-69.10,
-42.80,-67.00,
-35.10,-67.00,
-32.80,-63.70,
-28.90,-63.70,
-22.60,-62.30,
-15.90,-59.10,
-15.00,-59.10,
-5.80,-58.60,
-4.10,-56.30,
-3.10,-52.70,
-2.70,-49.00,
-1.60,-40.10,
-1.50,-33.00,
0.00,-33.00,
1.50,-33.00,
1.60,-40.10,
2.00,-45.00,
3.70,-45.40,
4.40,-45.40,
5.00,-47.70,
6.10,-57.90,
7.30,-58.70,
14.10,-58.70,
15.00,-59.10,
18.70,-60.70,
21.90,-63.50,
36.20,-63.50,
40.90,-65.50,
53.80,-65.50,
55.70,-69.00,
60.50,-69.00,
68.10,-70.90,
71.20,-71.60,
75.70,-73.00,
180.00,-73.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,52
-180.00,-70.00,
-80.00,-70.00,
-76.10,-67.90,
-65.80,-63.90,
-61.00,-60.40,
-52.60,-51.80,
-49.70,-51.80,
-42.50,-48.20,
-35.20,-48.20,
-31.80,-45.10,
-20.50,-43.80,
-15.00,-40.80,
-14.10,-40.30,
-11.10,-40.30,
-10.70,-37.40,
-9.60,-37.40,
-8.20,-33.30,
-7.60,-33.30,
-6.50,-31.80,
-5.10,-25.90,
-4.80,-25.90,
-3.00,-21.90,
-2.50,-19.90,
-1.70,-9.90,
-1.20,-4.90,
-0.60,-1.10,
-0.10,-0.20,
0.20,-0.10,
0.50,-1.00,
1.20,-4.80,
1.50,-7.90,
2.00,-17.80,
3.90,-27.20,
4.10,-27.20,
5.30,-27.30,
7.00,-33.30,
7.40,-36.00,
8.10,-36.00,
9.60,-39.60,
10.50,-40.10,
15.00,-40.10,
15.90,-40.10,
23.40,-47.00,
37.60,-49.90,
40.70,-51.70,
46.20,-54.50,
61.70,-54.50,
65.20,-57.10,
71.30,-62.70,
75.30,-64.00,
80.00,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,47
-180.00,-72.00,
-120.00,-72.00,
-111.40,-70.40,
-77.40,-70.40,
-72.00,-69.10,
-69.80,-66.90,
-60.00,-66.90,
-57.10,-65.40,
-49.40,-65.40,
-43.20,-62.60,
-38.60,-61.70,
-33.00,-61.60,
-15.00,-61.60,
-13.90,-61.60,
-13.00,-60.80,
-9.10,-60.80,
-7.20,-60.30,
-6.80,-58.10,
-5.90,-58.10,
-4.00,-55.50,
-3.20,-49.50,
-2.00,-42.00,
-1.60,-35.10,
-1.50,-33.00,
0.00,-33.00,
1.40,-33.00,
1.50,-39.50,
2.00,-42.50,
3.40,-48.30,
4.10,-51.60,
5.20,-57.10,
6.10,-58.60,
13.60,-58.60,
15.00,-59.20,
16.70,-59.80,
22.10,-59.80,
25.60,-60.70,
33.30,-60.70,
39.30,-65.10,
40.80,-65.60,
46.60,-66.80,
55.30,-66.80,
64.40,-67.40,
97.40,-67.40,
107.50,-67.70,
120.00,-72.00,
180.00,-72.00,
ENDFIL:,EOF
