REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PL6-107
PATNUM:,3101E
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19900612
LOWFRQ:,10700
HGHFRQ:,11700
GUNITS:,DBI/DBR
LWGAIN:,43.6
MDGAIN:,44.0
HGGAIN:,44.4
AZWIDT:,1.00
ELWIDT:,1.00
ATVSWR:,1.06
FRTOBA:,51.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,39
-180.00,-51.00,
-170.00,-51.00,
-170.00,-57.00,
-130.00,-57.00,
-110.00,-43.00,
-100.00,-43.00,
-80.00,-48.00,
-60.00,-43.00,
-15.00,-42.00,
-12.50,-42.00,
-9.50,-36.00,
-6.50,-36.00,
-3.00,-23.00,
-1.40,-23.00,
-1.00,-10.00,
-0.80,-5.00,
-0.60,-3.00,
-0.50,-2.00,
-0.40,-1.00,
0.00,0.00,
0.40,-1.00,
0.50,-2.00,
0.60,-3.00,
0.80,-5.00,
1.00,-10.00,
1.40,-23.00,
3.00,-23.00,
6.50,-36.00,
9.50,-36.00,
12.50,-42.00,
15.00,-42.00,
60.00,-43.00,
80.00,-48.00,
100.00,-43.00,
110.00,-43.00,
130.00,-57.00,
170.00,-57.00,
170.00,-51.00,
180.00,-51.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,13
-180.00,-57.00,
-15.00,-57.00,
-7.50,-57.00,
-3.00,-48.00,
-1.50,-48.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
1.50,-48.00,
3.00,-48.00,
7.50,-57.00,
15.00,-57.00,
180.00,-57.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,37
-180.00,-51.00,
-170.00,-51.00,
-170.00,-57.00,
-130.00,-57.00,
-105.00,-43.00,
-65.00,-53.00,
-20.00,-37.00,
-15.00,-37.00,
-9.00,-33.00,
-6.50,-33.00,
-5.50,-31.00,
-3.50,-23.00,
-1.40,-23.00,
-1.00,-10.00,
-0.80,-5.00,
-0.60,-3.00,
-0.50,-2.00,
-0.40,-1.00,
0.00,0.00,
0.40,-1.00,
0.50,-2.00,
0.60,-3.00,
0.80,-5.00,
1.00,-10.00,
1.40,-23.00,
3.50,-23.00,
5.50,-31.00,
6.50,-33.00,
9.00,-33.00,
15.00,-37.00,
20.00,-37.00,
65.00,-53.00,
105.00,-43.00,
130.00,-57.00,
170.00,-57.00,
170.00,-51.00,
180.00,-51.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,13
-180.00,-57.00,
-25.00,-57.00,
-15.00,-56.00,
-7.00,-56.00,
-1.50,-49.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
1.50,-49.00,
7.00,-56.00,
15.00,-56.00,
25.00,-57.00,
180.00,-57.00,
ENDFIL:,EOF
