REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HP8-611
PATNUM:,3040D
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19850123
LOWFRQ:,10700
HGHFRQ:,11700
GUNITS:,DBI/DBR
LWGAIN:,44.3
MDGAIN:,44.7
HGGAIN:,45.1
AZWIDT:,0.80
ELWIDT:,0.80
ATVSWR:,1.10
FRTOBA:,70.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,57
-180.00,-70.00,
-85.00,-70.00,
-76.61,-66.02,
-72.47,-62.76,
-69.22,-59.10,
-62.64,-54.98,
-47.05,-52.89,
-43.63,-52.32,
-38.22,-51.76,
-30.11,-46.75,
-24.52,-43.70,
-15.00,-40.88,
-14.06,-40.60,
-13.25,-40.60,
-12.26,-38.64,
-10.37,-38.64,
-9.64,-37.16,
-8.92,-35.82,
-7.03,-35.82,
-6.47,-31.91,
-5.11,-31.65,
-4.12,-28.43,
-3.88,-26.77,
-2.49,-22.18,
-1.55,-16.47,
-1.40,-15.10,
-0.40,-4.00,
-0.20,-0.40,
0.00,0.00,
0.20,-0.40,
0.40,-4.00,
1.40,-15.10,
1.55,-16.47,
2.49,-22.18,
3.88,-26.77,
4.12,-28.43,
5.11,-31.65,
6.47,-31.91,
7.03,-35.82,
8.92,-35.82,
9.64,-37.16,
10.37,-38.64,
12.26,-38.64,
13.25,-40.60,
14.06,-40.60,
15.00,-40.88,
24.52,-43.70,
30.11,-46.75,
38.22,-51.76,
43.63,-52.32,
47.05,-52.89,
62.64,-54.98,
69.22,-59.10,
72.47,-62.76,
76.61,-66.02,
85.00,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,43
-180.00,-72.00,
-85.00,-72.00,
-76.39,-69.91,
-71.57,-67.00,
-64.58,-63.55,
-57.11,-63.55,
-54.22,-62.91,
-41.93,-61.77,
-36.87,-58.70,
-33.73,-58.54,
-26.27,-57.89,
-17.35,-53.31,
-15.00,-53.31,
-9.88,-53.31,
-8.03,-47.27,
-5.38,-47.27,
-4.42,-43.07,
-3.33,-43.07,
-2.05,-38.59,
-1.41,-30.18,
-1.00,-25.00,
0.00,-25.00,
1.00,-25.00,
1.41,-30.18,
2.05,-38.59,
3.33,-43.07,
4.42,-43.07,
5.38,-47.27,
8.03,-47.27,
9.88,-53.31,
15.00,-53.31,
17.35,-53.31,
26.27,-57.89,
33.73,-58.54,
36.87,-58.70,
41.93,-61.77,
54.22,-62.91,
57.11,-63.55,
64.58,-63.55,
71.57,-67.00,
76.39,-69.91,
85.00,-72.00,
180.00,-72.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,55
-180.00,-70.00,
-90.00,-70.00,
-70.00,-58.00,
-51.33,-56.87,
-47.47,-55.04,
-40.48,-52.93,
-37.35,-47.70,
-33.49,-46.41,
-26.27,-44.47,
-20.72,-43.34,
-15.00,-39.80,
-13.49,-38.86,
-12.05,-38.86,
-11.08,-36.54,
-10.12,-35.20,
-9.08,-35.04,
-8.63,-33.31,
-7.07,-31.85,
-6.06,-30.35,
-5.70,-30.35,
-4.46,-26.36,
-3.45,-21.13,
-2.33,-17.25,
-1.77,-16.90,
-1.49,-12.99,
-0.52,-2.53,
-0.20,-0.40,
0.00,0.00,
0.20,-0.40,
0.52,-2.53,
1.49,-12.99,
1.77,-16.90,
2.33,-17.25,
3.45,-21.13,
4.46,-26.36,
5.70,-30.35,
6.06,-30.35,
7.07,-31.85,
8.63,-33.31,
9.08,-35.04,
10.12,-35.20,
11.08,-36.54,
12.05,-38.86,
13.49,-38.86,
15.00,-39.80,
20.72,-43.34,
26.27,-44.47,
33.49,-46.41,
37.35,-47.70,
40.48,-52.93,
47.47,-55.04,
51.33,-56.87,
70.00,-58.00,
90.00,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,41
-180.00,-72.00,
-90.00,-72.00,
-85.00,-68.00,
-66.99,-59.35,
-39.76,-56.54,
-34.46,-55.09,
-26.51,-51.48,
-15.00,-51.48,
-13.98,-51.48,
-12.77,-48.73,
-11.77,-46.95,
-7.39,-46.95,
-6.95,-41.83,
-5.50,-41.67,
-4.58,-36.81,
-3.45,-33.80,
-2.17,-33.58,
-1.61,-33.58,
-1.24,-27.92,
-1.14,-25.00,
0.00,-25.00,
1.14,-25.00,
1.24,-27.92,
1.61,-33.58,
2.17,-33.58,
3.45,-33.80,
4.58,-36.81,
5.50,-41.67,
6.95,-41.83,
7.39,-46.95,
11.77,-46.95,
12.77,-48.73,
13.98,-51.48,
15.00,-51.48,
26.51,-51.48,
34.46,-55.09,
39.76,-56.54,
66.99,-59.35,
85.00,-68.00,
90.00,-72.00,
180.00,-72.01,
ENDFIL:,EOF
