REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PAR8-107
PATNUM:,3745
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19960524
LOWFRQ:,10700
HGHFRQ:,11700
GUNITS:,DBI/DBR
LWGAIN:,45.8
MDGAIN:,46.2
HGGAIN:,46.6
AZWIDT:,0.80
ELWIDT:,0.80
ATVSWR:,1.06
FRTOBA:,63.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,51
-180.00,-63.00,
-100.20,-63.00,
-86.00,-51.00,
-65.00,-51.00,
-58.00,-46.00,
-20.00,-46.00,
-17.00,-44.00,
-15.00,-44.00,
-12.00,-38.00,
-10.00,-38.00,
-8.00,-34.00,
-3.00,-24.00,
-1.30,-24.00,
-1.10,-20.00,
-0.96,-15.00,
-0.85,-11.70,
-0.74,-8.65,
-0.64,-6.00,
-0.55,-4.40,
-0.48,-3.30,
-0.40,-2.20,
-0.33,-1.55,
-0.25,-0.95,
-0.17,-0.45,
-0.09,-0.10,
0.00,0.00,
0.09,-0.10,
0.17,-0.45,
0.25,-0.95,
0.33,-1.55,
0.40,-2.20,
0.48,-3.30,
0.55,-4.40,
0.64,-6.00,
0.74,-8.65,
0.85,-11.70,
0.96,-15.00,
1.10,-20.00,
1.30,-24.00,
3.00,-24.00,
8.00,-34.00,
10.00,-38.00,
12.00,-38.00,
15.00,-44.00,
17.00,-44.00,
20.00,-46.00,
58.00,-46.00,
65.00,-51.00,
86.00,-51.00,
100.20,-63.00,
180.00,-63.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,21
-180.00,-67.00,
-70.20,-67.00,
-60.00,-63.00,
-34.05,-62.00,
-30.00,-56.00,
-15.00,-55.00,
-10.05,-53.00,
-5.10,-46.00,
-2.50,-44.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
2.50,-44.00,
5.10,-46.00,
10.05,-53.00,
15.00,-55.00,
30.00,-56.00,
34.05,-62.00,
60.00,-63.00,
70.20,-67.00,
180.00,-67.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,43
-180.00,-65.00,
-95.10,-65.00,
-85.00,-54.00,
-63.00,-54.00,
-55.00,-46.00,
-33.00,-46.00,
-30.00,-43.00,
-23.00,-42.00,
-17.00,-35.00,
-15.00,-35.00,
-10.00,-31.00,
-4.00,-29.00,
-2.50,-25.00,
-1.48,-25.00,
-1.25,-19.20,
-1.03,-13.70,
-0.86,-9.80,
-0.64,-5.30,
-0.49,-3.10,
-0.32,-1.10,
-0.15,-0.30,
0.00,0.00,
0.15,-0.30,
0.32,-1.10,
0.49,-3.10,
0.64,-5.30,
0.86,-9.80,
1.03,-13.70,
1.25,-19.20,
1.48,-25.00,
2.50,-25.00,
4.00,-29.00,
10.00,-31.00,
15.00,-35.00,
17.00,-35.00,
23.00,-42.00,
30.00,-43.00,
33.00,-46.00,
55.00,-46.00,
63.00,-54.00,
85.00,-54.00,
95.10,-65.00,
180.00,-65.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,25
-180.00,-65.00,
-65.10,-65.00,
-55.00,-62.00,
-32.00,-62.00,
-28.20,-58.00,
-25.00,-58.00,
-22.00,-54.00,
-15.00,-52.00,
-13.00,-52.00,
-9.00,-40.00,
-1.50,-40.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
1.50,-40.00,
9.00,-40.00,
13.00,-52.00,
15.00,-52.00,
22.00,-54.00,
25.00,-58.00,
28.20,-58.00,
32.00,-62.00,
55.00,-62.00,
65.10,-65.00,
180.00,-65.00,
ENDFIL:,EOF
