REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HP8-107
PATNUM:,3174F
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19900612
LOWFRQ:,10700
HGHFRQ:,11700
GUNITS:,DBI/DBR
LWGAIN:,46.0
MDGAIN:,46.4
HGGAIN:,46.8
AZWIDT:,0.80
ELWIDT:,0.80
ATVSWR:,1.06
FRTOBA:,71.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,27
-180.00,-72.00,
-100.00,-72.00,
-60.00,-53.00,
-40.00,-48.00,
-15.00,-46.00,
-14.00,-43.00,
-9.70,-42.00,
-1.00,-20.00,
-0.70,-10.00,
-0.60,-8.00,
-0.50,-3.00,
-0.40,-2.00,
-0.20,-1.00,
0.00,0.00,
0.20,-1.00,
0.40,-2.00,
0.50,-3.00,
0.60,-8.00,
0.70,-10.00,
1.00,-20.00,
9.70,-42.00,
14.00,-43.00,
15.00,-46.00,
40.00,-48.00,
60.00,-53.00,
100.00,-72.00,
180.00,-72.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,15
-180.00,-72.00,
-95.00,-72.00,
-15.00,-55.00,
-7.50,-55.00,
-4.00,-45.00,
-1.50,-45.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
1.50,-45.00,
4.00,-45.00,
7.50,-55.00,
15.00,-55.00,
95.00,-72.00,
180.00,-72.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,37
-180.00,-72.00,
-100.00,-72.00,
-62.00,-57.00,
-35.00,-51.00,
-15.00,-38.00,
-10.50,-37.00,
-9.00,-33.00,
-7.50,-33.00,
-7.00,-31.00,
-5.50,-31.00,
-4.00,-27.00,
-3.00,-27.00,
-1.00,-21.00,
-0.70,-10.00,
-0.60,-8.00,
-0.50,-3.00,
-0.40,-2.00,
-0.20,-1.00,
0.00,0.00,
0.20,-1.00,
0.40,-2.00,
0.50,-3.00,
0.60,-8.00,
0.70,-10.00,
1.00,-21.00,
3.00,-27.00,
4.00,-27.00,
5.50,-31.00,
7.00,-31.00,
7.50,-33.00,
9.00,-33.00,
10.50,-37.00,
15.00,-38.00,
35.00,-51.00,
62.00,-57.00,
100.00,-72.00,
180.00,-72.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,23
-180.00,-72.00,
-95.00,-72.00,
-50.00,-61.00,
-30.00,-61.00,
-15.00,-55.00,
-10.00,-55.00,
-7.50,-51.00,
-4.50,-51.00,
-2.50,-45.00,
-1.50,-45.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
1.50,-45.00,
2.50,-45.00,
4.50,-51.00,
7.50,-51.00,
10.00,-55.00,
15.00,-55.00,
30.00,-61.00,
50.00,-61.00,
95.00,-72.00,
180.00,-72.00,
ENDFIL:,EOF
