REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PL8-107
PATNUM:,3249F
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19900612
LOWFRQ:,10700
HGHFRQ:,11700
GUNITS:,DBI/DBR
LWGAIN:,46.0
MDGAIN:,46.4
HGGAIN:,46.8
AZWIDT:,0.80
ELWIDT:,0.80
ATVSWR:,1.06
FRTOBA:,53.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,41
-180.00,-53.00,
-170.00,-53.00,
-170.00,-61.00,
-125.00,-61.00,
-110.00,-47.00,
-105.00,-47.00,
-85.00,-51.50,
-55.00,-47.00,
-25.00,-45.00,
-11.00,-45.00,
-9.00,-39.00,
-5.00,-38.00,
-3.50,-29.00,
-2.00,-25.00,
-1.50,-25.00,
-1.00,-10.00,
-0.60,-5.00,
-0.50,-2.00,
-0.40,-1.00,
-0.20,-0.20,
0.00,0.00,
0.20,-0.20,
0.40,-1.00,
0.50,-2.00,
0.60,-5.00,
1.00,-10.00,
1.50,-25.00,
2.00,-25.00,
3.50,-29.00,
5.00,-38.00,
9.00,-39.00,
11.00,-45.00,
25.00,-45.00,
55.00,-47.00,
85.00,-51.50,
105.00,-47.00,
110.00,-47.00,
125.00,-61.00,
170.00,-61.00,
170.00,-53.00,
180.00,-53.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,19
-180.00,-61.00,
-120.00,-61.00,
-100.00,-60.00,
-30.00,-60.00,
-15.00,-58.00,
-7.50,-58.00,
-5.00,-46.00,
-2.00,-45.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
2.00,-45.00,
5.00,-46.00,
7.50,-58.00,
15.00,-58.00,
30.00,-60.00,
100.00,-60.00,
120.00,-61.00,
180.00,-61.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,43
-180.00,-53.00,
-170.00,-53.00,
-170.00,-61.00,
-120.00,-61.00,
-110.00,-48.00,
-105.00,-48.00,
-70.00,-56.00,
-60.00,-56.00,
-40.00,-48.00,
-25.00,-47.00,
-15.00,-38.00,
-10.00,-38.00,
-7.50,-31.00,
-3.50,-31.00,
-2.00,-25.00,
-1.50,-25.00,
-1.00,-10.00,
-0.60,-5.00,
-0.50,-2.00,
-0.40,-1.00,
-0.20,-0.20,
0.00,0.00,
0.20,-0.20,
0.40,-1.00,
0.50,-2.00,
0.60,-5.00,
1.00,-10.00,
1.50,-25.00,
2.00,-25.00,
3.50,-31.00,
7.50,-31.00,
10.00,-38.00,
15.00,-38.00,
25.00,-47.00,
40.00,-48.00,
60.00,-56.00,
70.00,-56.00,
105.00,-48.00,
110.00,-48.00,
120.00,-61.00,
170.00,-61.00,
170.00,-53.00,
180.00,-53.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,13
-180.00,-61.00,
-15.00,-61.00,
-12.50,-61.00,
-8.00,-53.00,
-2.50,-53.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
2.50,-53.00,
8.00,-53.00,
12.50,-61.00,
15.00,-61.00,
180.00,-61.00,
ENDFIL:,EOF
