REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HSX8-107
PATNUM:,2320
FEDORN:,LEFT 
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19960930
LOWFRQ:,10700
HGHFRQ:,11700
GUNITS:,DBI/DBR
LWGAIN:,46.0
MDGAIN:,46.5
HGGAIN:,46.8
AZWIDT:,0.80
ELWIDT:,0.80
ATVSWR:,1.06
FRTOBA:,75.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,63
-180.00,-75.00,
-83.50,-75.00,
-77.50,-69.00,
-70.50,-69.00,
-65.00,-65.00,
-60.00,-57.00,
-55.00,-57.00,
-40.00,-50.50,
-24.00,-50.50,
-20.50,-48.00,
-15.00,-47.00,
-11.00,-46.00,
-10.00,-42.00,
-9.00,-38.00,
-8.00,-38.00,
-7.00,-32.00,
-4.00,-32.00,
-3.00,-26.50,
-1.90,-26.50,
-1.50,-22.00,
-1.10,-22.00,
-1.00,-20.00,
-0.90,-16.00,
-0.80,-12.50,
-0.70,-9.00,
-0.60,-6.50,
-0.50,-4.50,
-0.40,-3.00,
-0.30,-1.50,
-0.20,-1.00,
-0.10,-0.30,
0.00,0.00,
0.00,0.00,
0.10,-0.10,
0.20,-0.50,
0.30,-1.20,
0.40,-2.30,
0.50,-4.00,
0.60,-6.00,
0.70,-8.00,
0.80,-11.00,
0.90,-14.50,
1.10,-22.00,
1.50,-22.00,
2.00,-28.50,
2.50,-28.50,
3.00,-30.00,
4.50,-30.00,
5.00,-32.00,
7.50,-32.00,
8.00,-36.00,
14.00,-36.00,
15.00,-39.50,
23.00,-39.50,
28.00,-48.00,
32.00,-48.50,
35.00,-53.00,
39.50,-53.00,
40.00,-55.00,
60.00,-55.00,
75.00,-66.00,
90.00,-75.00,
180.00,-75.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,22
-180.00,-76.00,
-66.50,-76.00,
-60.00,-68.50,
-48.50,-68.50,
-42.00,-66.00,
-15.00,-66.00,
-6.00,-53.00,
-1.50,-53.00,
-0.80,-40.00,
0.00,-40.00,
0.00,-40.00,
0.80,-40.00,
2.00,-54.00,
15.00,-54.50,
17.00,-63.00,
30.00,-63.00,
35.00,-66.00,
50.00,-66.00,
55.50,-71.50,
70.00,-71.50,
74.00,-76.00,
180.00,-76.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,51
-180.00,-75.00,
-85.00,-75.00,
-70.00,-61.50,
-29.50,-49.50,
-15.00,-47.50,
-14.00,-46.00,
-11.00,-46.00,
-8.00,-32.00,
-3.50,-32.00,
-2.50,-25.50,
-2.00,-25.50,
-1.50,-20.00,
-1.00,-20.00,
-0.90,-16.00,
-0.80,-12.00,
-0.70,-8.90,
-0.60,-6.70,
-0.50,-4.50,
-0.40,-2.80,
-0.30,-1.60,
-0.20,-0.60,
-0.10,-0.20,
0.00,0.00,
0.00,0.00,
0.10,-0.05,
0.20,-0.40,
0.30,-1.10,
0.40,-2.20,
0.50,-4.00,
0.60,-6.00,
0.70,-8.00,
0.80,-11.00,
0.90,-15.00,
1.00,-20.00,
1.50,-20.00,
2.00,-28.00,
4.00,-32.00,
7.00,-32.00,
8.00,-35.00,
9.00,-35.00,
10.00,-36.00,
12.00,-36.00,
15.00,-40.50,
28.00,-40.50,
30.50,-51.00,
37.50,-51.00,
45.00,-57.00,
52.00,-57.00,
75.00,-69.00,
79.00,-75.00,
180.00,-75.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,21
-180.00,-76.00,
-75.00,-76.00,
-60.00,-74.00,
-56.00,-70.00,
-40.00,-68.50,
-37.00,-65.00,
-15.00,-65.00,
-10.00,-65.00,
-8.00,-59.00,
-6.00,-49.50,
-1.50,-49.50,
-0.80,-40.00,
0.00,-40.00,
0.00,-40.00,
0.80,-40.00,
4.00,-54.00,
13.00,-54.00,
15.00,-61.00,
46.00,-61.00,
79.00,-76.00,
180.00,-76.00,
ENDFIL:,EOF
