REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHX8-107
PATNUM:,2125J
FEDORN:,LEFT 
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19971215
LOWFRQ:,10700
HGHFRQ:,11700
GUNITS:,DBI/DBR
LWGAIN:,46.0
MDGAIN:,46.5
HGGAIN:,46.8
AZWIDT:,0.80
ELWIDT:,0.80
ATVSWR:,1.06
FRTOBA:,80.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,74
-180.0,-80.0,
-80.0,-80.0,
-68.0,-70.0,
-60.0,-65.0,
-47.0,-64.0,
-40.0,-64.0,
-30.0,-61.0,
-21.6,-58.7,
-16.2,-52.9,
-15.0,-52.5,
-14.7,-52.4,
-13.5,-51.4,
-11.4,-51.4,
-10.4,-49.3,
-9.5,-49.2,
-8.8,-42.6,
-7.7,-41.3,
-5.3,-41.3,
-4.3,-35.0,
-3.2,-33.3,
-2.6,-28.5,
-2.0,-28.5,
-1.1,-18.9,
-1.0,-17.4,
-0.9,-15.8,
-0.9,-14.1,
-0.8,-12.5,
-0.7,-10.8,
-0.7,-9.1,
-0.6,-7.5,
-0.5,-6.0,
-0.4,-4.6,
-0.4,-3.4,
-0.3,-2.2,
-0.2,-1.3,
-0.1,-0.6,
-0.1,-0.2,
0.0,0.0,
0.1,-0.1,
0.1,-0.5,
0.2,-1.2,
0.3,-2.0,
0.4,-3.1,
0.4,-4.4,
0.5,-5.8,
0.6,-7.3,
0.7,-9.0,
0.7,-10.7,
0.8,-12.5,
0.9,-14.3,
0.9,-16.2,
1.0,-18.0,
1.1,-19.8,
1.5,-28.0,
1.9,-30.6,
2.5,-30.6,
3.8,-35.9,
4.0,-35.9,
5.6,-36.6,
6.7,-42.1,
8.2,-42.1,
10.0,-46.0,
11.5,-49.2,
14.0,-52.0,
15.0,-54.0,
31.1,-56.0,
34.1,-61.0,
40.5,-63.9,
57.3,-63.9,
61.0,-67.5,
65.8,-70.4,
70.3,-74.8,
80.0,-80.0,
180.0,-80.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,41
-180.0,-80.0,
-70.0,-80.0,
-67.6,-79.4,
-60.2,-76.8,
-58.7,-75.7,
-50.3,-75.7,
-46.9,-73.5,
-40.3,-73.5,
-35.8,-72.8,
-22.7,-72.8,
-17.9,-72.4,
-15.0,-72.4,
-13.0,-72.4,
-11.0,-68.0,
-10.0,-68.0,
-8.5,-63.0,
-5.0,-63.0,
-4.0,-57.0,
-3.1,-57.0,
-2.3,-50.0,
-1.5,-33.0,
0.0,-33.0,
1.5,-33.0,
1.8,-39.1,
2.6,-46.8,
3.3,-50.9,
4.9,-54.4,
5.0,-55.0,
6.5,-62.0,
7.5,-62.0,
9.5,-68.0,
14.0,-68.0,
15.0,-70.0,
25.0,-72.0,
30.6,-72.1,
44.3,-72.1,
45.3,-74.1,
58.6,-74.1,
61.8,-77.9,
66.0,-80.0,
180.0,-80.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,73
-180.0,-80.0,
-80.0,-80.0,
-70.0,-69.0,
-65.0,-66.0,
-50.0,-66.0,
-30.0,-63.0,
-20.3,-58.1,
-15.4,-52.5,
-15.0,-52.5,
-12.0,-52.5,
-10.2,-50.9,
-9.2,-42.6,
-7.4,-41.3,
-4.6,-41.3,
-3.1,-35.8,
-2.1,-27.1,
-1.8,-27.0,
-1.0,-18.9,
-1.0,-17.5,
-0.9,-16.0,
-0.8,-14.4,
-0.8,-12.8,
-0.7,-11.1,
-0.6,-9.5,
-0.5,-7.9,
-0.5,-6.4,
-0.4,-5.0,
-0.3,-3.7,
-0.3,-2.6,
-0.2,-1.6,
-0.1,-0.8,
-0.1,-0.3,
0.0,0.0,
0.1,0.0,
0.1,-0.3,
0.2,-0.8,
0.3,-1.5,
0.3,-2.4,
0.4,-3.4,
0.5,-4.7,
0.5,-6.0,
0.6,-7.4,
0.7,-8.9,
0.8,-10.5,
0.8,-12.1,
0.9,-13.7,
1.0,-15.3,
1.0,-16.8,
1.0,-17.0,
1.8,-29.6,
2.5,-34.0,
5.5,-37.0,
7.0,-45.0,
9.0,-45.0,
10.4,-49.5,
11.6,-51.0,
12.0,-53.0,
13.5,-53.0,
14.0,-55.0,
15.0,-55.0,
20.0,-57.0,
30.0,-57.0,
35.0,-61.0,
42.4,-62.0,
45.3,-62.7,
51.0,-65.1,
59.1,-66.1,
63.9,-68.7,
65.3,-70.5,
70.0,-75.0,
74.0,-75.0,
80.0,-80.0,
180.0,-80.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,34
-180.0,-80.0,
-68.0,-80.0,
-65.2,-75.5,
-61.7,-75.5,
-58.1,-73.1,
-15.0,-73.1,
-13.0,-71.0,
-12.0,-69.0,
-10.5,-69.0,
-8.0,-63.0,
-5.0,-63.0,
-3.5,-55.0,
-3.0,-55.0,
-1.5,-33.0,
0.0,-33.0,
1.5,-33.0,
2.5,-50.0,
5.0,-57.0,
8.0,-63.0,
9.0,-63.0,
10.0,-67.0,
11.0,-68.0,
14.0,-69.0,
15.0,-70.0,
20.0,-71.0,
32.9,-71.4,
38.5,-72.6,
48.6,-72.6,
52.2,-73.3,
55.7,-73.3,
61.4,-75.0,
67.3,-78.1,
70.0,-80.0,
180.0,-80.0,
ENDFIL:,EOF
