REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHX10-107
PATNUM:,2126J
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19920715
LOWFRQ:,10700
HGHFRQ:,11700
GUNITS:,DBI/DBR
LWGAIN:,47.6
MDGAIN:,48.0
HGGAIN:,48.3
AZWIDT:,0.70
ELWIDT:,0.70
ATVSWR:,1.06
FRTOBA:,82.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,54
-180.00,-82.00,
-100.00,-82.00,
-80.00,-76.00,
-70.00,-65.00,
-55.00,-63.00,
-50.00,-62.00,
-45.00,-59.00,
-30.00,-59.00,
-15.00,-52.00,
-12.00,-52.00,
-7.50,-44.00,
-6.00,-44.00,
-4.50,-36.00,
-3.50,-36.00,
-2.50,-30.00,
-2.00,-30.00,
-1.50,-20.00,
-0.90,-20.00,
-0.70,-13.80,
-0.60,-9.70,
-0.50,-6.60,
-0.40,-4.20,
-0.30,-1.70,
-0.20,-1.10,
-0.10,-0.30,
0.00,0.00,
0.10,-0.30,
0.20,-1.10,
0.30,-1.60,
0.40,-4.00,
0.50,-6.30,
0.60,-9.30,
0.70,-13.20,
0.80,-18.30,
0.90,-22.00,
1.50,-23.00,
2.00,-29.00,
3.00,-29.00,
3.50,-34.00,
4.20,-35.00,
5.00,-41.00,
11.00,-53.00,
15.00,-53.00,
20.00,-53.50,
23.00,-58.00,
30.00,-58.00,
35.00,-60.00,
47.00,-60.00,
50.00,-64.00,
60.00,-64.00,
65.00,-65.00,
75.00,-67.00,
87.00,-82.00,
180.00,-82.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,30
-180.00,-82.00,
-100.00,-82.00,
-75.00,-80.00,
-70.00,-77.00,
-55.00,-77.00,
-40.00,-69.00,
-15.00,-69.00,
-13.20,-69.00,
-12.50,-65.50,
-8.50,-65.50,
-6.20,-56.00,
-3.50,-56.00,
-3.00,-45.00,
-1.80,-45.00,
-1.20,-33.00,
0.00,-33.00,
1.20,-33.00,
2.00,-50.00,
4.00,-60.50,
5.00,-62.00,
8.50,-62.00,
10.00,-67.00,
12.50,-67.00,
14.50,-71.00,
30.00,-71.00,
35.00,-75.00,
45.00,-77.00,
65.00,-77.00,
75.00,-82.00,
180.00,-82.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,44
-180.00,-82.00,
-90.00,-82.00,
-83.00,-80.00,
-70.00,-65.00,
-50.00,-65.00,
-40.00,-57.00,
-25.00,-57.00,
-15.00,-53.00,
-11.50,-53.00,
-9.00,-46.00,
-7.00,-44.00,
-6.50,-41.00,
-5.50,-39.00,
-4.50,-37.00,
-3.50,-35.00,
-2.00,-28.00,
-1.30,-28.00,
-0.70,-13.80,
-0.60,-9.70,
-0.50,-6.60,
-0.40,-4.20,
-0.30,-1.70,
-0.20,-1.10,
-0.10,-0.30,
0.00,0.00,
0.10,-0.30,
0.20,-1.10,
0.30,-1.60,
0.40,-4.00,
0.50,-6.30,
0.60,-9.30,
0.70,-13.20,
1.30,-28.00,
3.00,-28.00,
4.50,-42.00,
5.50,-42.00,
15.00,-56.00,
25.00,-61.00,
35.00,-61.00,
45.00,-62.00,
70.00,-62.00,
82.00,-80.00,
85.00,-82.00,
180.00,-82.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,27
-180.00,-82.00,
-90.00,-82.00,
-75.00,-80.00,
-66.00,-72.00,
-45.00,-72.00,
-40.00,-70.00,
-25.00,-70.00,
-20.00,-67.00,
-9.00,-67.00,
-4.50,-56.00,
-2.50,-56.00,
-1.10,-33.00,
0.00,-33.00,
1.10,-33.00,
2.00,-50.00,
3.00,-58.00,
5.00,-65.00,
8.50,-65.00,
14.00,-71.00,
30.00,-71.00,
45.00,-74.00,
52.00,-74.00,
60.00,-77.00,
65.00,-77.00,
75.00,-80.00,
85.00,-82.00,
180.00,-82.00,
ENDFIL:,EOF
