REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHX10-107
PATNUM:,2127J
FEDORN:,LEFT 
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19970715
LOWFRQ:,10700
HGHFRQ:,11700
GUNITS:,DBI/DBR
LWGAIN:,47.6
MDGAIN:,48.0
HGGAIN:,48.3
AZWIDT:,0.70
ELWIDT:,0.70
ATVSWR:,1.06
FRTOBA:,82.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,52
-180.00,-82.00,
-87.00,-82.00,
-75.00,-67.00,
-65.00,-65.00,
-60.00,-64.00,
-50.00,-64.00,
-47.00,-60.00,
-35.00,-60.00,
-30.00,-58.00,
-23.00,-58.00,
-20.00,-53.50,
-15.00,-53.00,
-11.00,-53.00,
-5.00,-41.00,
-4.20,-35.00,
-3.50,-34.00,
-2.00,-29.00,
-1.50,-23.00,
-0.90,-22.00,
-0.70,-13.20,
-0.60,-9.30,
-0.50,-6.30,
-0.40,-4.00,
-0.30,-1.60,
-0.20,-1.10,
-0.10,-0.30,
0.00,0.00,
0.10,-0.30,
0.20,-1.10,
0.30,-1.70,
0.40,-4.20,
0.50,-6.60,
0.60,-9.70,
0.70,-13.80,
0.90,-20.00,
1.50,-20.00,
2.00,-30.00,
2.50,-30.00,
3.50,-36.00,
4.50,-36.00,
6.00,-44.00,
7.50,-44.00,
12.00,-52.00,
15.00,-52.00,
30.00,-59.00,
45.00,-59.00,
50.00,-62.00,
55.00,-63.00,
70.00,-65.00,
80.00,-76.00,
100.00,-82.00,
180.00,-82.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,30
-180.00,-82.00,
-75.00,-82.00,
-65.00,-77.00,
-45.00,-77.00,
-35.00,-75.00,
-30.00,-71.00,
-15.00,-71.00,
-14.50,-71.00,
-12.50,-67.00,
-10.00,-67.00,
-8.50,-62.00,
-5.00,-62.00,
-4.00,-60.50,
-2.00,-50.00,
-1.20,-33.00,
0.00,-33.00,
1.20,-33.00,
1.80,-45.00,
3.00,-45.00,
3.50,-56.00,
6.20,-56.00,
8.50,-65.50,
13.20,-69.00,
15.00,-69.00,
40.00,-69.00,
55.00,-77.00,
70.00,-77.00,
75.00,-80.00,
100.00,-82.00,
180.00,-82.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,44
-180.00,-82.00,
-85.00,-82.00,
-82.00,-80.00,
-70.00,-62.00,
-45.00,-62.00,
-35.00,-61.00,
-25.00,-61.00,
-15.00,-56.00,
-5.50,-42.00,
-4.50,-42.00,
-3.00,-28.00,
-1.30,-28.00,
-0.70,-13.20,
-0.60,-9.30,
-0.50,-6.30,
-0.40,-4.00,
-0.30,-1.60,
-0.20,-1.10,
-0.10,-0.30,
0.00,0.00,
0.10,-0.30,
0.20,-1.10,
0.30,-1.70,
0.40,-4.20,
0.50,-6.60,
0.60,-9.70,
0.70,-13.80,
1.30,-28.00,
2.00,-28.00,
3.50,-35.00,
4.50,-37.00,
5.50,-39.00,
6.50,-41.00,
7.00,-44.00,
9.00,-46.00,
11.50,-53.00,
15.00,-53.00,
25.00,-57.00,
40.00,-57.00,
50.00,-65.00,
70.00,-65.00,
83.00,-80.00,
90.00,-82.00,
180.00,-82.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,29
-180.00,-82.00,
-85.00,-82.00,
-75.00,-80.00,
-65.00,-77.00,
-60.00,-77.00,
-52.00,-74.00,
-45.00,-74.00,
-30.00,-71.00,
-15.00,-71.00,
-14.00,-71.00,
-8.50,-65.00,
-5.00,-65.00,
-3.00,-58.00,
-2.00,-50.00,
-1.10,-33.00,
0.00,-33.00,
1.10,-33.00,
2.50,-56.00,
4.50,-56.00,
9.00,-67.00,
15.00,-67.00,
20.00,-67.00,
25.00,-70.00,
40.00,-70.00,
45.00,-72.00,
66.00,-72.00,
75.00,-80.00,
90.00,-82.00,
180.00,-82.00,
ENDFIL:,EOF
