REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HP12-107
PATNUM:,3188G
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19900612
LOWFRQ:,10700
HGHFRQ:,11700
GUNITS:,DBI/DBR
LWGAIN:,49.4
MDGAIN:,49.8
HGGAIN:,50.2
AZWIDT:,0.50
ELWIDT:,0.50
ATVSWR:,1.06
FRTOBA:,70.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,39
-180.00,-70.00,
-100.00,-70.00,
-65.00,-50.00,
-40.00,-50.00,
-25.00,-44.00,
-15.00,-44.00,
-14.00,-41.00,
-13.00,-41.00,
-10.00,-35.00,
-7.80,-35.00,
-6.00,-31.00,
-3.00,-29.00,
-2.50,-22.00,
-0.70,-20.00,
-0.55,-5.00,
-0.55,-4.00,
-0.50,-3.00,
-0.40,-2.00,
-0.20,-1.00,
0.00,0.00,
0.20,-1.00,
0.40,-2.00,
0.50,-3.00,
0.55,-4.00,
0.55,-5.00,
0.70,-20.00,
2.50,-22.00,
3.00,-29.00,
6.00,-31.00,
7.80,-35.00,
10.00,-35.00,
13.00,-41.00,
14.00,-41.00,
15.00,-44.00,
25.00,-44.00,
40.00,-50.00,
65.00,-50.00,
100.00,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,27
-180.00,-70.00,
-100.00,-70.00,
-76.00,-68.00,
-66.00,-65.00,
-40.00,-65.00,
-35.00,-62.00,
-15.00,-59.00,
-11.00,-59.00,
-8.00,-56.00,
-7.00,-56.00,
-2.50,-44.00,
-1.00,-44.00,
-0.50,-30.00,
0.00,-30.00,
0.50,-30.00,
1.00,-44.00,
2.50,-44.00,
7.00,-56.00,
8.00,-56.00,
11.00,-59.00,
15.00,-59.00,
35.00,-62.00,
40.00,-65.00,
66.00,-65.00,
76.00,-68.00,
100.00,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,37
-180.00,-70.00,
-100.00,-70.00,
-80.00,-59.00,
-45.00,-51.00,
-30.00,-51.00,
-15.00,-45.00,
-11.50,-35.00,
-7.80,-35.00,
-6.00,-31.00,
-3.00,-29.00,
-2.50,-22.00,
-1.50,-20.00,
-0.70,-20.00,
-0.55,-5.00,
-0.55,-4.00,
-0.50,-3.00,
-0.40,-2.00,
-0.20,-1.00,
0.00,0.00,
0.20,-1.00,
0.40,-2.00,
0.50,-3.00,
0.55,-4.00,
0.55,-5.00,
0.70,-20.00,
1.50,-20.00,
2.50,-22.00,
3.00,-29.00,
6.00,-31.00,
7.80,-35.00,
11.50,-35.00,
15.00,-45.00,
30.00,-51.00,
45.00,-51.00,
80.00,-59.00,
100.00,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,21
-180.00,-70.00,
-100.00,-70.00,
-76.00,-68.00,
-71.00,-62.00,
-35.00,-62.00,
-15.00,-59.00,
-7.50,-55.00,
-5.50,-41.00,
-1.00,-41.00,
-0.50,-30.00,
0.00,-30.00,
0.50,-30.00,
1.00,-41.00,
5.50,-41.00,
7.50,-55.00,
15.00,-59.00,
35.00,-62.00,
71.00,-62.00,
76.00,-68.00,
100.00,-70.00,
180.00,-70.00,
ENDFIL:,EOF
