REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PXL12-107
PATNUM:,3199D
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19740528
LOWFRQ:,10700
HGHFRQ:,11700
GUNITS:,DBI/DBR
LWGAIN:,49.4
MDGAIN:,49.8
HGGAIN:,50.2
AZWIDT:,0.50
ELWIDT:,0.50
ATVSWR:,1.06
FRTOBA:,53.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,35
-180.00,-53.00,
-176.50,-53.00,
-173.00,-61.00,
-120.00,-61.00,
-105.00,-49.00,
-95.00,-49.00,
-90.00,-50.00,
-54.00,-50.00,
-45.00,-48.00,
-20.00,-48.00,
-15.00,-42.00,
-11.00,-38.00,
-8.00,-33.00,
-2.80,-31.00,
-2.00,-21.00,
-1.00,-21.00,
-0.50,-6.00,
0.00,0.00,
0.50,-6.00,
1.00,-21.00,
2.00,-21.00,
2.80,-31.00,
8.00,-33.00,
11.00,-38.00,
15.00,-42.00,
20.00,-48.00,
45.00,-48.00,
54.00,-50.00,
90.00,-50.00,
95.00,-49.00,
105.00,-49.00,
120.00,-61.00,
173.00,-61.00,
176.50,-53.00,
180.00,-53.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,13
-180.00,-68.00,
-20.00,-68.00,
-15.00,-66.00,
-2.00,-52.00,
-1.00,-36.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
1.00,-36.00,
2.00,-52.00,
15.00,-66.00,
20.00,-68.00,
180.00,-68.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,39
-180.00,-53.00,
-176.50,-53.00,
-175.00,-57.00,
-170.00,-61.00,
-120.00,-61.00,
-107.30,-51.00,
-97.50,-51.00,
-95.00,-52.00,
-40.00,-52.00,
-40.00,-50.00,
-20.00,-50.00,
-20.00,-48.00,
-15.00,-42.00,
-8.00,-32.00,
-3.20,-32.00,
-2.00,-22.00,
-1.10,-22.00,
-1.00,-21.00,
-0.50,-6.00,
0.00,0.00,
0.50,-6.00,
1.00,-21.00,
1.10,-22.00,
2.00,-22.00,
3.20,-32.00,
8.00,-32.00,
15.00,-42.00,
20.00,-48.00,
20.00,-50.00,
40.00,-50.00,
40.00,-52.00,
95.00,-52.00,
97.50,-51.00,
107.30,-51.00,
120.00,-61.00,
170.00,-61.00,
175.00,-57.00,
176.50,-53.00,
180.00,-53.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,13
-180.00,-68.00,
-15.00,-68.00,
-10.00,-55.00,
-5.00,-50.00,
-2.00,-37.30,
-2.00,-30.00,
0.00,-30.00,
2.00,-30.00,
2.00,-37.30,
5.00,-50.00,
10.00,-55.00,
15.00,-68.00,
180.00,-68.00,
ENDFIL:,EOF
