REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHX12-107
PATNUM:,2129J
FEDORN:,LEFT 
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19920430
LOWFRQ:,10700
HGHFRQ:,11700
GUNITS:,DBI/DBR
LWGAIN:,49.4
MDGAIN:,49.8
HGGAIN:,50.2
AZWIDT:,0.50
ELWIDT:,0.50
ATVSWR:,1.06
FRTOBA:,80.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,52
-180.00,-80.00,
-80.00,-80.00,
-65.00,-64.00,
-35.00,-54.00,
-20.00,-52.00,
-15.00,-48.00,
-11.50,-48.00,
-8.20,-42.00,
-6.00,-42.00,
-5.00,-41.00,
-2.10,-27.00,
-1.50,-27.00,
-1.20,-22.00,
-0.75,-22.00,
-0.66,-19.47,
-0.60,-15.18,
-0.54,-11.74,
-0.46,-8.11,
-0.40,-5.97,
-0.32,-3.70,
-0.20,-1.38,
-0.14,-0.68,
0.00,0.00,
0.11,-0.53,
0.17,-1.12,
0.21,-1.66,
0.25,-2.31,
0.35,-4.51,
0.43,-6.97,
0.49,-9.38,
0.55,-12.37,
0.61,-16.24,
0.65,-19.52,
0.75,-21.00,
1.50,-21.00,
1.70,-27.00,
2.10,-27.00,
3.00,-36.00,
4.00,-36.00,
6.00,-41.00,
7.50,-45.00,
9.50,-45.00,
11.00,-48.00,
15.00,-48.00,
18.00,-48.00,
23.00,-54.00,
30.00,-54.00,
45.00,-59.00,
55.00,-65.00,
72.00,-65.00,
85.00,-80.00,
180.00,-80.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,29
-180.00,-82.00,
-80.00,-82.00,
-75.00,-79.00,
-70.00,-79.00,
-60.00,-77.00,
-45.00,-77.00,
-42.00,-75.00,
-15.00,-75.00,
-12.50,-75.00,
-9.50,-67.00,
-7.00,-67.00,
-4.00,-59.00,
-2.50,-59.00,
-0.80,-33.00,
0.00,-33.00,
0.80,-33.00,
2.00,-48.00,
3.50,-48.00,
4.50,-60.00,
6.00,-60.00,
8.00,-68.00,
11.50,-68.00,
15.00,-71.00,
20.00,-72.00,
40.00,-72.00,
46.00,-75.00,
70.00,-75.00,
80.00,-82.00,
180.00,-82.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,56
-180.00,-80.00,
-80.00,-80.00,
-58.00,-61.00,
-37.00,-61.00,
-25.00,-58.00,
-20.00,-54.00,
-15.00,-49.00,
-11.00,-49.00,
-9.00,-45.00,
-6.00,-45.00,
-5.00,-41.00,
-2.00,-29.00,
-1.60,-29.00,
-1.30,-22.00,
-0.70,-22.00,
-0.66,-19.47,
-0.60,-15.18,
-0.54,-11.74,
-0.46,-8.11,
-0.40,-5.97,
-0.32,-3.70,
-0.20,-1.38,
-0.14,-0.68,
0.00,-0.03,
0.00,0.00,
0.11,-0.53,
0.17,-1.12,
0.21,-1.66,
0.25,-2.31,
0.35,-4.51,
0.43,-6.97,
0.49,-9.38,
0.55,-12.37,
0.61,-16.24,
0.65,-19.52,
0.69,-23.72,
0.77,-25.00,
1.50,-25.00,
1.70,-29.00,
2.00,-29.00,
3.00,-38.00,
4.20,-38.00,
4.70,-40.00,
5.50,-40.00,
8.00,-48.50,
10.00,-48.50,
10.50,-50.00,
15.00,-50.00,
20.00,-50.00,
30.00,-60.70,
33.00,-61.00,
40.00,-61.00,
47.00,-66.00,
72.00,-66.00,
85.00,-80.00,
180.00,-80.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,31
-180.00,-82.00,
-75.00,-82.00,
-70.00,-78.00,
-58.00,-78.00,
-53.00,-76.00,
-42.00,-73.00,
-24.00,-73.00,
-20.00,-71.00,
-15.00,-71.00,
-9.00,-71.00,
-7.00,-66.00,
-4.00,-63.00,
-2.00,-56.00,
-1.40,-48.00,
-0.70,-33.00,
0.00,-33.00,
0.70,-33.00,
2.00,-48.00,
4.00,-60.00,
6.00,-60.00,
8.00,-68.00,
11.50,-68.00,
12.50,-71.00,
15.00,-71.00,
20.00,-71.00,
25.00,-73.00,
45.00,-73.00,
50.00,-75.00,
71.00,-76.00,
80.00,-82.00,
180.00,-82.00,
ENDFIL:,EOF
