REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,P6-122
PATNUM:,1277F
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19970908
LOWFRQ:,12200
HGHFRQ:,13250
GUNITS:,DBI/DBR
LWGAIN:,44.7
MDGAIN:,45.1
HGGAIN:,45.4
AZWIDT:,0.90
ELWIDT:,0.90
ATVSWR:,1.08
FRTOBA:,55.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,33
-180.00,-55.00,
-123.10,-55.00,
-110.00,-45.00,
-79.33,-45.00,
-45.00,-43.00,
-15.00,-43.00,
-12.00,-43.00,
-8.50,-36.00,
-5.50,-36.00,
-4.50,-32.00,
-4.00,-32.00,
-3.00,-23.00,
-1.50,-23.00,
-1.00,-6.00,
-0.60,-2.00,
-0.50,-1.00,
0.00,0.00,
0.50,-1.00,
0.60,-2.00,
1.00,-6.00,
1.50,-23.00,
3.00,-23.00,
4.00,-32.00,
4.50,-32.00,
5.50,-36.00,
8.50,-36.00,
12.00,-43.00,
15.00,-43.00,
45.00,-43.00,
79.33,-45.00,
110.00,-45.00,
123.10,-55.00,
180.00,-55.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,13
-180.00,-55.00,
-15.00,-55.00,
-6.74,-55.00,
-5.50,-47.00,
-2.00,-46.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
2.00,-46.00,
5.50,-47.00,
6.74,-55.00,
15.00,-55.00,
180.00,-55.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,37
-180.00,-55.00,
-122.00,-55.00,
-111.50,-45.00,
-81.21,-45.00,
-60.00,-45.00,
-25.00,-41.00,
-20.00,-39.00,
-20.00,-37.00,
-15.00,-37.00,
-12.00,-37.00,
-10.50,-32.00,
-5.00,-32.00,
-2.50,-23.00,
-1.50,-23.00,
-1.00,-6.00,
-0.60,-2.00,
-0.50,-1.00,
0.00,-1.00,
0.00,0.00,
0.00,-1.00,
0.50,-1.00,
0.60,-2.00,
1.00,-6.00,
1.50,-23.00,
2.50,-23.00,
5.00,-32.00,
10.50,-32.00,
12.00,-37.00,
15.00,-37.00,
20.00,-37.00,
20.00,-39.00,
25.00,-41.00,
60.00,-45.00,
81.21,-45.00,
111.50,-45.00,
122.00,-55.00,
180.00,-55.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.00,-55.00,
-15.00,-55.00,
-10.10,-55.00,
-9.00,-54.00,
-6.00,-54.00,
-5.00,-51.00,
-2.00,-50.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
2.00,-50.00,
5.00,-51.00,
6.00,-54.00,
9.00,-54.00,
10.10,-55.00,
15.00,-55.00,
180.00,-55.00,
ENDFIL:,EOF
