REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VP2A-130
PATNUM:,4085A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20000927
LOWFRQ:,12700
HGHFRQ:,13250
GUNITS:,DBI/DBR
LWGAIN:,35.8
MDGAIN:,36.0
HGGAIN:,36.2
AZWIDT:,2.80
ELWIDT:,2.80
ATVSWR:,1.20
FRTOBA:,48.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,45
-180.00,-48.00,
-135.00,-48.00,
-115.00,-45.00,
-100.00,-40.00,
-75.00,-39.00,
-61.00,-35.00,
-30.00,-35.00,
-22.00,-34.00,
-15.00,-34.00,
-9.00,-22.00,
-5.00,-22.00,
-3.10,-22.00,
-2.90,-17.90,
-2.80,-16.20,
-2.50,-12.10,
-2.30,-9.60,
-2.00,-7.10,
-1.70,-4.90,
-1.40,-3.00,
-1.10,-1.70,
-0.70,-0.70,
-0.50,-0.30,
0.00,0.00,
0.50,-0.30,
0.70,-0.70,
1.10,-1.70,
1.40,-3.00,
1.70,-4.90,
2.00,-7.10,
2.30,-9.60,
2.50,-12.10,
2.80,-16.20,
2.90,-17.90,
3.10,-22.00,
5.00,-22.00,
9.00,-22.00,
15.00,-34.00,
22.00,-34.00,
30.00,-35.00,
61.00,-35.00,
75.00,-39.00,
100.00,-40.00,
115.00,-45.00,
135.00,-48.00,
180.00,-48.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,19
-180.00,-52.00,
-95.00,-52.00,
-85.00,-50.00,
-60.00,-50.00,
-53.00,-46.00,
-30.00,-41.00,
-15.00,-41.00,
-3.50,-41.00,
-2.00,-32.00,
0.00,-32.00,
2.00,-32.00,
3.50,-41.00,
15.00,-41.00,
30.00,-41.00,
53.00,-46.00,
60.00,-50.00,
85.00,-50.00,
95.00,-52.00,
180.00,-52.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,39
-180.00,-52.00,
-128.00,-52.00,
-120.00,-50.00,
-100.00,-37.00,
-52.50,-37.00,
-45.00,-36.00,
-42.50,-31.00,
-25.00,-31.00,
-22.50,-28.00,
-15.00,-28.00,
-12.50,-28.00,
-8.50,-22.00,
-3.36,-22.00,
-3.00,-17.00,
-2.50,-10.69,
-2.00,-6.43,
-1.50,-3.38,
-1.00,-1.29,
-0.50,-0.20,
0.00,0.00,
0.50,-0.20,
1.00,-1.29,
1.50,-3.38,
2.00,-6.43,
2.50,-10.69,
3.00,-17.00,
3.36,-22.00,
8.50,-22.00,
12.50,-28.00,
15.00,-28.00,
22.50,-28.00,
25.00,-31.00,
42.50,-31.00,
45.00,-36.00,
52.50,-37.00,
100.00,-37.00,
120.00,-50.00,
128.00,-52.00,
180.00,-52.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.00,-54.00,
-120.00,-54.00,
-110.00,-52.00,
-20.00,-52.00,
-15.00,-50.00,
-10.00,-41.00,
-4.00,-41.00,
-2.00,-32.00,
0.00,-32.00,
2.00,-32.00,
4.00,-41.00,
10.00,-41.00,
15.00,-50.00,
20.00,-52.00,
110.00,-52.00,
120.00,-54.00,
180.00,-54.00,
ENDFIL:,EOF
