REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHP4A-130
PATNUM:,4196A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20001011
LOWFRQ:,12700
HGHFRQ:,13250
GUNITS:,DBI/DBR
LWGAIN:,41.2
MDGAIN:,41.4
HGGAIN:,41.6
AZWIDT:,1.30
ELWIDT:,1.30
ATVSWR:,1.20
FRTOBA:,63.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,51
-180.00,-63.00,
-100.00,-63.00,
-65.00,-45.00,
-40.00,-45.00,
-25.00,-39.00,
-15.00,-39.00,
-10.00,-37.00,
-9.00,-36.00,
-5.00,-24.50,
-3.00,-24.50,
-2.00,-22.00,
-1.80,-17.80,
-1.60,-14.10,
-1.40,-10.80,
-1.20,-7.90,
-1.00,-5.50,
-0.90,-4.50,
-0.80,-3.50,
-0.70,-2.70,
-0.60,-2.00,
-0.50,-1.40,
-0.40,-0.90,
-0.30,-0.50,
-0.20,-0.20,
-0.10,-0.10,
0.00,0.00,
0.10,-0.10,
0.20,-0.20,
0.30,-0.50,
0.40,-0.90,
0.50,-1.40,
0.60,-2.00,
0.70,-2.70,
0.80,-3.50,
0.90,-4.50,
1.00,-5.50,
1.20,-7.90,
1.40,-10.80,
1.60,-14.10,
1.80,-17.80,
2.00,-22.00,
3.00,-24.50,
5.00,-24.50,
9.00,-36.00,
10.00,-37.00,
15.00,-39.00,
25.00,-39.00,
40.00,-45.00,
65.00,-45.00,
100.00,-63.00,
180.00,-63.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,19
-180.00,-63.00,
-90.00,-63.00,
-35.00,-45.00,
-25.00,-45.00,
-25.00,-43.00,
-5.00,-43.00,
-3.50,-40.00,
-2.50,-40.00,
-1.50,-32.00,
0.00,-32.00,
1.50,-32.00,
2.50,-40.00,
3.50,-40.00,
5.00,-43.00,
25.00,-43.00,
25.00,-45.00,
35.00,-45.00,
90.00,-63.00,
180.00,-63.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,57
-180.00,-63.00,
-90.00,-63.00,
-80.00,-57.00,
-75.00,-52.50,
-60.00,-52.50,
-40.00,-45.00,
-27.50,-45.00,
-15.00,-35.00,
-14.00,-32.00,
-12.00,-30.50,
-10.00,-28.00,
-9.00,-27.00,
-3.00,-27.00,
-2.00,-23.00,
-1.80,-18.60,
-1.60,-14.70,
-1.40,-11.30,
-1.20,-8.30,
-1.00,-5.80,
-0.90,-4.70,
-0.80,-3.70,
-0.70,-2.80,
-0.60,-2.10,
-0.50,-1.40,
-0.40,-0.90,
-0.30,-0.50,
-0.20,-0.20,
-0.10,-0.10,
0.00,0.00,
0.10,-0.10,
0.20,-0.20,
0.30,-0.50,
0.40,-0.90,
0.50,-1.40,
0.60,-2.10,
0.70,-2.80,
0.80,-3.70,
0.90,-4.70,
1.00,-5.80,
1.20,-8.30,
1.40,-11.30,
1.60,-14.70,
1.80,-18.60,
2.00,-23.00,
3.00,-27.00,
9.00,-27.00,
10.00,-28.00,
12.00,-30.50,
14.00,-32.00,
15.00,-35.00,
27.50,-45.00,
40.00,-45.00,
60.00,-52.50,
75.00,-52.50,
80.00,-57.00,
90.00,-63.00,
180.00,-63.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,23
-180.00,-63.00,
-85.00,-63.00,
-65.00,-57.00,
-25.00,-57.00,
-20.00,-55.00,
-15.00,-55.00,
-11.50,-55.00,
-10.00,-53.00,
-4.00,-53.00,
-2.50,-49.00,
-1.00,-32.00,
0.00,-32.00,
1.00,-32.00,
2.50,-49.00,
4.00,-53.00,
10.00,-53.00,
11.50,-55.00,
15.00,-55.00,
20.00,-55.00,
25.00,-57.00,
65.00,-57.00,
85.00,-63.00,
180.00,-63.00,
ENDFIL:,EOF
