REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHLP4-130
PATNUM:,4004A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20000926
LOWFRQ:,12700
HGHFRQ:,13250
GUNITS:,DBI/DBR
LWGAIN:,41.9
MDGAIN:,42.0
HGGAIN:,42.1
AZWIDT:,1.30
ELWIDT:,1.30
ATVSWR:,1.30
FRTOBA:,68.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,61
-180.00,-68.00,
-90.00,-68.00,
-82.00,-60.00,
-77.00,-58.00,
-71.00,-51.00,
-60.00,-51.00,
-52.00,-50.00,
-45.00,-50.00,
-40.00,-44.00,
-19.00,-44.00,
-18.00,-42.00,
-16.50,-42.00,
-15.00,-38.00,
-13.50,-38.00,
-12.00,-36.00,
-10.50,-36.00,
-9.00,-32.00,
-7.50,-32.00,
-6.76,-30.00,
-5.00,-30.00,
-4.50,-26.00,
-4.00,-26.00,
-2.50,-18.00,
-1.50,-18.00,
-1.43,-16.75,
-1.24,-11.17,
-1.00,-6.50,
-0.75,-3.38,
-0.51,-1.35,
-0.25,-0.20,
0.00,0.00,
0.25,-0.20,
0.51,-1.35,
0.75,-3.38,
1.00,-6.50,
1.24,-11.17,
1.43,-16.75,
1.50,-18.00,
2.50,-18.00,
4.00,-26.00,
4.50,-26.00,
5.00,-30.00,
6.76,-30.00,
7.50,-32.00,
9.00,-32.00,
10.50,-36.00,
12.00,-36.00,
13.50,-38.00,
15.00,-38.00,
16.50,-42.00,
18.00,-42.00,
19.00,-44.00,
40.00,-44.00,
45.00,-50.00,
52.00,-50.00,
60.00,-51.00,
71.00,-51.00,
77.00,-58.00,
82.00,-60.00,
90.00,-68.00,
180.00,-68.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,35
-180.00,-70.00,
-90.00,-70.00,
-75.00,-68.00,
-60.00,-65.00,
-53.00,-63.00,
-45.00,-63.00,
-38.00,-60.50,
-23.00,-60.50,
-15.00,-57.50,
-11.50,-55.00,
-10.00,-53.00,
-7.75,-50.00,
-7.50,-48.00,
-5.00,-48.00,
-3.00,-40.00,
-2.00,-40.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
2.00,-40.00,
3.00,-40.00,
5.00,-48.00,
7.50,-48.00,
7.75,-50.00,
10.00,-53.00,
11.50,-55.00,
15.00,-57.50,
23.00,-60.50,
38.00,-60.50,
45.00,-63.00,
53.00,-63.00,
60.00,-65.00,
75.00,-68.00,
90.00,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,47
-180.00,-70.00,
-95.00,-70.00,
-63.00,-50.00,
-53.00,-50.00,
-45.00,-48.00,
-30.00,-44.00,
-20.50,-44.00,
-15.00,-39.00,
-12.50,-38.00,
-11.00,-35.00,
-10.00,-30.00,
-7.40,-30.00,
-6.25,-26.00,
-4.00,-26.00,
-3.00,-20.00,
-2.50,-18.00,
-2.20,-16.00,
-1.37,-16.00,
-1.26,-12.39,
-1.00,-6.53,
-0.74,-3.11,
-0.49,-1.22,
-0.25,-0.20,
0.00,0.00,
0.25,-0.20,
0.49,-1.22,
0.74,-3.11,
1.00,-6.53,
1.26,-12.39,
1.37,-16.00,
2.20,-16.00,
2.50,-18.00,
3.00,-20.00,
4.00,-26.00,
6.25,-26.00,
7.40,-30.00,
10.00,-30.00,
11.00,-35.00,
12.50,-38.00,
15.00,-39.00,
20.50,-44.00,
30.00,-44.00,
45.00,-48.00,
53.00,-50.00,
63.00,-50.00,
95.00,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,29
-180.00,-72.00,
-90.00,-72.00,
-75.00,-66.00,
-60.00,-62.00,
-30.00,-62.00,
-22.50,-60.00,
-12.70,-60.00,
-10.50,-55.00,
-7.50,-55.00,
-6.00,-53.00,
-5.00,-48.00,
-2.50,-42.00,
-1.75,-38.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
1.75,-38.00,
2.50,-42.00,
5.00,-48.00,
6.00,-53.00,
7.50,-55.00,
10.50,-55.00,
12.70,-60.00,
22.50,-60.00,
30.00,-62.00,
60.00,-62.00,
75.00,-66.00,
90.00,-72.00,
180.00,-72.00,
ENDFIL:,EOF
