REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VP4A-130
PATNUM:,4202A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20000927
LOWFRQ:,12700
HGHFRQ:,13250
GUNITS:,DBI/DBR
LWGAIN:,42.0
MDGAIN:,42.2
HGGAIN:,42.4
AZWIDT:,1.30
ELWIDT:,1.30
ATVSWR:,1.20
FRTOBA:,52.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,37
-180.00,-52.00,
-120.00,-52.00,
-100.00,-44.00,
-71.90,-44.00,
-60.00,-39.50,
-15.00,-39.50,
-10.00,-39.50,
-5.00,-25.00,
-2.20,-25.00,
-1.80,-20.60,
-1.30,-9.20,
-1.00,-5.00,
-0.80,-3.80,
-0.50,-1.40,
-0.40,-0.90,
-0.30,-0.50,
-0.20,-0.30,
-0.10,-0.10,
0.00,0.00,
0.10,-0.10,
0.20,-0.30,
0.30,-0.50,
0.40,-0.90,
0.50,-1.40,
0.80,-3.80,
1.00,-5.00,
1.30,-9.20,
1.80,-20.60,
2.20,-25.00,
5.00,-25.00,
10.00,-39.50,
15.00,-39.50,
60.00,-39.50,
71.90,-44.00,
100.00,-44.00,
120.00,-52.00,
180.00,-52.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,25
-180.00,-55.00,
-95.00,-55.00,
-90.00,-53.00,
-60.00,-51.60,
-55.00,-50.40,
-50.00,-49.10,
-25.00,-48.20,
-15.00,-48.20,
-10.00,-47.30,
-3.00,-47.30,
-2.50,-44.20,
-1.00,-32.00,
0.00,-32.00,
1.00,-32.00,
2.50,-44.20,
3.00,-47.30,
10.00,-47.30,
15.00,-48.20,
25.00,-48.20,
50.00,-49.10,
55.00,-50.40,
60.00,-51.60,
90.00,-53.00,
95.00,-55.00,
180.00,-55.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,53
-180.00,-52.00,
-115.00,-52.00,
-105.00,-43.00,
-75.00,-43.00,
-46.50,-43.00,
-41.30,-39.50,
-30.00,-39.50,
-30.00,-37.00,
-20.00,-37.00,
-20.00,-34.50,
-15.00,-34.50,
-15.00,-28.50,
-10.00,-28.50,
-10.00,-25.50,
-2.00,-25.50,
-1.80,-22.60,
-1.60,-16.70,
-1.30,-9.30,
-1.00,-5.20,
-0.80,-3.80,
-0.60,-2.60,
-0.50,-1.50,
-0.40,-0.90,
-0.30,-0.40,
-0.20,-0.20,
-0.10,-0.10,
0.00,0.00,
0.10,-0.10,
0.20,-0.20,
0.30,-0.40,
0.40,-0.90,
0.50,-1.50,
0.60,-2.60,
0.80,-3.80,
1.00,-5.20,
1.30,-9.30,
1.60,-16.70,
1.80,-22.60,
2.00,-25.50,
10.00,-25.50,
10.00,-28.50,
15.00,-28.50,
15.00,-34.50,
20.00,-34.50,
20.00,-37.00,
30.00,-37.00,
30.00,-39.50,
41.30,-39.50,
46.50,-43.00,
75.00,-43.00,
105.00,-43.00,
115.00,-52.00,
180.00,-52.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,19
-180.00,-55.00,
-100.00,-55.00,
-80.00,-50.40,
-20.00,-49.00,
-15.00,-45.80,
-14.00,-43.50,
-2.40,-43.50,
-2.00,-40.00,
-1.00,-32.00,
0.00,-32.00,
1.00,-32.00,
2.00,-40.00,
2.40,-43.50,
14.00,-43.50,
15.00,-45.80,
20.00,-49.00,
80.00,-50.40,
100.00,-55.00,
180.00,-55.00,
ENDFIL:,EOF
