REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHPX6A-130
PATNUM:,4199
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19960423
LOWFRQ:,12700
HGHFRQ:,13250
GUNITS:,DBI/DBR
LWGAIN:,44.6
MDGAIN:,44.8
HGGAIN:,44.9
AZWIDT:,0.90
ELWIDT:,0.90
ATVSWR:,1.25
FRTOBA:,66.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,41
-180.0,-66.0,
-85.0,-66.0,
-62.0,-53.0,
-35.0,-53.0,
-23.0,-44.0,
-17.0,-44.0,
-15.0,-38.0,
-11.0,-34.0,
-4.0,-34.0,
-1.3,-22.0,
-1.1,-16.7,
-1.0,-13.1,
-0.9,-10.0,
-0.8,-7.6,
-0.7,-6.0,
-0.6,-4.2,
-0.5,-2.9,
-0.4,-1.8,
-0.3,-0.7,
-0.1,-0.1,
0.0,0.0,
0.1,-0.1,
0.3,-0.7,
0.4,-1.8,
0.5,-2.9,
0.6,-4.2,
0.7,-6.0,
0.8,-7.6,
0.9,-10.0,
1.0,-13.1,
1.1,-16.7,
1.3,-22.0,
4.0,-34.0,
11.0,-34.0,
15.0,-38.0,
17.0,-44.0,
23.0,-44.0,
35.0,-53.0,
62.0,-53.0,
85.0,-66.0,
180.0,-66.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,17
-180.0,-66.0,
-70.2,-66.0,
-60.0,-62.0,
-26.0,-60.0,
-15.0,-48.0,
-10.1,-41.0,
-3.0,-40.0,
-1.0,-32.0,
0.0,-32.0,
1.0,-32.0,
3.0,-40.0,
10.1,-41.0,
15.0,-48.0,
26.0,-60.0,
60.0,-62.0,
70.2,-66.0,
180.0,-66.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,41
-180.0,-68.0,
-86.0,-68.0,
-65.0,-54.0,
-45.0,-54.0,
-37.0,-50.0,
-25.0,-46.0,
-15.0,-35.0,
-12.5,-32.0,
-8.0,-30.0,
-1.3,-22.0,
-1.1,-16.7,
-1.0,-13.0,
-0.9,-10.0,
-0.8,-7.6,
-0.7,-6.0,
-0.6,-4.2,
-0.5,-2.9,
-0.4,-1.8,
-0.3,-0.7,
-0.1,-0.1,
0.0,0.0,
0.1,-0.1,
0.3,-0.7,
0.4,-1.8,
0.5,-2.9,
0.6,-4.2,
0.7,-6.0,
0.8,-7.6,
0.9,-10.0,
1.0,-13.0,
1.1,-16.7,
1.3,-22.0,
8.0,-30.0,
12.5,-32.0,
15.0,-35.0,
25.0,-46.0,
37.0,-50.0,
45.0,-54.0,
65.0,-54.0,
86.0,-68.0,
180.0,-68.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.0,-68.0,
-85.2,-68.0,
-63.0,-60.0,
-30.0,-60.0,
-15.0,-52.0,
-8.0,-42.0,
-2.5,-42.0,
-1.0,-32.0,
0.0,-32.0,
1.0,-32.0,
2.5,-42.0,
8.0,-42.0,
15.0,-52.0,
30.0,-60.0,
63.0,-60.0,
85.2,-68.0,
180.0,-68.0,
ENDFIL:,EOF
