REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHP6A-130
PATNUM:,4198
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19950419
LOWFRQ:,12700
HGHFRQ:,13250
GUNITS:,DBI/DBR
LWGAIN:,44.8
MDGAIN:,45.0
HGGAIN:,45.1
AZWIDT:,0.90
ELWIDT:,0.90
ATVSWR:,1.20
FRTOBA:,66.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,53
-180.0,-66.0,
-85.0,-66.0,
-70.0,-56.0,
-57.0,-49.0,
-30.0,-45.0,
-25.0,-44.0,
-20.0,-41.0,
-17.0,-38.0,
-8.0,-38.0,
-5.0,-32.0,
-3.6,-28.0,
-2.4,-26.0,
-1.6,-23.0,
-1.3,-20.0,
-1.2,-18.6,
-1.1,-16.1,
-1.0,-13.1,
-0.9,-10.7,
-0.8,-8.4,
-0.7,-6.4,
-0.6,-4.6,
-0.5,-3.0,
-0.4,-1.8,
-0.3,-1.0,
-0.2,-0.4,
-0.1,-0.1,
0.0,0.0,
0.1,-0.1,
0.2,-0.4,
0.3,-1.0,
0.4,-1.8,
0.5,-3.0,
0.6,-4.6,
0.7,-6.4,
0.8,-8.4,
0.9,-10.7,
1.0,-13.1,
1.1,-16.1,
1.2,-18.6,
1.3,-20.0,
1.6,-23.0,
2.4,-26.0,
3.6,-28.0,
5.0,-32.0,
8.0,-38.0,
17.0,-38.0,
20.0,-41.0,
25.0,-44.0,
30.0,-45.0,
57.0,-49.0,
70.0,-56.0,
85.0,-66.0,
180.0,-66.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,23
-180.0,-68.0,
-80.0,-68.0,
-60.0,-62.0,
-40.0,-58.0,
-30.0,-54.0,
-15.0,-54.0,
-14.0,-52.0,
-5.0,-48.0,
-3.0,-41.0,
-1.2,-41.0,
-0.5,-32.0,
0.0,-32.0,
0.5,-32.0,
1.2,-41.0,
3.0,-41.0,
5.0,-48.0,
14.0,-52.0,
15.0,-54.0,
30.0,-54.0,
40.0,-58.0,
60.0,-62.0,
80.0,-68.0,
180.0,-68.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,51
-180.0,-66.0,
-90.0,-66.0,
-76.0,-54.0,
-34.0,-45.0,
-23.0,-39.0,
-20.0,-39.0,
-17.0,-36.0,
-12.0,-36.0,
-10.0,-32.0,
-5.0,-30.0,
-3.5,-26.0,
-1.6,-23.0,
-1.3,-20.0,
-1.2,-18.0,
-1.1,-15.7,
-1.0,-13.2,
-0.9,-10.8,
-0.8,-8.6,
-0.7,-6.6,
-0.6,-4.7,
-0.5,-3.2,
-0.4,-1.9,
-0.3,-1.1,
-0.2,-0.4,
-0.1,-0.1,
0.0,0.0,
0.1,-0.1,
0.2,-0.4,
0.3,-1.1,
0.4,-1.9,
0.5,-3.2,
0.6,-4.7,
0.7,-6.6,
0.8,-8.6,
0.9,-10.8,
1.0,-13.2,
1.1,-15.7,
1.2,-18.0,
1.3,-20.0,
1.6,-23.0,
3.5,-26.0,
5.0,-30.0,
10.0,-32.0,
12.0,-36.0,
17.0,-36.0,
20.0,-39.0,
23.0,-39.0,
34.0,-45.0,
76.0,-54.0,
90.0,-66.0,
180.0,-66.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,21
-180.0,-68.0,
-79.8,-68.0,
-60.0,-58.0,
-40.0,-58.0,
-20.0,-53.0,
-15.0,-50.0,
-13.0,-47.0,
-4.0,-47.0,
-1.0,-39.5,
-0.5,-32.0,
0.0,-32.0,
0.5,-32.0,
1.0,-39.5,
4.0,-47.0,
13.0,-47.0,
15.0,-50.0,
20.0,-53.0,
40.0,-58.0,
60.0,-58.0,
79.8,-68.0,
180.0,-68.0,
ENDFIL:,EOF
