REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHX8-127
PATNUM:,1256H
FEDORN:,LEFT 
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19830519
LOWFRQ:,12700
HGHFRQ:,13250
GUNITS:,DBI/DBR
LWGAIN:,47.5
MDGAIN:,47.6
HGGAIN:,47.8
AZWIDT:,0.70
ELWIDT:,0.70
ATVSWR:,1.10
FRTOBA:,80.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,57
-180.00,-80.00,
-171.00,-80.00,
-169.00,-80.00,
-76.52,-80.00,
-71.21,-70.61,
-65.17,-70.12,
-61.56,-66.48,
-56.97,-62.41,
-30.56,-62.41,
-25.15,-61.06,
-20.73,-57.88,
-16.95,-54.89,
-15.00,-54.89,
-14.87,-54.89,
-13.43,-51.49,
-12.17,-49.11,
-9.55,-49.11,
-8.20,-46.76,
-7.40,-39.03,
-4.24,-39.03,
-3.43,-34.05,
-2.12,-26.48,
-1.92,-26.48,
-1.07,-19.13,
-0.53,-5.73,
0.00,0.00,
0.50,-5.79,
1.08,-24.43,
1.92,-28.40,
2.12,-28.40,
3.33,-33.97,
4.96,-36.00,
5.05,-36.46,
6.40,-41.94,
7.48,-41.94,
8.38,-44.86,
9.91,-46.46,
10.10,-48.38,
11.18,-51.72,
12.53,-52.40,
13.88,-53.29,
15.00,-53.29,
17.76,-53.29,
24.88,-56.73,
27.85,-56.73,
33.26,-64.19,
44.89,-64.19,
48.94,-65.95,
52.55,-65.95,
56.60,-69.84,
60.93,-70.16,
65.53,-72.92,
71.03,-77.95,
75.71,-80.00,
169.00,-80.00,
171.00,-80.00,
180.00,-80.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,43
-180.00,-80.00,
-171.00,-80.00,
-169.00,-80.00,
-70.00,-80.00,
-63.50,-73.06,
-15.00,-73.06,
-11.09,-73.06,
-10.10,-72.29,
-8.92,-70.43,
-7.84,-70.43,
-6.67,-70.12,
-5.95,-69.23,
-4.51,-66.56,
-3.24,-58.28,
-2.21,-54.02,
-1.79,-45.91,
-1.17,-39.37,
-0.99,-39.37,
-0.89,-33.00,
0.00,-33.00,
0.58,-33.00,
0.68,-33.00,
1.13,-38.50,
1.56,-47.06,
2.28,-49.41,
3.03,-54.25,
4.24,-58.98,
5.86,-64.80,
6.22,-65.67,
7.75,-67.19,
8.83,-67.21,
9.19,-70.91,
12.35,-70.91,
13.88,-72.53,
15.00,-72.53,
38.31,-72.53,
41.73,-73.56,
60.39,-73.56,
66.70,-78.01,
70.85,-80.00,
169.00,-80.00,
171.00,-80.00,
180.00,-80.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,64
-180.00,-80.00,
-171.00,-80.00,
-169.00,-80.00,
-79.23,-80.00,
-70.94,-75.14,
-67.15,-73.28,
-63.55,-66.50,
-56.97,-66.50,
-53.90,-65.95,
-47.32,-65.57,
-41.10,-65.37,
-35.60,-62.64,
-31.73,-62.64,
-27.76,-60.80,
-20.28,-60.21,
-15.77,-56.91,
-15.00,-56.62,
-14.06,-56.26,
-13.16,-55.41,
-12.17,-50.85,
-9.10,-50.85,
-8.38,-46.88,
-7.03,-40.04,
-6.76,-39.76,
-4.78,-39.76,
-3.24,-35.77,
-2.01,-29.19,
-1.59,-26.09,
-1.46,-26.09,
-0.53,-5.81,
-0.17,-0.36,
0.00,0.00,
0.51,-5.85,
1.01,-22.69,
1.62,-30.26,
2.13,-31.19,
3.79,-35.79,
4.87,-35.85,
5.14,-36.16,
6.04,-42.87,
7.66,-42.87,
8.20,-47.22,
9.91,-49.19,
10.01,-49.85,
11.00,-51.98,
12.80,-53.80,
13.07,-54.73,
14.15,-56.04,
15.00,-56.04,
16.95,-56.04,
20.55,-57.46,
25.24,-58.71,
33.89,-61.18,
42.81,-61.18,
47.23,-63.63,
53.99,-67.51,
59.58,-67.82,
64.81,-67.82,
67.15,-74.07,
70.49,-75.10,
77.70,-80.00,
169.00,-80.00,
171.00,-80.00,
180.00,-80.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,56
-180.00,-80.00,
-171.00,-80.00,
-169.00,-80.00,
-74.09,-80.00,
-65.89,-78.22,
-61.29,-74.21,
-54.08,-74.21,
-45.43,-73.38,
-40.02,-71.62,
-15.00,-71.62,
-13.34,-71.62,
-12.89,-71.05,
-11.90,-71.05,
-10.46,-69.64,
-9.64,-69.64,
-8.38,-68.71,
-7.30,-63.64,
-6.49,-62.99,
-4.60,-62.99,
-3.79,-59.67,
-2.01,-49.41,
-1.71,-44.51,
-1.01,-40.41,
-0.68,-34.28,
-0.58,-33.00,
0.00,-33.00,
0.58,-33.00,
0.70,-39.00,
1.17,-41.76,
1.53,-47.73,
2.07,-51.18,
3.70,-57.79,
4.78,-57.79,
5.50,-65.33,
6.67,-65.57,
7.21,-67.19,
8.20,-67.29,
10.28,-68.42,
11.36,-68.42,
12.35,-69.09,
13.70,-69.74,
15.00,-69.94,
15.68,-70.04,
27.58,-70.04,
31.37,-70.79,
39.48,-70.79,
43.63,-71.90,
48.49,-72.25,
56.15,-72.25,
63.09,-77.10,
66.70,-78.14,
72.56,-78.14,
76.52,-80.00,
169.00,-80.00,
171.00,-80.00,
180.00,-80.00,
ENDFIL:,EOF
