REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,P10-6812
PATNUM:,1096
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19921002
LOWFRQ:,12700
HGHFRQ:,13250
GUNITS:,DBI/DBR
LWGAIN:,44.7
MDGAIN:,43.1
HGGAIN:,40.7
AZWIDT:,1.10
ELWIDT:,1.10
ATVSWR:,1.15
FRTOBA:,60.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,57
-180.00,-60.00,
-170.00,-60.00,
-170.00,-63.00,
-110.00,-63.00,
-100.00,-51.00,
-85.00,-51.00,
-68.00,-48.00,
-65.00,-44.00,
-50.00,-42.00,
-40.00,-37.00,
-20.00,-34.00,
-15.00,-30.00,
-9.50,-30.00,
-9.00,-28.00,
-4.00,-28.00,
-2.00,-17.50,
-1.50,-17.50,
-1.00,-14.00,
-0.90,-11.34,
-0.80,-8.96,
-0.70,-6.86,
-0.60,-5.04,
-0.50,-3.50,
-0.40,-2.24,
-0.30,-1.26,
-0.20,-0.56,
-0.10,-0.14,
-0.05,-0.04,
0.00,0.00,
0.05,-0.04,
0.10,-0.14,
0.20,-0.56,
0.30,-1.26,
0.40,-2.24,
0.50,-3.50,
0.60,-5.04,
0.70,-6.86,
0.80,-8.96,
0.90,-11.34,
1.00,-14.00,
1.50,-17.50,
2.00,-17.50,
4.00,-28.00,
9.00,-28.00,
9.50,-30.00,
15.00,-30.00,
20.00,-34.00,
40.00,-37.00,
50.00,-42.00,
65.00,-44.00,
68.00,-48.00,
85.00,-51.00,
100.00,-51.00,
110.00,-63.00,
170.00,-63.00,
170.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,37
-180.00,-64.00,
-170.00,-64.00,
-170.00,-72.00,
-110.00,-72.00,
-100.00,-69.00,
-75.00,-69.00,
-60.00,-62.00,
-50.00,-62.00,
-35.00,-57.00,
-15.00,-55.00,
-11.50,-55.00,
-11.00,-52.00,
-10.00,-52.00,
-9.00,-40.00,
-8.00,-40.00,
-7.00,-33.00,
-2.00,-33.00,
-1.00,-16.00,
0.00,-16.00,
1.00,-16.00,
2.00,-33.00,
7.00,-33.00,
8.00,-40.00,
9.00,-40.00,
10.00,-52.00,
11.00,-52.00,
11.50,-55.00,
15.00,-55.00,
35.00,-57.00,
50.00,-62.00,
60.00,-62.00,
75.00,-69.00,
100.00,-69.00,
110.00,-72.00,
170.00,-72.00,
170.00,-64.00,
180.00,-64.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,67
-180.00,-60.00,
-170.00,-60.00,
-170.00,-67.00,
-110.00,-67.00,
-100.00,-54.00,
-65.00,-54.00,
-60.00,-49.00,
-50.00,-49.00,
-45.00,-43.00,
-40.00,-39.00,
-27.00,-39.00,
-25.00,-37.00,
-15.00,-36.00,
-12.50,-32.00,
-8.00,-32.00,
-7.00,-30.00,
-6.00,-27.00,
-5.00,-21.00,
-4.00,-21.00,
-3.00,-15.00,
-2.00,-12.00,
-1.50,-12.00,
-1.40,-9.72,
-1.30,-7.68,
-1.20,-5.88,
-1.10,-4.32,
-1.00,-3.00,
-0.90,-1.92,
-0.80,-1.08,
-0.70,-0.48,
-0.60,-0.12,
-0.55,-0.03,
-0.50,0.00,
0.00,0.00,
0.50,0.00,
0.55,-0.03,
0.60,-0.12,
0.70,-0.48,
0.80,-1.08,
0.90,-1.92,
1.00,-3.00,
1.10,-4.32,
1.20,-5.88,
1.30,-7.68,
1.40,-9.72,
1.50,-12.00,
2.00,-12.00,
3.00,-15.00,
4.00,-21.00,
5.00,-21.00,
6.00,-27.00,
7.00,-30.00,
8.00,-32.00,
12.00,-32.00,
15.00,-36.00,
25.00,-37.00,
27.00,-39.00,
40.00,-39.00,
45.00,-43.00,
50.00,-49.00,
60.00,-49.00,
65.00,-54.00,
100.00,-54.00,
110.00,-67.00,
170.00,-67.00,
170.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,33
-180.00,-64.00,
-170.00,-64.00,
-110.00,-64.00,
-100.00,-51.00,
-80.00,-49.00,
-55.00,-49.00,
-50.00,-45.00,
-40.00,-42.00,
-15.00,-39.00,
-13.00,-35.00,
-11.00,-35.00,
-10.00,-33.00,
-8.00,-33.00,
-7.00,-29.00,
-2.00,-24.00,
-1.50,-10.00,
0.00,-10.00,
1.50,-10.00,
2.00,-24.00,
7.00,-29.00,
8.00,-33.00,
10.00,-33.00,
11.00,-35.00,
13.00,-35.00,
15.00,-39.00,
40.00,-42.00,
50.00,-45.00,
55.00,-49.00,
80.00,-49.00,
100.00,-51.00,
110.00,-64.00,
170.00,-64.00,
180.00,-64.00,
ENDFIL:,EOF
