REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PX10-127
PATNUM:,3225C
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19811022
LOWFRQ:,12700
HGHFRQ:,13250
GUNITS:,DBI/DBR
LWGAIN:,48.7
MDGAIN:,48.8
HGGAIN:,49.0
AZWIDT:,0.60
ELWIDT:,0.60
ATVSWR:,1.10
FRTOBA:,57.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,31
-180.00,-57.00,
-175.00,-57.00,
-175.00,-70.00,
-115.00,-70.00,
-102.50,-55.00,
-100.00,-55.00,
-100.00,-52.00,
-60.00,-52.00,
-50.00,-48.00,
-20.00,-48.00,
-15.00,-39.90,
-7.00,-28.00,
-4.00,-28.00,
-1.00,-24.00,
-0.50,-7.00,
0.00,0.00,
0.50,-7.00,
1.00,-24.00,
4.00,-28.00,
7.00,-28.00,
15.00,-39.90,
20.00,-48.00,
50.00,-48.00,
60.00,-52.00,
100.00,-52.00,
100.00,-55.00,
102.50,-55.00,
115.00,-70.00,
175.00,-70.00,
175.00,-57.00,
180.00,-57.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,23
-180.00,-57.00,
-175.00,-57.00,
-175.00,-70.00,
-90.00,-70.00,
-60.00,-64.00,
-20.00,-64.00,
-15.00,-56.00,
-10.00,-54.00,
-8.00,-44.00,
-4.00,-44.00,
-1.10,-30.00,
0.00,-30.00,
1.10,-30.00,
4.00,-44.00,
8.00,-44.00,
10.00,-54.00,
15.00,-56.00,
20.00,-64.00,
60.00,-64.00,
90.00,-70.00,
175.00,-70.00,
175.00,-57.00,
180.00,-57.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,29
-180.00,-57.00,
-175.00,-57.00,
-175.00,-70.00,
-115.00,-70.00,
-102.50,-55.00,
-100.00,-55.00,
-100.00,-52.00,
-50.00,-52.00,
-21.00,-47.00,
-15.00,-39.90,
-7.00,-30.00,
-4.00,-30.00,
-1.00,-24.00,
-0.50,-7.00,
0.00,0.00,
0.50,-7.00,
1.00,-24.00,
4.00,-30.00,
7.00,-30.00,
15.00,-39.90,
21.00,-47.00,
50.00,-52.00,
100.00,-52.00,
100.00,-55.00,
102.50,-55.00,
115.00,-70.00,
175.00,-70.00,
175.00,-57.00,
180.00,-57.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,19
-180.00,-57.00,
-175.00,-57.00,
-175.00,-70.00,
-90.00,-70.00,
-60.00,-64.00,
-12.10,-64.00,
-8.00,-40.00,
-4.00,-40.00,
-1.10,-30.00,
0.00,-30.00,
1.10,-30.00,
4.00,-40.00,
8.00,-40.00,
12.10,-64.00,
60.00,-64.00,
90.00,-70.00,
175.00,-70.00,
175.00,-57.00,
180.00,-57.00,
ENDFIL:,EOF
