REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHPX2.5-130
PATNUM:,3840
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19980331
LOWFRQ:,12700
HGHFRQ:,13250
GUNITS:,DBI/DBR
LWGAIN:,37.2
MDGAIN:,37.5
HGGAIN:,37.7
AZWIDT:,2.10
ELWIDT:,2.10
ATVSWR:,1.25
FRTOBA:,63.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,43
-180.0,-63.0,
-90.0,-63.0,
-50.0,-44.0,
-24.0,-44.0,
-17.8,-35.6,
-15.0,-35.6,
-14.0,-35.0,
-10.8,-32.0,
-9.0,-32.0,
-6.8,-26.0,
-5.0,-26.0,
-3.6,-22.7,
-2.8,-22.7,
-2.5,-18.0,
-2.3,-14.0,
-2.0,-10.0,
-1.6,-6.6,
-1.3,-4.0,
-1.0,-2.1,
-0.7,-0.9,
-0.3,-0.1,
0.0,0.0,
0.3,-0.1,
0.7,-0.9,
1.0,-2.1,
1.3,-4.0,
1.6,-6.6,
2.0,-10.0,
2.3,-14.0,
2.5,-18.0,
2.8,-22.7,
3.6,-22.7,
5.0,-26.0,
6.8,-26.0,
9.0,-32.0,
10.8,-32.0,
14.0,-35.0,
15.0,-35.6,
17.8,-35.6,
24.0,-44.0,
50.0,-44.0,
90.0,-63.0,
180.0,-63.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,33
-180.0,-63.0,
-99.8,-63.0,
-78.0,-63.0,
-75.0,-63.0,
-60.0,-60.0,
-48.0,-52.5,
-37.6,-52.5,
-24.0,-52.5,
-21.0,-51.8,
-15.0,-51.8,
-12.0,-48.0,
-4.6,-48.0,
-3.0,-48.0,
-2.3,-44.0,
-1.6,-40.0,
-1.0,-32.0,
0.0,-32.0,
1.0,-32.0,
1.6,-40.0,
2.3,-44.0,
3.0,-48.0,
4.6,-48.0,
12.0,-48.0,
15.0,-51.8,
21.0,-51.8,
24.0,-52.5,
37.6,-52.5,
48.0,-52.5,
60.0,-60.0,
75.0,-63.0,
78.0,-63.0,
99.8,-63.0,
180.0,-63.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,41
-180.0,-63.0,
-85.0,-63.0,
-50.0,-44.8,
-30.0,-44.8,
-20.0,-31.0,
-15.0,-31.0,
-12.0,-31.0,
-10.5,-28.0,
-8.0,-28.0,
-6.7,-26.0,
-4.5,-26.0,
-3.4,-23.0,
-3.0,-20.0,
-2.3,-16.0,
-2.1,-12.1,
-1.8,-8.0,
-1.3,-4.4,
-1.0,-2.2,
-0.7,-0.9,
-0.3,-0.1,
0.0,0.0,
0.3,-0.1,
0.7,-0.9,
1.0,-2.2,
1.3,-4.4,
1.8,-8.0,
2.1,-12.1,
2.3,-16.0,
3.0,-20.0,
3.4,-23.0,
4.5,-26.0,
6.7,-26.0,
8.0,-28.0,
10.5,-28.0,
12.0,-31.0,
15.0,-31.0,
20.0,-31.0,
30.0,-44.8,
50.0,-44.8,
85.0,-63.0,
180.0,-63.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,31
-180.0,-63.0,
-125.0,-63.0,
-120.0,-63.0,
-90.0,-63.0,
-70.0,-63.0,
-48.0,-52.0,
-17.0,-52.0,
-15.0,-50.0,
-12.0,-50.0,
-6.0,-50.0,
-3.3,-50.0,
-3.0,-48.0,
-2.3,-42.0,
-2.0,-40.0,
-1.0,-32.0,
0.0,-32.0,
1.0,-32.0,
2.0,-40.0,
2.3,-42.0,
3.0,-48.0,
3.3,-50.0,
6.0,-50.0,
12.0,-50.0,
15.0,-50.0,
17.0,-52.0,
48.0,-52.0,
70.0,-63.0,
90.0,-63.0,
120.0,-63.0,
125.0,-63.0,
180.0,-63.0,
ENDFIL:,EOF
