REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHLP2.5-130
PATNUM:,4002A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20000928
LOWFRQ:,12700
HGHFRQ:,13250
GUNITS:,DBI/DBR
LWGAIN:,38.2
MDGAIN:,38.4
HGGAIN:,38.6
AZWIDT:,2.10
ELWIDT:,2.10
ATVSWR:,1.30
FRTOBA:,65.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,53
-180.00,-65.00,
-95.00,-65.00,
-65.00,-45.00,
-40.00,-45.00,
-35.00,-41.00,
-25.00,-41.00,
-20.00,-39.00,
-15.00,-36.00,
-13.00,-30.00,
-10.00,-28.00,
-7.00,-24.00,
-5.00,-24.00,
-4.00,-18.00,
-2.50,-18.00,
-2.24,-15.00,
-2.16,-13.90,
-2.00,-11.50,
-1.81,-8.90,
-1.60,-6.50,
-1.39,-4.60,
-1.21,-3.30,
-1.00,-2.20,
-0.80,-1.20,
-0.59,-0.70,
-0.40,-0.30,
-0.19,-0.10,
0.00,0.00,
0.19,-0.10,
0.40,-0.30,
0.59,-0.70,
0.80,-1.20,
1.00,-2.20,
1.21,-3.30,
1.39,-4.60,
1.60,-6.50,
1.81,-8.90,
2.00,-11.50,
2.16,-13.90,
2.24,-15.00,
2.50,-18.00,
4.00,-18.00,
5.00,-24.00,
7.00,-24.00,
10.00,-28.00,
13.00,-30.00,
15.00,-36.00,
20.00,-39.00,
25.00,-41.00,
35.00,-41.00,
40.00,-45.00,
65.00,-45.00,
95.00,-65.00,
180.00,-65.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,23
-180.00,-66.00,
-75.00,-66.00,
-60.00,-60.00,
-45.00,-58.00,
-30.00,-58.00,
-22.50,-56.00,
-15.00,-50.00,
-10.00,-46.00,
-5.00,-44.00,
-4.00,-40.00,
-2.50,-30.00,
0.00,-30.00,
2.50,-30.00,
4.00,-40.00,
5.00,-44.00,
10.00,-46.00,
15.00,-50.00,
22.50,-56.00,
30.00,-58.00,
45.00,-58.00,
60.00,-60.00,
75.00,-66.00,
180.00,-66.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,49
-180.00,-65.00,
-90.00,-65.00,
-60.00,-46.00,
-45.00,-41.00,
-30.00,-41.00,
-30.00,-39.00,
-20.00,-39.00,
-18.00,-36.00,
-15.00,-36.00,
-13.00,-30.00,
-11.50,-30.00,
-10.00,-28.00,
-10.00,-26.50,
-7.00,-26.50,
-6.50,-24.00,
-5.00,-24.00,
-3.32,-16.00,
-2.13,-16.00,
-1.99,-12.90,
-1.64,-8.00,
-1.32,-4.75,
-1.01,-2.50,
-0.67,-1.05,
-0.32,-0.20,
0.00,0.00,
0.32,-0.20,
0.67,-1.05,
1.01,-2.50,
1.32,-4.75,
1.64,-8.00,
1.99,-12.90,
2.13,-16.00,
3.32,-16.00,
5.00,-24.00,
6.50,-24.00,
7.00,-26.50,
10.00,-26.50,
10.00,-28.00,
11.50,-30.00,
13.00,-30.00,
15.00,-36.00,
18.00,-36.00,
20.00,-39.00,
30.00,-39.00,
30.00,-41.00,
45.00,-41.00,
60.00,-46.00,
90.00,-65.00,
180.00,-65.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,23
-180.00,-66.00,
-90.00,-66.00,
-80.00,-61.00,
-60.50,-61.00,
-40.00,-56.00,
-20.00,-56.00,
-15.00,-50.00,
-11.00,-50.00,
-9.00,-44.00,
-4.00,-44.00,
-2.50,-30.00,
0.00,-30.00,
2.50,-30.00,
4.00,-44.00,
9.00,-44.00,
11.00,-50.00,
15.00,-50.00,
20.00,-56.00,
40.00,-56.00,
60.50,-61.00,
80.00,-61.00,
90.00,-66.00,
180.00,-66.00,
ENDFIL:,EOF
