REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,KP3F-13
PATNUM:,4365
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19980415
LOWFRQ:,1350
HGHFRQ:,1517
GUNITS:,DBI/DBR
LWGAIN:,19.6
MDGAIN:,21.4
HGGAIN:,21.2
AZWIDT:,12.10
ELWIDT:,12.10
ATVSWR:,1.50
FRTOBA:,30.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,65
-180.00,-30.00,
-163.80,-30.00,
-159.60,-34.05,
-151.50,-34.05,
-146.40,-31.50,
-131.10,-31.50,
-123.90,-28.05,
-120.30,-28.05,
-117.60,-24.45,
-112.50,-24.45,
-107.40,-20.55,
-102.60,-20.55,
-99.00,-18.90,
-95.70,-18.90,
-90.90,-16.50,
-14.05,-16.50,
-13.35,-14.00,
-12.40,-11.00,
-12.00,-11.00,
-11.40,-9.20,
-10.45,-7.20,
-9.95,-7.10,
-9.50,-6.20,
-8.45,-4.40,
-7.95,-4.40,
-7.50,-3.80,
-6.45,-2.50,
-5.95,-2.50,
-5.40,-2.00,
-4.05,-0.90,
-2.90,-0.40,
-1.50,-0.10,
0.00,0.00,
1.50,-0.10,
2.90,-0.40,
4.05,-0.90,
5.40,-2.00,
5.95,-2.50,
6.45,-2.50,
7.50,-3.80,
7.95,-4.40,
8.45,-4.40,
9.50,-6.20,
9.95,-7.10,
10.45,-7.20,
11.40,-9.20,
12.00,-11.00,
12.40,-11.00,
13.35,-14.00,
14.05,-16.50,
90.90,-16.50,
95.70,-18.90,
99.00,-18.90,
102.60,-20.55,
107.40,-20.55,
112.50,-24.45,
117.60,-24.45,
120.30,-28.05,
123.90,-28.05,
131.10,-31.50,
146.40,-31.50,
151.50,-34.05,
159.60,-34.05,
163.80,-30.00,
180.00,-30.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,7
-180.00,-36.50,
-26.70,-36.50,
-19.50,-35.00,
0.00,-35.00,
19.50,-35.00,
26.70,-36.50,
180.00,-36.50,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,55
-180.00,-30.50,
-168.00,-30.50,
-165.30,-33.00,
-155.70,-33.00,
-151.50,-31.50,
-130.20,-31.50,
-112.80,-22.05,
-98.40,-22.05,
-93.60,-19.05,
-54.60,-19.05,
-51.00,-18.00,
-39.00,-18.00,
-30.00,-12.00,
-12.75,-12.00,
-12.50,-11.00,
-12.35,-10.80,
-11.70,-8.90,
-11.35,-9.10,
-9.95,-6.10,
-9.65,-5.80,
-9.30,-5.80,
-8.50,-4.40,
-7.55,-3.10,
-7.00,-3.10,
-5.40,-1.50,
-4.85,-1.50,
-3.50,-0.50,
0.00,0.00,
3.50,-0.50,
4.85,-1.50,
5.40,-1.50,
7.00,-3.10,
7.55,-3.10,
8.50,-4.40,
9.30,-5.80,
9.65,-5.80,
9.95,-6.10,
11.35,-9.10,
11.70,-8.90,
12.35,-10.80,
12.50,-11.00,
12.75,-12.00,
30.00,-12.00,
39.00,-18.00,
51.00,-18.00,
54.60,-19.05,
93.60,-19.05,
98.40,-22.05,
112.80,-22.05,
130.20,-31.50,
151.50,-31.50,
155.70,-33.00,
165.30,-33.00,
168.00,-30.50,
180.00,-30.50,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,7
-180.00,-33.00,
-108.30,-33.00,
-104.40,-32.00,
0.00,-32.00,
104.40,-32.00,
108.30,-33.00,
180.00,-33.00,
ENDFIL:,EOF
