REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,KP10F-13
PATNUM:,4369
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19980324
LOWFRQ:,1350
HGHFRQ:,1517
GUNITS:,DBI/DBR
LWGAIN:,29.6
MDGAIN:,30.7
HGGAIN:,30.8
AZWIDT:,4.70
ELWIDT:,4.70
ATVSWR:,1.20
FRTOBA:,38.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,67
-180.00,-40.10,
-166.50,-40.10,
-165.90,-42.00,
-155.10,-42.00,
-152.10,-40.50,
-143.10,-40.50,
-140.10,-38.40,
-115.50,-38.40,
-109.80,-34.05,
-105.00,-34.05,
-104.10,-31.95,
-99.30,-31.95,
-96.30,-29.10,
-90.00,-29.10,
-88.50,-27.90,
-30.60,-27.90,
-26.35,-25.50,
-18.25,-25.50,
-17.20,-23.50,
-9.35,-23.50,
-8.00,-18.00,
-5.55,-18.00,
-5.00,-14.00,
-4.60,-10.80,
-3.95,-7.00,
-3.65,-6.90,
-3.05,-4.10,
-2.95,-4.10,
-2.55,-3.00,
-1.95,-1.20,
-1.55,-1.20,
-1.15,-0.40,
-0.70,-0.10,
0.00,0.00,
0.70,-0.10,
1.15,-0.40,
1.55,-1.20,
1.95,-1.20,
2.55,-3.00,
2.95,-4.10,
3.05,-4.10,
3.65,-6.90,
3.95,-7.00,
4.60,-10.80,
5.00,-14.00,
5.55,-18.00,
8.00,-18.00,
9.35,-23.50,
17.20,-23.50,
18.25,-25.50,
26.35,-25.50,
30.60,-27.90,
88.50,-27.90,
90.00,-29.10,
96.30,-29.10,
99.30,-31.95,
104.10,-31.95,
105.00,-34.05,
109.80,-34.05,
115.50,-38.40,
140.10,-38.40,
143.10,-40.50,
152.10,-40.50,
155.10,-42.00,
165.90,-42.00,
166.50,-40.10,
180.00,-40.10,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,7
-180.00,-44.00,
-104.70,-44.00,
-94.20,-34.10,
0.00,-34.10,
94.20,-34.10,
104.70,-44.00,
180.00,-44.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,45
-180.00,-38.00,
-167.10,-38.00,
-165.30,-39.60,
-154.80,-39.60,
-149.70,-36.00,
-101.10,-36.00,
-95.10,-31.05,
-70.20,-31.05,
-67.50,-29.85,
-37.80,-29.85,
-30.00,-24.00,
-19.85,-24.00,
-17.40,-22.00,
-12.60,-22.00,
-9.50,-15.00,
-5.45,-15.00,
-4.75,-11.00,
-4.30,-8.60,
-3.75,-6.20,
-2.70,-3.00,
-1.85,-1.40,
-1.15,-0.40,
0.00,0.00,
1.15,-0.40,
1.85,-1.40,
2.70,-3.00,
3.75,-6.20,
4.30,-8.60,
4.75,-11.00,
5.45,-15.00,
9.50,-15.00,
12.60,-22.00,
17.40,-22.00,
19.85,-24.00,
30.00,-24.00,
37.80,-29.85,
67.50,-29.85,
70.20,-31.05,
95.10,-31.05,
101.10,-36.00,
149.70,-36.00,
154.80,-39.60,
165.30,-39.60,
167.10,-38.00,
180.00,-38.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,11
-180.00,-43.55,
-164.40,-43.55,
-157.50,-37.55,
-111.60,-37.55,
-99.90,-32.00,
0.00,-32.00,
99.90,-32.00,
111.60,-37.55,
157.50,-37.55,
164.40,-43.55,
180.00,-43.55,
ENDFIL:,EOF
