REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,FP8F-13
PATNUM:,2594
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19960926
LOWFRQ:,1350
HGHFRQ:,1535
GUNITS:,DBI/DBR
LWGAIN:,28.3
MDGAIN:,28.8
HGGAIN:,29.4
AZWIDT:,6.10
ELWIDT:,6.10
ATVSWR:,1.30
FRTOBA:,48.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,41
-180.00,-48.00,
-109.80,-48.00,
-80.00,-33.00,
-67.00,-33.00,
-60.00,-28.00,
-30.00,-28.00,
-21.00,-22.50,
-15.00,-22.50,
-13.00,-22.50,
-12.00,-20.00,
-7.70,-19.50,
-7.50,-17.80,
-7.00,-14.80,
-6.50,-12.30,
-5.70,-9.00,
-5.05,-6.90,
-4.40,-5.30,
-3.65,-3.40,
-2.30,-1.30,
-1.30,-0.50,
0.00,0.00,
1.30,-0.50,
2.30,-1.30,
3.65,-3.40,
4.40,-5.30,
5.05,-6.90,
5.70,-9.00,
6.50,-12.30,
7.00,-14.80,
7.50,-17.80,
7.70,-19.50,
12.00,-20.00,
13.00,-22.50,
15.00,-22.50,
21.00,-22.50,
30.00,-28.00,
60.00,-28.00,
67.00,-33.00,
80.00,-33.00,
109.80,-48.00,
180.00,-48.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,21
-180.00,-50.00,
-80.00,-50.00,
-78.00,-49.00,
-49.00,-49.00,
-43.50,-47.00,
-26.80,-47.00,
-23.00,-45.50,
-15.00,-45.50,
-10.00,-45.50,
-5.00,-30.00,
0.00,-30.00,
5.00,-30.00,
10.00,-45.50,
15.00,-45.50,
23.00,-45.50,
26.80,-47.00,
43.50,-47.00,
49.00,-49.00,
78.00,-49.00,
80.00,-50.00,
180.00,-50.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,43
-180.00,-48.00,
-110.00,-48.00,
-80.00,-30.00,
-67.00,-30.00,
-35.50,-30.00,
-29.00,-26.00,
-26.00,-26.00,
-20.00,-19.00,
-19.00,-19.00,
-15.00,-19.00,
-10.25,-19.00,
-7.70,-19.00,
-7.50,-17.80,
-7.00,-14.79,
-6.50,-12.31,
-5.70,-9.02,
-5.05,-6.90,
-4.40,-5.30,
-3.65,-3.40,
-2.30,-1.30,
-1.30,-0.50,
0.00,0.00,
1.30,-0.50,
2.30,-1.30,
3.65,-3.40,
4.40,-5.30,
5.05,-6.90,
5.70,-9.02,
6.50,-12.31,
7.00,-14.79,
7.50,-17.80,
7.70,-19.00,
10.25,-19.00,
15.00,-19.00,
19.00,-19.00,
20.00,-19.00,
26.00,-26.00,
29.00,-26.00,
35.50,-30.00,
67.00,-30.00,
80.00,-30.00,
110.00,-48.00,
180.00,-48.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,21
-180.00,-50.00,
-110.00,-50.00,
-73.00,-50.00,
-72.00,-49.00,
-70.00,-49.00,
-35.00,-49.00,
-30.00,-44.00,
-15.00,-44.00,
-13.00,-44.00,
-6.00,-30.00,
0.00,-30.00,
6.00,-30.00,
13.00,-44.00,
15.00,-44.00,
30.00,-44.00,
35.00,-49.00,
70.00,-49.00,
72.00,-49.00,
73.00,-50.00,
110.00,-50.00,
180.00,-50.00,
ENDFIL:,EOF
