REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHLP1-142
PATNUM:,4006A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20000925
LOWFRQ:,14250
HGHFRQ:,15350
GUNITS:,DBI/DBR
LWGAIN:,32.0
MDGAIN:,32.3
HGGAIN:,32.6
AZWIDT:,3.80
ELWIDT:,3.80
ATVSWR:,1.30
FRTOBA:,54.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,47
-180.00,-54.00,
-90.00,-54.00,
-78.00,-48.00,
-67.00,-37.00,
-60.00,-37.00,
-55.00,-36.00,
-50.00,-36.00,
-45.00,-32.00,
-30.00,-32.00,
-24.00,-27.00,
-18.00,-27.00,
-15.00,-23.00,
-13.00,-19.00,
-10.00,-19.00,
-7.50,-12.00,
-3.75,-12.00,
-3.50,-10.00,
-3.00,-7.00,
-2.50,-4.67,
-2.00,-2.71,
-1.50,-1.42,
-1.00,-0.47,
-0.50,-0.10,
0.00,0.00,
0.50,-0.10,
1.00,-0.47,
1.50,-1.42,
2.00,-2.71,
2.50,-4.67,
3.00,-7.00,
3.50,-10.00,
3.75,-12.00,
7.50,-12.00,
10.00,-19.00,
13.00,-19.00,
15.00,-23.00,
18.00,-27.00,
24.00,-27.00,
30.00,-32.00,
45.00,-32.00,
50.00,-36.00,
55.00,-36.00,
60.00,-37.00,
67.00,-37.00,
78.00,-48.00,
90.00,-54.00,
180.00,-54.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,23
-180.00,-61.00,
-100.00,-61.00,
-82.00,-58.00,
-60.00,-58.00,
-44.00,-54.00,
-30.00,-54.00,
-22.00,-54.00,
-15.00,-46.00,
-9.00,-46.00,
-7.50,-42.00,
-4.00,-30.00,
0.00,-30.00,
4.00,-30.00,
7.50,-42.00,
9.00,-46.00,
15.00,-46.00,
22.00,-54.00,
30.00,-54.00,
44.00,-54.00,
60.00,-58.00,
82.00,-58.00,
100.00,-61.00,
180.00,-61.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,45
-180.00,-55.00,
-90.00,-55.00,
-80.00,-47.00,
-70.00,-47.00,
-60.00,-40.00,
-45.00,-40.00,
-38.00,-38.00,
-30.00,-35.00,
-25.50,-32.00,
-18.00,-32.00,
-16.50,-30.00,
-15.00,-24.00,
-10.50,-24.00,
-6.50,-12.00,
-3.75,-12.00,
-3.50,-9.75,
-3.00,-7.04,
-2.50,-4.53,
-2.00,-2.71,
-1.50,-1.56,
-1.00,-0.54,
-0.50,0.00,
0.00,0.00,
0.50,0.00,
1.00,-0.54,
1.50,-1.56,
2.00,-2.71,
2.50,-4.53,
3.00,-7.04,
3.50,-9.75,
3.75,-12.00,
6.50,-12.00,
10.50,-24.00,
15.00,-24.00,
16.50,-30.00,
18.00,-32.00,
25.50,-32.00,
30.00,-35.00,
38.00,-38.00,
45.00,-40.00,
60.00,-40.00,
70.00,-47.00,
80.00,-47.00,
90.00,-55.00,
180.00,-55.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,19
-180.00,-57.00,
-90.00,-57.00,
-60.00,-50.00,
-50.00,-50.00,
-45.00,-44.00,
-13.50,-44.00,
-10.50,-38.00,
-6.00,-38.00,
-4.00,-30.00,
0.00,-30.00,
4.00,-30.00,
6.00,-38.00,
10.50,-38.00,
13.50,-44.00,
45.00,-44.00,
50.00,-50.00,
60.00,-50.00,
90.00,-57.00,
180.00,-57.00,
ENDFIL:,EOF
