REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VP2A-142
PATNUM:,4254
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19940913
LOWFRQ:,14250
HGHFRQ:,15350
GUNITS:,DBI/DBR
LWGAIN:,36.4
MDGAIN:,36.7
HGGAIN:,37.0
AZWIDT:,2.40
ELWIDT:,2.40
ATVSWR:,1.20
FRTOBA:,45.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,89
-180.0,-45.0,
-113.0,-45.0,
-100.0,-36.0,
-85.0,-33.6,
-46.5,-33.6,
-25.0,-32.0,
-16.0,-32.0,
-15.0,-30.5,
-14.0,-29.0,
-11.0,-29.0,
-9.0,-25.0,
-6.0,-25.0,
-4.0,-20.0,
-3.2,-20.0,
-3.2,-19.0,
-3.1,-18.0,
-3.0,-17.0,
-2.9,-16.0,
-2.8,-15.0,
-2.7,-14.0,
-2.6,-13.0,
-2.5,-12.0,
-2.4,-11.0,
-2.3,-10.0,
-2.2,-9.0,
-2.0,-8.0,
-1.9,-7.0,
-1.8,-6.0,
-1.6,-5.0,
-1.6,-4.8,
-1.5,-4.2,
-1.4,-3.6,
-1.3,-3.0,
-1.1,-2.4,
-1.0,-1.8,
-0.8,-1.2,
-0.6,-0.6,
-0.4,-0.3,
-0.4,-0.3,
-0.4,-0.3,
-0.3,-0.2,
-0.3,-0.2,
-0.2,-0.1,
-0.2,-0.1,
0.0,0.0,
0.2,-0.1,
0.2,-0.1,
0.3,-0.2,
0.3,-0.2,
0.4,-0.3,
0.4,-0.3,
0.4,-0.3,
0.6,-0.6,
0.8,-1.2,
1.0,-1.8,
1.1,-2.4,
1.3,-3.0,
1.4,-3.6,
1.5,-4.2,
1.6,-4.8,
1.6,-5.0,
1.8,-6.0,
1.9,-7.0,
2.0,-8.0,
2.2,-9.0,
2.3,-10.0,
2.4,-11.0,
2.5,-12.0,
2.6,-13.0,
2.7,-14.0,
2.8,-15.0,
2.9,-16.0,
3.0,-17.0,
3.1,-18.0,
3.2,-19.0,
3.2,-20.0,
4.0,-20.0,
6.0,-25.0,
9.0,-25.0,
11.0,-29.0,
14.0,-29.0,
15.0,-30.5,
16.0,-32.0,
25.0,-32.0,
46.5,-33.6,
85.0,-33.6,
100.0,-36.0,
113.0,-45.0,
180.0,-45.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,15
-180.0,-50.0,
-45.0,-50.0,
-38.0,-47.0,
-26.0,-47.0,
-15.0,-41.0,
-5.0,-41.0,
-2.0,-32.0,
0.0,-32.0,
2.0,-32.0,
5.0,-41.0,
15.0,-41.0,
26.0,-47.0,
38.0,-47.0,
45.0,-50.0,
180.0,-50.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,81
-180.0,-45.0,
-110.0,-45.0,
-97.0,-36.5,
-40.0,-36.5,
-34.0,-32.1,
-20.0,-30.0,
-17.0,-24.0,
-15.0,-24.0,
-6.0,-24.0,
-3.2,-20.0,
-3.2,-19.0,
-3.1,-18.0,
-3.0,-17.0,
-2.9,-16.0,
-2.8,-15.0,
-2.7,-14.0,
-2.6,-13.0,
-2.5,-12.0,
-2.4,-11.0,
-2.3,-10.0,
-2.2,-9.0,
-2.0,-8.0,
-1.9,-7.0,
-1.8,-6.0,
-1.6,-5.0,
-1.6,-4.8,
-1.5,-4.2,
-1.4,-3.6,
-1.3,-3.0,
-1.1,-2.4,
-1.0,-1.8,
-0.8,-1.2,
-0.6,-0.6,
-0.4,-0.3,
-0.4,-0.3,
-0.4,-0.3,
-0.3,-0.2,
-0.3,-0.2,
-0.2,-0.1,
-0.2,-0.1,
0.0,0.0,
0.2,-0.1,
0.2,-0.1,
0.3,-0.2,
0.3,-0.2,
0.4,-0.3,
0.4,-0.3,
0.4,-0.3,
0.6,-0.6,
0.8,-1.2,
1.0,-1.8,
1.1,-2.4,
1.3,-3.0,
1.4,-3.6,
1.5,-4.2,
1.6,-4.8,
1.6,-5.0,
1.8,-6.0,
1.9,-7.0,
2.0,-8.0,
2.2,-9.0,
2.3,-10.0,
2.4,-11.0,
2.5,-12.0,
2.6,-13.0,
2.7,-14.0,
2.8,-15.0,
2.9,-16.0,
3.0,-17.0,
3.1,-18.0,
3.2,-19.0,
3.2,-20.0,
6.0,-24.0,
15.0,-24.0,
17.0,-24.0,
20.0,-30.0,
34.0,-32.1,
40.0,-36.5,
97.0,-36.5,
110.0,-45.0,
180.0,-45.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,15
-180.0,-50.0,
-53.0,-50.0,
-47.0,-48.0,
-22.0,-48.0,
-15.0,-41.0,
-5.0,-41.0,
-2.0,-32.0,
0.0,-32.0,
2.0,-32.0,
5.0,-41.0,
15.0,-41.0,
22.0,-48.0,
47.0,-48.0,
53.0,-50.0,
180.0,-50.0,
ENDFIL:,EOF
