REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHP4-142
PATNUM:,4180
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19950206
LOWFRQ:,14250
HGHFRQ:,15350
GUNITS:,DBI/DBR
LWGAIN:,42.2
MDGAIN:,42.5
HGGAIN:,42.8
AZWIDT:,1.20
ELWIDT:,1.20
ATVSWR:,1.20
FRTOBA:,68.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,49
-180.0,-68.0,
-90.0,-68.0,
-80.0,-55.0,
-65.0,-52.0,
-60.0,-48.0,
-40.0,-48.0,
-25.0,-43.0,
-15.0,-43.0,
-13.5,-43.0,
-12.5,-38.0,
-8.5,-38.0,
-8.0,-32.0,
-5.0,-27.5,
-4.0,-23.0,
-2.5,-23.0,
-1.8,-20.4,
-1.6,-19.1,
-1.4,-18.1,
-1.2,-11.6,
-1.0,-7.3,
-0.8,-4.3,
-0.6,-2.1,
-0.4,-0.8,
-0.2,-0.1,
0.0,0.0,
0.2,-0.1,
0.4,-0.8,
0.6,-2.1,
0.8,-4.3,
1.0,-7.3,
1.2,-11.6,
1.4,-18.1,
1.6,-19.1,
1.8,-20.4,
2.5,-23.0,
4.0,-23.0,
5.0,-27.5,
8.0,-32.0,
9.0,-38.0,
12.5,-38.0,
13.5,-43.0,
15.0,-43.0,
25.0,-43.0,
40.0,-48.0,
60.0,-48.0,
65.0,-52.0,
80.0,-55.0,
90.0,-68.0,
180.0,-68.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,19
-180.0,-72.0,
-85.0,-72.0,
-60.0,-63.0,
-50.0,-63.0,
-25.0,-52.0,
-7.0,-52.0,
-6.0,-48.0,
-2.0,-48.0,
-1.0,-32.0,
0.0,-32.0,
1.0,-32.0,
2.0,-48.0,
6.0,-48.0,
7.0,-52.0,
25.0,-52.0,
50.0,-63.0,
60.0,-63.0,
85.0,-72.0,
180.0,-72.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,41
-180.0,-68.0,
-85.0,-68.0,
-75.0,-60.0,
-65.0,-60.0,
-50.0,-54.0,
-35.0,-42.5,
-30.0,-42.5,
-15.0,-37.0,
-12.0,-37.0,
-9.5,-29.0,
-5.0,-29.0,
-2.8,-27.0,
-1.8,-21.0,
-1.5,-18.1,
-1.3,-11.6,
-1.0,-7.3,
-0.8,-4.3,
-0.6,-2.1,
-0.4,-0.8,
-0.2,-0.1,
0.0,0.0,
0.2,-0.1,
0.4,-0.8,
0.6,-2.1,
0.8,-4.3,
1.0,-7.3,
1.3,-11.6,
1.5,-18.1,
1.8,-21.0,
2.8,-27.0,
5.0,-29.0,
9.5,-29.0,
12.0,-37.0,
15.0,-37.0,
30.0,-42.5,
35.0,-42.5,
50.0,-54.0,
65.0,-60.0,
75.0,-60.0,
85.0,-68.0,
180.0,-68.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.0,-72.0,
-85.0,-72.0,
-65.0,-62.0,
-30.0,-62.0,
-15.0,-56.0,
-11.0,-53.0,
-2.0,-53.0,
-1.0,-32.0,
0.0,-32.0,
1.0,-32.0,
2.0,-53.0,
11.0,-53.0,
15.0,-56.0,
30.0,-62.0,
65.0,-62.0,
85.0,-72.0,
180.0,-72.0,
ENDFIL:,EOF
