REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,KP6F-15
PATNUM:,3978C
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19921115
LOWFRQ:,1427
HGHFRQ:,1535
GUNITS:,DBI/DBR
LWGAIN:,26.8
MDGAIN:,27.1
HGGAIN:,27.4
AZWIDT:,7.20
ELWIDT:,7.20
ATVSWR:,1.20
FRTOBA:,31.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,45
-180.00,-33.00,
-172.00,-33.00,
-170.00,-35.00,
-144.00,-35.00,
-123.00,-35.00,
-115.00,-31.00,
-35.00,-31.00,
-26.00,-26.00,
-22.00,-26.00,
-15.00,-20.00,
-10.80,-20.00,
-8.30,-14.00,
-7.20,-11.00,
-6.00,-7.80,
-5.00,-5.00,
-4.30,-4.00,
-3.30,-2.00,
-2.00,-0.80,
-1.80,-0.50,
-1.10,-0.20,
-0.80,-0.20,
-0.30,-0.10,
0.00,0.00,
0.30,-0.10,
0.80,-0.20,
1.10,-0.20,
1.80,-0.50,
2.00,-0.80,
3.30,-2.00,
4.30,-4.00,
5.00,-5.00,
6.00,-7.80,
7.20,-11.00,
8.30,-14.00,
10.80,-20.00,
15.00,-20.00,
22.00,-26.00,
26.00,-26.00,
35.00,-31.00,
115.00,-31.00,
123.00,-35.00,
144.00,-35.00,
170.00,-35.00,
172.00,-33.00,
180.00,-33.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,17
-180.00,-42.00,
-150.00,-42.00,
-145.00,-38.00,
-15.00,-38.00,
-10.00,-38.00,
-9.00,-35.00,
-6.00,-35.00,
-5.00,-32.00,
0.00,-32.00,
5.00,-32.00,
6.00,-35.00,
9.00,-35.00,
10.00,-38.00,
15.00,-38.00,
145.00,-38.00,
150.00,-42.00,
180.00,-42.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,37
-180.00,-33.00,
-123.00,-33.00,
-110.00,-25.00,
-105.00,-25.00,
-100.00,-23.00,
-26.00,-23.00,
-22.50,-21.00,
-15.00,-18.50,
-13.00,-18.50,
-10.60,-14.00,
-6.50,-14.00,
-5.20,-9.00,
-4.00,-5.00,
-3.30,-3.00,
-2.10,-1.10,
-1.50,-0.60,
-1.00,-0.20,
-0.50,-0.10,
0.00,0.00,
0.50,-0.10,
1.00,-0.20,
1.50,-0.60,
2.10,-1.10,
3.30,-3.00,
4.00,-5.00,
5.20,-9.00,
6.50,-14.00,
10.60,-14.00,
13.00,-18.50,
15.00,-18.50,
22.50,-21.00,
26.00,-23.00,
100.00,-23.00,
105.00,-25.00,
110.00,-25.00,
123.00,-33.00,
180.00,-33.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.00,-42.00,
-150.00,-42.00,
-145.00,-38.00,
-15.00,-38.00,
-10.00,-38.00,
-9.00,-35.00,
-6.00,-35.00,
-5.00,-32.00,
0.00,-32.00,
5.00,-32.00,
6.00,-35.00,
9.00,-35.00,
10.00,-38.00,
15.00,-38.00,
145.00,-38.00,
150.00,-42.00,
180.00,-42.00,
ENDFIL:,EOF
