REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PL8F-15
PATNUM:,1515
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19860703
LOWFRQ:,1427
HGHFRQ:,1535
GUNITS:,DBI/DBR
LWGAIN:,28.6
MDGAIN:,29.0
HGGAIN:,29.3
AZWIDT:,5.80
ELWIDT:,5.80
ATVSWR:,1.10
FRTOBA:,34.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,45
-180.00,-34.00,
-175.00,-34.00,
-175.00,-39.00,
-121.50,-39.00,
-99.00,-28.00,
-57.00,-28.00,
-54.00,-28.00,
-33.00,-28.00,
-20.00,-21.40,
-11.00,-21.40,
-10.00,-17.30,
-6.10,-17.30,
-6.00,-16.50,
-5.00,-6.70,
-4.00,-6.70,
-3.50,-5.10,
-3.00,-4.00,
-2.50,-2.70,
-2.00,-2.00,
-1.50,-1.20,
-1.00,-0.60,
-0.50,-0.30,
0.00,0.00,
0.50,-0.30,
1.00,-0.60,
1.50,-1.20,
2.00,-2.00,
2.50,-2.70,
3.00,-4.00,
3.50,-5.10,
4.00,-6.70,
5.00,-6.70,
6.00,-16.50,
6.10,-17.30,
10.00,-17.30,
11.00,-21.40,
20.00,-21.40,
33.00,-28.00,
54.00,-28.00,
57.00,-28.00,
99.00,-28.00,
121.50,-39.00,
175.00,-39.00,
175.00,-34.00,
180.00,-34.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,25
-180.00,-49.00,
-172.00,-49.00,
-165.00,-46.00,
-151.00,-46.00,
-151.00,-49.00,
-94.00,-49.00,
-94.00,-49.00,
-90.00,-46.00,
-42.00,-46.00,
-24.00,-50.00,
-13.00,-50.00,
-4.00,-30.00,
0.00,-30.00,
4.00,-30.00,
13.00,-50.00,
24.00,-50.00,
42.00,-46.00,
90.00,-46.00,
94.00,-49.00,
94.00,-49.00,
151.00,-49.00,
151.00,-46.00,
165.00,-46.00,
172.00,-49.00,
180.00,-49.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,45
-180.00,-34.00,
-175.00,-34.00,
-175.00,-42.00,
-135.50,-42.00,
-99.00,-30.00,
-90.00,-30.00,
-81.00,-32.90,
-42.00,-32.90,
-20.00,-21.40,
-11.00,-21.40,
-10.00,-17.30,
-6.10,-17.30,
-6.00,-16.50,
-5.00,-10.50,
-4.00,-6.70,
-3.50,-5.10,
-3.00,-4.00,
-2.50,-2.70,
-2.00,-2.00,
-1.50,-1.20,
-1.00,-0.60,
-0.50,-0.30,
0.00,0.00,
0.50,-0.30,
1.00,-0.60,
1.50,-1.20,
2.00,-2.00,
2.50,-2.70,
3.00,-4.00,
3.50,-5.10,
4.00,-6.70,
5.00,-10.50,
6.00,-16.50,
6.10,-17.30,
10.00,-17.30,
11.00,-21.40,
20.00,-21.40,
42.00,-32.90,
81.00,-32.90,
90.00,-30.00,
99.00,-30.00,
135.50,-42.00,
175.00,-42.00,
175.00,-34.00,
180.00,-34.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,23
-180.00,-49.00,
-172.00,-49.00,
-165.00,-45.00,
-133.50,-45.00,
-123.00,-42.00,
-108.50,-42.00,
-98.00,-36.00,
-86.50,-36.00,
-50.00,-44.00,
-9.00,-44.00,
-4.00,-30.00,
0.00,-30.00,
4.00,-30.00,
9.00,-44.00,
50.00,-44.00,
86.50,-36.00,
98.00,-36.00,
108.50,-42.00,
123.00,-42.00,
133.50,-45.00,
165.00,-45.00,
172.00,-49.00,
180.00,-49.00,
ENDFIL:,EOF
