REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,KP10F-15
PATNUM:,2969D
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19921210
LOWFRQ:,1427
HGHFRQ:,1535
GUNITS:,DBI/DBR
LWGAIN:,30.4
MDGAIN:,30.7
HGGAIN:,31.0
AZWIDT:,4.70
ELWIDT:,4.70
ATVSWR:,1.15
FRTOBA:,33.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,53
-180.00,-38.00,
-171.00,-38.00,
-169.00,-41.00,
-100.00,-41.00,
-86.00,-37.00,
-70.00,-37.00,
-66.00,-36.00,
-57.00,-36.00,
-50.70,-33.00,
-25.50,-33.00,
-23.50,-31.00,
-18.00,-25.00,
-15.00,-25.00,
-12.00,-25.00,
-10.10,-22.00,
-8.00,-22.00,
-7.00,-18.00,
-6.00,-13.00,
-5.00,-8.90,
-4.20,-6.60,
-3.20,-3.90,
-2.30,-2.00,
-1.80,-1.00,
-1.20,-0.40,
-0.50,-0.20,
-0.30,0.00,
0.00,0.00,
0.30,0.00,
0.50,-0.20,
1.20,-0.40,
1.80,-1.00,
2.30,-2.00,
3.20,-3.90,
4.20,-6.60,
5.00,-8.90,
6.00,-13.00,
7.00,-18.00,
8.00,-22.00,
10.10,-22.00,
12.00,-25.00,
15.00,-25.00,
18.00,-25.00,
23.50,-31.00,
25.50,-33.00,
50.70,-33.00,
57.00,-36.00,
66.00,-36.00,
70.00,-37.00,
86.00,-37.00,
100.00,-41.00,
169.00,-41.00,
171.00,-38.00,
180.00,-38.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,17
-180.00,-43.00,
-140.00,-43.00,
-130.00,-41.00,
-30.00,-41.00,
-25.00,-37.00,
-15.00,-37.00,
-7.00,-37.00,
-5.00,-34.00,
0.00,-34.00,
5.00,-34.00,
7.00,-37.00,
15.00,-37.00,
25.00,-37.00,
30.00,-41.00,
130.00,-41.00,
140.00,-43.00,
180.00,-43.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,31
-180.00,-38.00,
-105.00,-38.00,
-87.00,-30.00,
-25.00,-30.00,
-15.00,-23.00,
-9.50,-23.00,
-7.50,-16.00,
-5.10,-16.00,
-4.30,-12.00,
-3.20,-6.00,
-2.30,-3.00,
-1.60,-1.20,
-1.00,-0.60,
-0.70,-0.30,
-0.30,0.00,
0.00,0.00,
0.30,0.00,
0.70,-0.30,
1.00,-0.60,
1.60,-1.20,
2.30,-3.00,
3.20,-6.00,
4.30,-12.00,
5.10,-16.00,
7.50,-16.00,
9.50,-23.00,
15.00,-23.00,
25.00,-30.00,
87.00,-30.00,
105.00,-38.00,
180.00,-38.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.00,-43.00,
-140.00,-43.00,
-130.00,-41.00,
-30.00,-41.00,
-25.00,-37.00,
-15.00,-37.00,
-7.00,-37.00,
-5.00,-34.00,
0.00,-34.00,
5.00,-34.00,
7.00,-37.00,
15.00,-37.00,
25.00,-37.00,
30.00,-41.00,
130.00,-41.00,
140.00,-43.00,
180.00,-43.00,
ENDFIL:,EOF
