REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PL10F-15
PATNUM:,1517D
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19860703
LOWFRQ:,1427
HGHFRQ:,1535
GUNITS:,DBI/DBR
LWGAIN:,30.6
MDGAIN:,31.0
HGGAIN:,31.3
AZWIDT:,4.70
ELWIDT:,4.70
ATVSWR:,1.10
FRTOBA:,36.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,39
-180.00,-36.00,
-170.00,-36.00,
-170.00,-40.00,
-115.00,-40.00,
-86.00,-30.00,
-60.00,-30.00,
-55.00,-32.90,
-27.50,-32.90,
-19.00,-24.00,
-10.00,-24.00,
-9.10,-20.00,
-5.00,-20.00,
-4.00,-11.10,
-3.00,-5.90,
-2.50,-3.90,
-2.00,-2.40,
-1.50,-1.40,
-1.00,-0.90,
-0.50,-0.30,
0.00,0.00,
0.50,-0.30,
1.00,-0.90,
1.50,-1.40,
2.00,-2.40,
2.50,-3.90,
3.00,-5.90,
4.00,-11.10,
5.00,-20.00,
9.10,-20.00,
10.00,-24.00,
19.00,-24.00,
27.50,-32.90,
55.00,-32.90,
60.00,-30.00,
86.00,-30.00,
115.00,-40.00,
170.00,-40.00,
170.00,-36.00,
180.00,-36.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,23
-180.00,-49.90,
-171.00,-49.90,
-165.00,-47.00,
-150.50,-47.00,
-150.50,-49.90,
-94.00,-49.90,
-90.50,-46.90,
-43.00,-46.90,
-25.00,-50.90,
-13.00,-50.90,
-3.50,-30.00,
0.00,-30.00,
3.50,-30.00,
13.00,-50.90,
25.00,-50.90,
43.00,-46.90,
90.50,-46.90,
94.00,-49.90,
150.50,-49.90,
150.50,-47.00,
165.00,-47.00,
171.00,-49.90,
180.00,-49.90,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,39
-180.00,-36.00,
-170.00,-36.00,
-170.00,-40.90,
-115.10,-40.90,
-86.00,-31.00,
-70.00,-31.00,
-55.00,-34.00,
-35.00,-34.00,
-19.00,-24.00,
-10.00,-24.00,
-9.10,-20.00,
-5.00,-20.00,
-4.00,-11.10,
-3.00,-5.90,
-2.50,-3.90,
-2.00,-2.40,
-1.50,-1.40,
-1.00,-0.90,
-0.50,-0.30,
0.00,0.00,
0.50,-0.30,
1.00,-0.90,
1.50,-1.40,
2.00,-2.40,
2.50,-3.90,
3.00,-5.90,
4.00,-11.10,
5.00,-20.00,
9.10,-20.00,
10.00,-24.00,
19.00,-24.00,
35.00,-34.00,
55.00,-34.00,
70.00,-31.00,
86.00,-31.00,
115.10,-40.90,
170.00,-40.90,
170.00,-36.00,
180.00,-36.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,23
-180.00,-49.90,
-171.00,-49.90,
-165.00,-45.90,
-131.50,-45.90,
-123.00,-42.90,
-108.00,-42.90,
-98.00,-37.00,
-86.00,-37.00,
-49.00,-44.90,
-9.10,-44.90,
-3.50,-30.00,
0.00,-30.00,
3.50,-30.00,
9.10,-44.90,
49.00,-44.90,
86.00,-37.00,
98.00,-37.00,
108.00,-42.90,
123.00,-42.90,
131.50,-45.90,
165.00,-45.90,
171.00,-49.90,
180.00,-49.90,
ENDFIL:,EOF
