REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HSX4-144
PATNUM:,1208
FEDORN:,LEFT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20001219
LOWFRQ:,14400
HGHFRQ:,15350
GUNITS:,DBI/DBR
LWGAIN:,42.5
MDGAIN:,42.7
HGGAIN:,43
AZWIDT:,1.2
ELWIDT:,1.2
ATVSWR:,1.1
FRTOBA:,68
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,34
-180.0,-68.0,
-80.0,-68.0,
-65.0,-64.0,
-52.0,-53.0,
-45.0,-52.0,
-38.0,-45.0,
-20.0,-42.0,
-15.0,-40.0,
-12.0,-39.0,
-2.5,-23.0,
-1.6,-23.0,
-1.5,-18.0,
-1.0,-6.0,
-0.6,-2.4,
-0.3,-0.5,
-0.2,-0.2,
0.0,0.0,
0.2,-0.2,
0.3,-0.5,
0.5,-1.2,
0.6,-2.4,
1.0,-6.0,
1.5,-18.0,
1.8,-28.0,
5.0,-28.0,
15.0,-38.0,
20.0,-38.0,
24.0,-43.0,
36.0,-43.0,
52.0,-50.0,
58.0,-57.0,
68.0,-58.0,
80.0,-68.0,
180.0,-68.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,19
-180.0,-70.0,
-75.0,-70.0,
-60.0,-64.0,
-44.0,-63.0,
-36.0,-57.0,
-24.0,-53.0,
-15.0,-53.0,
-3.0,-53.0,
-2.5,-40.0,
0.0,-40.0,
2.5,-40.0,
3.0,-53.0,
15.0,-53.0,
24.0,-53.0,
36.0,-57.0,
44.0,-63.0,
60.0,-64.0,
75.0,-70.0,
180.0,-70.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,36
-180.0,-68.0,
-80.0,-68.0,
-66.0,-64.0,
-58.0,-52.0,
-45.0,-52.0,
-35.0,-46.0,
-24.0,-46.0,
-20.0,-40.0,
-15.0,-39.0,
-12.0,-39.0,
-2.5,-23.0,
-1.6,-23.0,
-1.5,-18.0,
-1.0,-6.0,
-0.6,-2.4,
-0.3,-0.5,
-0.2,-0.2,
0.0,0.0,
0.2,-0.2,
0.3,-0.5,
0.5,-1.2,
0.6,-2.4,
1.0,-6.0,
1.5,-18.0,
1.8,-26.0,
5.0,-28.0,
12.0,-38.0,
15.0,-38.0,
18.0,-38.0,
22.0,-42.0,
35.0,-42.0,
48.0,-49.0,
52.0,-55.0,
64.0,-57.0,
80.0,-68.0,
180.0,-68.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,19
-180.0,-70.0,
-75.0,-70.0,
-60.0,-64.0,
-44.0,-63.0,
-36.0,-57.0,
-24.0,-53.0,
-15.0,-53.0,
-3.0,-53.0,
-2.5,-40.0,
0.0,-40.0,
2.5,-40.0,
3.0,-53.0,
15.0,-53.0,
24.0,-53.0,
36.0,-57.0,
44.0,-63.0,
60.0,-64.0,
75.0,-70.0,
180.0,-70.0,
ENDFIL:,EOF
