REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PX6-144
PATNUM:,1567C
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19781121
LOWFRQ:,14400
HGHFRQ:,15350
GUNITS:,DBI/DBR
LWGAIN:,45.8
MDGAIN:,46.1
HGGAIN:,46.3
AZWIDT:,0.80
ELWIDT:,0.80
ATVSWR:,1.10
FRTOBA:,55.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,45
-180.00,-55.18,
-175.03,-55.18,
-170.06,-59.97,
-125.33,-59.97,
-115.39,-46.09,
-105.45,-46.26,
-99.98,-48.07,
-50.78,-48.07,
-35.87,-46.09,
-15.00,-36.18,
-10.03,-33.04,
-5.06,-32.05,
-3.15,-24.94,
-1.49,-19.16,
-0.91,-19.16,
-0.75,-15.03,
-0.75,-10.08,
-0.50,-7.10,
-0.50,-4.96,
-0.41,-2.97,
-0.41,-1.32,
-0.17,-0.66,
0.00,0.00,
0.17,-0.66,
0.41,-1.32,
0.41,-2.97,
0.50,-4.96,
0.50,-7.10,
0.75,-10.08,
0.75,-15.03,
0.91,-19.16,
1.49,-19.16,
3.15,-24.94,
5.06,-32.05,
10.03,-33.04,
15.00,-36.18,
35.87,-46.09,
50.78,-48.07,
99.98,-48.07,
105.45,-46.26,
115.39,-46.09,
125.33,-59.97,
170.06,-59.97,
175.03,-55.18,
180.00,-55.18,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,21
-180.00,-59.97,
-40.84,-59.97,
-15.00,-54.02,
-10.03,-49.23,
-2.15,-45.10,
-1.91,-40.14,
-1.57,-35.19,
-1.24,-30.00,
-0.83,-30.00,
-0.50,-30.00,
0.00,-30.00,
0.50,-30.00,
0.83,-30.00,
1.24,-30.00,
1.57,-35.19,
1.91,-40.14,
2.15,-45.10,
10.03,-49.23,
15.00,-54.02,
40.84,-59.97,
180.00,-59.97,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,39
-180.00,-55.01,
-175.03,-55.01,
-170.56,-59.97,
-126.33,-59.97,
-115.89,-46.09,
-105.95,-46.26,
-91.04,-51.21,
-51.28,-51.21,
-30.41,-47.08,
-15.00,-39.15,
-5.55,-36.18,
-1.49,-19.16,
-0.91,-19.16,
-0.91,-15.03,
-0.75,-10.08,
-0.58,-5.12,
-0.50,-3.14,
-0.33,-1.16,
-0.17,-0.50,
0.00,0.00,
0.17,-0.50,
0.33,-1.16,
0.50,-3.14,
0.58,-5.12,
0.75,-10.08,
0.91,-15.03,
0.91,-19.16,
1.49,-19.16,
5.55,-36.18,
15.00,-39.15,
30.41,-47.08,
51.28,-51.21,
91.04,-51.21,
105.95,-46.26,
115.89,-46.09,
126.33,-59.97,
170.56,-59.97,
175.03,-55.01,
180.00,-55.01,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,21
-180.00,-60.13,
-160.12,-60.13,
-50.29,-60.13,
-15.00,-47.08,
-5.22,-45.26,
-2.07,-43.12,
-1.66,-35.19,
-1.49,-33.20,
-1.24,-30.00,
-0.50,-30.00,
0.00,-30.00,
0.50,-30.00,
1.24,-30.00,
1.49,-33.20,
1.66,-35.19,
2.07,-43.12,
5.22,-45.26,
15.00,-47.08,
50.29,-60.13,
160.12,-60.13,
180.00,-60.13,
ENDFIL:,EOF
