REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HSX10-144
PATNUM:,1218
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20001215
LOWFRQ:,14400
HGHFRQ:,15350
GUNITS:,DBI/DBR
LWGAIN:,49.9
MDGAIN:,50.2
HGGAIN:,50.5
AZWIDT:,0.5
ELWIDT:,0.5
ATVSWR:,1.1
FRTOBA:,76
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,38
-180.0,-76.0,
-80.0,-76.0,
-65.0,-62.0,
-48.0,-58.0,
-40.0,-52.0,
-30.0,-52.0,
-25.0,-48.0,
-15.0,-48.0,
-13.0,-45.0,
-10.0,-45.0,
-8.5,-38.0,
-6.0,-38.0,
-3.0,-32.0,
-1.3,-32.0,
-1.0,-23.0,
-0.9,-17.0,
-0.7,-12.0,
-0.4,-4.5,
-0.3,-2.4,
-0.2,-0.5,
0.0,-0.0,
0.2,-0.5,
0.3,-2.4,
0.4,-4.5,
0.7,-12.0,
0.9,-17.0,
1.0,-23.0,
1.3,-30.0,
2.5,-30.0,
4.0,-38.0,
5.5,-38.0,
11.0,-49.5,
15.0,-49.5,
37.0,-52.0,
48.0,-58.0,
65.0,-62.0,
80.0,-76.0,
180.0,-76.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,20
-180.0,-76.0,
-80.0,-76.0,
-50.0,-65.0,
-22.0,-65.0,
-15.0,-59.0,
-12.0,-56.0,
-7.3,-56.0,
-5.0,-49.0,
-2.4,-49.0,
-1.0,-40.0,
0.0,-40.0,
1.0,-40.0,
2.0,-49.0,
5.0,-49.0,
7.0,-55.0,
12.0,-66.0,
15.0,-67.0,
53.0,-67.0,
80.0,-76.0,
180.0,-76.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,39
-180.0,-76.0,
-80.0,-76.0,
-68.0,-64.0,
-63.0,-62.0,
-48.0,-60.0,
-41.0,-53.0,
-33.0,-52.0,
-25.0,-47.0,
-15.0,-47.0,
-11.0,-46.0,
-10.0,-45.0,
-5.0,-36.0,
-3.0,-36.0,
-2.5,-31.0,
-1.3,-30.0,
-1.0,-23.0,
-0.9,-17.0,
-0.7,-12.0,
-0.4,-4.5,
-0.3,-2.4,
-0.2,-0.5,
0.0,-0.0,
0.2,-0.5,
0.3,-2.4,
0.4,-4.5,
0.7,-12.0,
0.9,-17.0,
1.0,-23.0,
1.3,-29.0,
2.5,-29.0,
3.0,-36.0,
6.0,-36.0,
10.0,-47.0,
15.0,-48.0,
20.0,-51.0,
40.0,-52.0,
64.0,-62.0,
80.0,-76.0,
180.0,-76.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,19
-180.0,-76.0,
-80.0,-76.0,
-60.0,-70.0,
-42.0,-64.0,
-21.0,-64.0,
-15.0,-57.0,
-7.0,-54.0,
-5.0,-49.0,
-2.0,-49.0,
-1.0,-40.0,
0.0,-40.0,
1.0,-40.0,
2.0,-49.0,
6.0,-49.0,
11.0,-66.0,
15.0,-68.0,
53.0,-68.0,
80.0,-76.0,
180.0,-76.0,
ENDFIL:,EOF
