REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VP2-159
PATNUM:,4376
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20001107
LOWFRQ:, 15900 
HGHFRQ:, 16500 
GUNITS:,DBI/DBR
LWGAIN:,37.6
MDGAIN:,37.8
HGGAIN:,37.8
AZWIDT:,38.0
ELWIDT:,38.0
ATVSWR:,1.15
FRTOBA:,45
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:, 47 
-180.00,-45.00,
-175.00,-45.00,
-175.00,-50.00,
-135.00,-50.00,
-100.00,-37.50,
-56.00,-34.50,
-18.00,-32.00,
-15.00,-30.00,
-8.00,-30.00,
-6.80,-23.00,
-4.50,-23.00,
-3.50,-18.00,
-2.40,-18.00,
-2.00,-12.50,
-1.80,-10.00,
-1.60,-8.00,
-1.40,-5.50,
-1.20,-4.00,
-1.00,-2.70,
-0.80,-1.70,
-0.60,-1.00,
-0.40,-0.50,
-0.20,-0.10,
0.00,0.00,
0.20,-0.10,
0.40,-0.50,
0.60,-1.00,
0.80,-1.70,
1.00,-2.70,
1.20,-4.00,
1.40,-5.50,
1.60,-8.00,
1.80,-10.00,
2.00,-12.50,
2.40,-18.00,
3.50,-18.00,
4.50,-23.00,
6.80,-23.00,
8.00,-30.00,
15.00,-30.00,
18.00,-32.00,
56.00,-34.50,
100.00,-37.50,
135.00,-50.00,
175.00,-50.00,
175.00,-45.00,
180.00,-45.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:, 25 
-180.00,-55.00,
-100.00,-55.00,
-97.00,-52.00,
-80.00,-52.00,
-30.00,-50.00,
-28.00,-49.00,
-19.00,-49.00,
-15.00,-44.00,
-4.00,-44.00,
-3.00,-40.00,
-2.00,-40.00,
-1.40,-32.00,
0.00,-32.00,
1.40,-32.00,
2.00,-40.00,
3.00,-40.00,
4.00,-44.00,
15.00,-44.00,
19.00,-49.00,
28.00,-49.00,
30.00,-50.00,
80.00,-52.00,
97.00,-52.00,
100.00,-55.00,
180.00,-55.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:, 51 
-180.00,-45.00,
-175.00,-45.00,
-175.00,-52.00,
-120.00,-52.00,
-100.00,-40.00,
-85.00,-38.00,
-40.00,-36.00,
-38.00,-36.00,
-24.00,-34.00,
-18.00,-26.00,
-7.00,-26.00,
-6.00,-25.00,
-3.00,-25.00,
-2.70,-20.00,
-2.50,-17.00,
-2.30,-14.00,
-2.10,-11.50,
-1.90,-9.00,
-1.60,-6.20,
-1.40,-4.60,
-1.10,-3.00,
-0.90,-1.70,
-0.70,-1.00,
-0.50,-0.60,
-0.20,-0.10,
0.00,0.00,
0.20,-0.10,
0.50,-0.60,
0.70,-1.00,
0.90,-1.70,
1.10,-3.00,
1.40,-4.60,
1.60,-6.20,
1.90,-9.00,
2.10,-11.50,
2.30,-14.00,
2.50,-17.00,
2.70,-20.00,
3.00,-25.00,
6.00,-25.00,
7.00,-26.00,
18.00,-26.00,
24.00,-34.00,
38.00,-36.00,
40.00,-36.00,
85.00,-38.00,
100.00,-40.00,
120.00,-52.00,
175.00,-52.00,
175.00,-45.00,
180.00,-45.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:, 21 
-180.00,-57.00,
-120.00,-57.00,
-60.00,-54.00,
-46.00,-49.00,
-15.00,-49.00,
-12.00,-49.00,
-6.00,-49.00,
-5.30,-45.00,
-4.00,-45.00,
-2.00,-32.00,
0.00,-32.00,
2.00,-32.00,
4.00,-45.00,
5.30,-45.00,
6.00,-49.00,
12.00,-49.00,
15.00,-49.00,
46.00,-49.00,
60.00,-54.00,
120.00,-57.00,
180.00,-57.00,
ENDFIL:,EOF
