REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,P2F-17
PATNUM:,4344
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19971015
LOWFRQ:,1700
HGHFRQ:,2110
GUNITS:,DBI/DBR
LWGAIN:,18.2
MDGAIN:,19.7
HGGAIN:,19.9
AZWIDT:,15.30
ELWIDT:,16.90
ATVSWR:,1.50
FRTOBA:,22.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,45
-180.0,-22.0,
-160.0,-22.0,
-153.0,-25.0,
-73.0,-25.0,
-63.0,-22.0,
-53.0,-22.0,
-42.0,-13.0,
-17.0,-13.0,
-15.3,-10.0,
-14.0,-8.0,
-12.3,-6.0,
-10.0,-3.9,
-8.9,-3.0,
-8.1,-2.5,
-6.9,-1.8,
-6.6,-1.6,
-5.7,-1.1,
-4.6,-0.7,
-4.0,-0.5,
-2.6,-0.3,
-1.8,-0.2,
-1.3,-0.1,
0.0,0.0,
1.3,-0.1,
1.8,-0.2,
2.6,-0.3,
4.0,-0.5,
4.6,-0.7,
5.7,-1.1,
6.6,-1.6,
6.9,-1.8,
8.1,-2.5,
8.9,-3.0,
10.0,-3.9,
12.3,-6.0,
14.0,-8.0,
15.3,-10.0,
17.0,-13.0,
42.0,-13.0,
53.0,-22.0,
63.0,-22.0,
73.0,-25.0,
153.0,-25.0,
160.0,-22.0,
180.0,-22.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,11
-180.0,-37.0,
-150.0,-37.0,
-96.0,-27.5,
-22.0,-27.5,
-15.0,-23.0,
0.0,-23.0,
15.0,-23.0,
22.0,-27.5,
96.0,-27.5,
150.0,-37.0,
180.0,-37.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,43
-180.0,-22.0,
-173.0,-22.0,
-167.0,-26.0,
-132.0,-26.0,
-87.0,-17.0,
-45.0,-17.0,
-34.0,-10.0,
-13.6,-10.0,
-13.0,-9.0,
-11.8,-7.0,
-11.0,-6.0,
-10.1,-5.0,
-9.0,-4.0,
-8.0,-3.0,
-7.0,-2.3,
-5.9,-1.5,
-4.8,-1.0,
-3.9,-0.6,
-3.0,-0.3,
-2.0,-0.2,
-1.0,-0.1,
0.0,0.0,
1.0,-0.1,
2.0,-0.2,
3.0,-0.3,
3.9,-0.6,
4.8,-1.0,
5.9,-1.5,
7.0,-2.3,
8.0,-3.0,
9.0,-4.0,
10.1,-5.0,
11.0,-6.0,
11.8,-7.0,
13.0,-9.0,
13.6,-10.0,
34.0,-10.0,
45.0,-17.0,
87.0,-17.0,
132.0,-26.0,
167.0,-26.0,
173.0,-22.0,
180.0,-22.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,11
-180.0,-35.0,
-127.0,-35.0,
-93.0,-30.0,
-33.0,-30.0,
-15.0,-21.0,
0.0,-21.0,
15.0,-21.0,
33.0,-30.0,
93.0,-30.0,
127.0,-35.0,
180.0,-35.0,
ENDFIL:,EOF
