REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,P4F-17
PATNUM:,2298D
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19931227
LOWFRQ:,1700
HGHFRQ:,2110
GUNITS:,DBI/DBR
LWGAIN:,23.9
MDGAIN:,24.8
HGGAIN:,25.7
AZWIDT:,9.00
ELWIDT:,9.00
ATVSWR:,1.20
FRTOBA:,30.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,63
-180.00,-30.00,
-175.00,-30.00,
-168.00,-34.00,
-135.00,-34.00,
-100.00,-25.00,
-38.00,-25.00,
-30.00,-20.00,
-15.00,-17.00,
-10.50,-15.00,
-10.00,-13.60,
-9.50,-12.30,
-9.00,-11.00,
-8.50,-9.80,
-8.00,-8.70,
-7.50,-7.60,
-7.00,-6.70,
-6.40,-5.60,
-6.00,-4.90,
-5.60,-4.30,
-5.00,-3.40,
-4.50,-2.80,
-4.00,-2.20,
-3.50,-1.70,
-3.00,-1.20,
-2.50,-0.80,
-2.00,-0.50,
-1.80,-0.40,
-1.40,-0.30,
-1.00,-0.10,
-0.80,-0.10,
-0.40,0.00,
0.00,0.00,
0.40,0.00,
0.80,-0.10,
1.00,-0.10,
1.40,-0.30,
1.80,-0.40,
2.00,-0.50,
2.50,-0.80,
3.00,-1.20,
3.50,-1.70,
4.00,-2.20,
4.50,-2.80,
5.00,-3.40,
5.60,-4.30,
6.00,-4.90,
6.40,-5.60,
7.00,-6.70,
7.50,-7.60,
8.00,-8.70,
8.50,-9.80,
9.00,-11.00,
9.50,-12.30,
10.00,-13.60,
10.50,-15.00,
15.00,-17.00,
30.00,-20.00,
38.00,-25.00,
100.00,-25.00,
135.00,-34.00,
168.00,-34.00,
175.00,-30.00,
180.00,-30.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,13
-180.00,-42.00,
-145.00,-42.00,
-90.00,-34.00,
-40.00,-36.00,
-15.00,-36.00,
-7.50,-30.00,
0.00,-30.00,
7.50,-30.00,
15.00,-36.00,
40.00,-36.00,
90.00,-34.00,
145.00,-42.00,
180.00,-42.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,63
-180.00,-30.00,
-175.00,-30.00,
-168.00,-34.00,
-135.00,-34.00,
-100.00,-25.00,
-38.00,-25.00,
-30.00,-20.00,
-15.00,-17.00,
-10.50,-15.00,
-10.00,-13.60,
-9.50,-12.30,
-9.00,-11.00,
-8.50,-9.80,
-8.00,-8.70,
-7.50,-7.60,
-7.00,-6.70,
-6.40,-5.60,
-6.00,-4.90,
-5.60,-4.30,
-5.00,-3.40,
-4.50,-2.80,
-4.00,-2.20,
-3.50,-1.70,
-3.00,-1.20,
-2.50,-0.80,
-2.00,-0.50,
-1.80,-0.40,
-1.40,-0.30,
-1.00,-0.10,
-0.80,-0.10,
-0.40,0.00,
0.00,0.00,
0.40,0.00,
0.80,-0.10,
1.00,-0.10,
1.40,-0.30,
1.80,-0.40,
2.00,-0.50,
2.50,-0.80,
3.00,-1.20,
3.50,-1.70,
4.00,-2.20,
4.50,-2.80,
5.00,-3.40,
5.60,-4.30,
6.00,-4.90,
6.40,-5.60,
7.00,-6.70,
7.50,-7.60,
8.00,-8.70,
8.50,-9.80,
9.00,-11.00,
9.50,-12.30,
10.00,-13.60,
10.50,-15.00,
15.00,-17.00,
30.00,-20.00,
38.00,-25.00,
100.00,-25.00,
135.00,-34.00,
168.00,-34.00,
175.00,-30.00,
180.00,-30.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,13
-180.00,-42.00,
-145.00,-42.00,
-90.00,-34.00,
-40.00,-36.00,
-15.00,-36.00,
-7.50,-30.00,
0.00,-30.00,
7.50,-30.00,
15.00,-36.00,
40.00,-36.00,
90.00,-34.00,
145.00,-42.00,
180.00,-42.00,
ENDFIL:,EOF
