REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HP6F-17
PATNUM:,1370D
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19920201
LOWFRQ:,1700
HGHFRQ:,2110
GUNITS:,DBI/DBR
LWGAIN:,27.7
MDGAIN:,28.6
HGGAIN:,29.6
AZWIDT:,6.00
ELWIDT:,6.00
ATVSWR:,1.10
FRTOBA:,44.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,41
-180.00,-44.00,
-165.00,-44.00,
-160.00,-46.00,
-100.00,-46.00,
-75.00,-31.00,
-40.00,-29.00,
-15.00,-16.50,
-12.00,-15.00,
-7.00,-15.00,
-6.50,-12.00,
-6.00,-10.00,
-5.50,-8.00,
-5.00,-7.00,
-4.30,-5.00,
-3.00,-3.00,
-2.50,-2.00,
-2.00,-1.50,
-1.50,-1.00,
-1.00,-0.50,
-0.50,-0.10,
0.00,0.00,
0.50,-0.10,
1.00,-0.50,
1.50,-1.00,
2.00,-1.50,
2.50,-2.00,
3.00,-3.00,
4.30,-5.00,
5.00,-7.00,
5.50,-8.00,
6.00,-10.00,
6.50,-12.00,
7.00,-15.00,
12.00,-15.00,
15.00,-16.50,
40.00,-29.00,
75.00,-31.00,
100.00,-46.00,
160.00,-46.00,
165.00,-44.00,
180.00,-44.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,17
-180.00,-44.00,
-165.00,-44.00,
-160.00,-46.00,
-65.00,-46.00,
-60.00,-42.00,
-20.00,-42.00,
-15.00,-37.00,
-5.00,-25.00,
0.00,-25.00,
5.00,-25.00,
15.00,-37.00,
20.00,-42.00,
60.00,-42.00,
65.00,-46.00,
160.00,-46.00,
165.00,-44.00,
180.00,-44.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,41
-180.00,-44.00,
-165.00,-44.00,
-160.00,-46.00,
-100.00,-46.00,
-75.00,-31.00,
-40.00,-29.00,
-15.00,-16.50,
-12.00,-15.00,
-7.00,-15.00,
-6.50,-12.00,
-6.00,-10.00,
-5.50,-8.00,
-5.00,-7.00,
-4.30,-5.00,
-3.00,-3.00,
-2.50,-2.00,
-2.00,-1.50,
-1.50,-1.00,
-1.00,-0.50,
-0.50,-0.10,
0.00,0.00,
0.50,-0.10,
1.00,-0.50,
1.50,-1.00,
2.00,-1.50,
2.50,-2.00,
3.00,-3.00,
4.30,-5.00,
5.00,-7.00,
5.50,-8.00,
6.00,-10.00,
6.50,-12.00,
7.00,-15.00,
12.00,-15.00,
15.00,-16.50,
40.00,-29.00,
75.00,-31.00,
100.00,-46.00,
160.00,-46.00,
165.00,-44.00,
180.00,-44.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.00,-44.00,
-165.00,-44.00,
-160.00,-46.00,
-65.00,-46.00,
-60.00,-42.00,
-20.00,-42.00,
-15.00,-37.00,
-5.00,-25.00,
0.00,-25.00,
5.00,-25.00,
15.00,-37.00,
20.00,-42.00,
60.00,-42.00,
65.00,-46.00,
160.00,-46.00,
165.00,-44.00,
180.00,-44.00,
ENDFIL:,EOF
