REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,KP6F-17
PATNUM:,4077B
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19921215
LOWFRQ:,1700
HGHFRQ:,2110
GUNITS:,DBI/DBR
LWGAIN:,28.3
MDGAIN:,29.3
HGGAIN:,30.2
AZWIDT:,5.50
ELWIDT:,5.50
ATVSWR:,1.10
FRTOBA:,36.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,45
-180.00,-36.00,
-140.00,-36.00,
-136.70,-33.30,
-121.60,-33.30,
-112.10,-29.00,
-105.00,-28.00,
-100.00,-28.00,
-96.50,-26.00,
-80.00,-25.00,
-30.00,-25.00,
-16.80,-21.80,
-15.00,-21.80,
-10.00,-21.80,
-6.80,-16.00,
-5.90,-12.00,
-5.20,-9.00,
-4.30,-6.00,
-3.10,-3.00,
-2.30,-1.40,
-1.70,-0.70,
-1.00,-0.20,
-0.60,-0.10,
0.00,0.00,
0.60,-0.10,
1.00,-0.20,
1.70,-0.70,
2.30,-1.40,
3.10,-3.00,
4.30,-6.00,
5.20,-9.00,
5.90,-12.00,
6.80,-16.00,
10.00,-21.80,
15.00,-21.80,
16.80,-21.80,
30.00,-25.00,
80.00,-25.00,
96.50,-26.00,
100.00,-28.00,
105.00,-28.00,
112.10,-29.00,
121.60,-33.30,
136.70,-33.30,
140.00,-36.00,
180.00,-36.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,17
-180.00,-45.00,
-150.00,-45.00,
-138.00,-40.00,
-34.00,-40.00,
-27.00,-38.00,
-15.00,-38.00,
-7.30,-38.00,
-6.50,-33.00,
0.00,-33.00,
6.50,-33.00,
7.30,-38.00,
15.00,-38.00,
27.00,-38.00,
34.00,-40.00,
138.00,-40.00,
150.00,-45.00,
180.00,-45.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,41
-180.00,-36.00,
-140.00,-36.00,
-135.00,-35.00,
-120.00,-35.00,
-110.00,-31.50,
-90.00,-28.00,
-36.00,-28.00,
-20.00,-21.00,
-15.00,-21.00,
-12.00,-21.00,
-9.00,-17.00,
-6.30,-17.00,
-5.10,-10.10,
-4.10,-6.10,
-3.30,-4.00,
-2.00,-1.50,
-1.70,-0.90,
-1.00,-0.40,
-0.60,-0.10,
-0.30,-0.10,
0.00,0.00,
0.30,-0.10,
0.60,-0.10,
1.00,-0.40,
1.70,-0.90,
2.00,-1.50,
3.30,-4.00,
4.10,-6.10,
5.10,-10.10,
6.30,-17.00,
9.00,-17.00,
12.00,-21.00,
15.00,-21.00,
20.00,-21.00,
36.00,-28.00,
90.00,-28.00,
110.00,-31.50,
120.00,-35.00,
135.00,-35.00,
140.00,-36.00,
180.00,-36.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.00,-45.00,
-150.00,-45.00,
-138.00,-40.00,
-34.00,-40.00,
-27.00,-38.00,
-15.00,-38.00,
-7.30,-38.00,
-6.50,-33.00,
0.00,-33.00,
6.50,-33.00,
7.30,-38.00,
15.00,-38.00,
27.00,-38.00,
34.00,-40.00,
138.00,-40.00,
150.00,-45.00,
180.00,-45.00,
ENDFIL:,EOF
