REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PL8F-17
PATNUM:,2276C
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19820125
LOWFRQ:,1700
HGHFRQ:,2110
GUNITS:,DBI/DBR
LWGAIN:,30.2
MDGAIN:,31.1
HGGAIN:,32.0
AZWIDT:,4.50
ELWIDT:,4.50
ATVSWR:,1.10
FRTOBA:,39.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,47
-180.00,-39.00,
-150.00,-41.30,
-126.00,-41.30,
-93.00,-31.00,
-68.50,-31.00,
-57.50,-33.50,
-52.00,-33.50,
-30.00,-29.00,
-15.00,-25.00,
-12.50,-23.20,
-10.00,-22.00,
-8.50,-21.50,
-7.00,-21.50,
-6.50,-21.10,
-6.10,-20.00,
-5.00,-13.50,
-4.00,-8.40,
-3.00,-5.00,
-2.50,-3.30,
-2.00,-2.10,
-1.50,-1.10,
-1.00,-0.40,
-0.50,-0.10,
0.00,0.00,
0.50,-0.10,
1.00,-0.40,
1.50,-1.10,
2.00,-2.10,
2.50,-3.30,
3.00,-5.00,
4.00,-8.40,
5.00,-13.50,
6.10,-20.00,
6.50,-21.10,
7.00,-21.50,
8.50,-21.50,
10.00,-22.00,
12.50,-23.20,
15.00,-25.00,
30.00,-29.00,
52.00,-33.50,
57.50,-33.50,
68.50,-31.00,
93.00,-31.00,
126.00,-41.30,
150.00,-41.30,
180.00,-39.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,7
-180.00,-45.00,
-15.00,-45.00,
-4.50,-30.00,
0.00,-30.00,
4.50,-30.00,
15.00,-45.00,
180.00,-45.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,47
-180.00,-39.00,
-150.00,-41.30,
-126.00,-41.30,
-93.00,-31.00,
-68.50,-31.00,
-57.50,-33.50,
-52.00,-33.50,
-30.00,-29.00,
-15.00,-25.00,
-12.50,-23.20,
-10.00,-22.00,
-8.50,-21.50,
-7.00,-21.50,
-6.50,-21.10,
-6.10,-20.00,
-5.00,-13.50,
-4.00,-8.40,
-3.00,-5.00,
-2.50,-3.30,
-2.00,-2.10,
-1.50,-1.10,
-1.00,-0.40,
-0.50,-0.10,
0.00,0.00,
0.50,-0.10,
1.00,-0.40,
1.50,-1.10,
2.00,-2.10,
2.50,-3.30,
3.00,-5.00,
4.00,-8.40,
5.00,-13.50,
6.10,-20.00,
6.50,-21.10,
7.00,-21.50,
8.50,-21.50,
10.00,-22.00,
12.50,-23.20,
15.00,-25.00,
30.00,-29.00,
52.00,-33.50,
57.50,-33.50,
68.50,-31.00,
93.00,-31.00,
126.00,-41.30,
150.00,-41.30,
180.00,-39.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,7
-180.00,-45.00,
-15.00,-45.00,
-4.50,-30.00,
0.00,-30.00,
4.50,-30.00,
15.00,-45.00,
180.00,-45.00,
ENDFIL:,EOF
