REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PL10F-17
PATNUM:,2278C
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19820125
LOWFRQ:,1700
HGHFRQ:,2110
GUNITS:,DBI/DBR
LWGAIN:,32.1
MDGAIN:,33.1
HGGAIN:,34.0
AZWIDT:,3.70
ELWIDT:,3.70
ATVSWR:,1.10
FRTOBA:,42.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,43
-180.00,-44.00,
-175.00,-44.00,
-175.00,-45.50,
-144.00,-45.50,
-144.00,-42.00,
-106.50,-42.00,
-89.00,-33.00,
-67.00,-33.00,
-67.00,-35.00,
-30.00,-35.00,
-25.00,-32.00,
-20.00,-27.00,
-14.00,-27.00,
-14.00,-23.00,
-7.60,-23.00,
-3.00,-7.10,
-2.50,-5.20,
-2.00,-3.30,
-1.50,-1.90,
-1.00,-0.80,
-0.50,-0.20,
0.00,0.00,
0.50,-0.20,
1.00,-0.80,
1.50,-1.90,
2.00,-3.30,
2.50,-5.20,
3.00,-7.10,
7.60,-23.00,
14.00,-23.00,
14.00,-27.00,
20.00,-27.00,
25.00,-32.00,
30.00,-35.00,
67.00,-35.00,
67.00,-33.00,
89.00,-33.00,
106.50,-42.00,
144.00,-42.00,
144.00,-45.50,
175.00,-45.50,
175.00,-44.00,
180.00,-44.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,15
-180.00,-45.50,
-89.00,-45.50,
-89.00,-43.00,
-47.50,-43.00,
-47.50,-44.00,
-9.00,-44.00,
-4.00,-34.00,
0.00,-34.00,
4.00,-34.00,
9.00,-44.00,
47.50,-44.00,
47.50,-43.00,
89.00,-43.00,
89.00,-45.50,
180.00,-45.50,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,43
-180.00,-44.00,
-175.00,-44.00,
-175.00,-45.50,
-144.00,-45.50,
-144.00,-42.00,
-106.50,-42.00,
-89.00,-33.00,
-67.00,-33.00,
-67.00,-35.00,
-30.00,-35.00,
-25.00,-32.00,
-20.00,-27.00,
-14.00,-27.00,
-14.00,-23.00,
-7.60,-23.00,
-3.00,-7.10,
-2.50,-5.20,
-2.00,-3.30,
-1.50,-1.90,
-1.00,-0.80,
-0.50,-0.20,
0.00,0.00,
0.50,-0.20,
1.00,-0.80,
1.50,-1.90,
2.00,-3.30,
2.50,-5.20,
3.00,-7.10,
7.60,-23.00,
14.00,-23.00,
14.00,-27.00,
20.00,-27.00,
25.00,-32.00,
30.00,-35.00,
67.00,-35.00,
67.00,-33.00,
89.00,-33.00,
106.50,-42.00,
144.00,-42.00,
144.00,-45.50,
175.00,-45.50,
175.00,-44.00,
180.00,-44.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,15
-180.00,-45.50,
-89.00,-45.50,
-89.00,-43.00,
-47.50,-43.00,
-47.50,-44.00,
-9.00,-44.00,
-4.00,-34.00,
0.00,-34.00,
4.00,-34.00,
9.00,-44.00,
47.50,-44.00,
47.50,-43.00,
89.00,-43.00,
89.00,-45.50,
180.00,-45.50,
ENDFIL:,EOF
