REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PL12F-17
PATNUM:,2280C
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19820125
LOWFRQ:,1700
HGHFRQ:,2110
GUNITS:,DBI/DBR
LWGAIN:,33.7
MDGAIN:,34.6
HGGAIN:,35.5
AZWIDT:,3.00
ELWIDT:,3.00
ATVSWR:,1.10
FRTOBA:,45.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,43
-180.00,-45.00,
-122.50,-45.00,
-117.50,-41.00,
-112.00,-41.00,
-98.50,-33.00,
-78.00,-33.00,
-53.50,-36.00,
-46.00,-36.00,
-45.00,-35.00,
-21.50,-32.00,
-15.00,-25.00,
-10.00,-22.40,
-7.00,-22.40,
-6.00,-22.00,
-5.00,-22.00,
-4.00,-18.00,
-2.50,-7.00,
-2.00,-4.90,
-1.50,-2.80,
-1.00,-1.30,
-0.50,-0.40,
0.00,0.00,
0.50,-0.40,
1.00,-1.30,
1.50,-2.80,
2.00,-4.90,
2.50,-7.00,
4.00,-18.00,
5.00,-22.00,
6.00,-22.00,
7.00,-22.40,
10.00,-22.40,
15.00,-25.00,
21.50,-32.00,
45.00,-35.00,
46.00,-36.00,
53.50,-36.00,
78.00,-33.00,
98.50,-33.00,
112.00,-41.00,
117.50,-41.00,
122.50,-45.00,
180.00,-45.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,17
-180.00,-48.00,
-172.00,-48.00,
-172.00,-53.00,
-102.50,-53.00,
-97.50,-51.00,
-15.00,-53.00,
-12.00,-53.00,
-3.00,-30.00,
0.00,-30.00,
3.00,-30.00,
12.00,-53.00,
15.00,-53.00,
97.50,-51.00,
102.50,-53.00,
172.00,-53.00,
172.00,-48.00,
180.00,-48.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,43
-180.00,-45.00,
-122.50,-45.00,
-117.50,-41.00,
-112.00,-41.00,
-98.50,-33.00,
-78.00,-33.00,
-53.50,-36.00,
-46.00,-36.00,
-45.00,-35.00,
-21.50,-32.00,
-15.00,-25.00,
-10.00,-22.40,
-7.00,-22.40,
-6.00,-22.00,
-5.00,-22.00,
-4.00,-18.00,
-2.50,-7.00,
-2.00,-4.90,
-1.50,-2.80,
-1.00,-1.30,
-0.50,-0.40,
0.00,0.00,
0.50,-0.40,
1.00,-1.30,
1.50,-2.80,
2.00,-4.90,
2.50,-7.00,
4.00,-18.00,
5.00,-22.00,
6.00,-22.00,
7.00,-22.40,
10.00,-22.40,
15.00,-25.00,
21.50,-32.00,
45.00,-35.00,
46.00,-36.00,
53.50,-36.00,
78.00,-33.00,
98.50,-33.00,
112.00,-41.00,
117.50,-41.00,
122.50,-45.00,
180.00,-45.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.00,-48.00,
-172.00,-48.00,
-172.00,-53.00,
-102.50,-53.00,
-97.50,-51.00,
-15.00,-53.00,
-12.00,-53.00,
-3.00,-30.00,
0.00,-30.00,
3.00,-30.00,
12.00,-53.00,
15.00,-53.00,
97.50,-51.00,
102.50,-53.00,
172.00,-53.00,
172.00,-48.00,
180.00,-48.00,
ENDFIL:,EOF
