REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHPX1-180
PATNUM:,3941
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19940210
LOWFRQ:,17700
HGHFRQ:,19700
GUNITS:,DBI/DBR
LWGAIN:,32.4
MDGAIN:,32.9
HGGAIN:,33.3
AZWIDT:,3.60
ELWIDT:,3.60
ATVSWR:,1.25
FRTOBA:,58.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,73
-180.0,-58.0,
-120.0,-58.0,
-90.0,-58.0,
-70.0,-48.0,
-56.0,-35.0,
-26.0,-29.0,
-15.0,-29.0,
-14.0,-29.0,
-11.0,-21.0,
-6.0,-15.0,
-4.0,-15.0,
-3.9,-14.0,
-3.8,-13.0,
-3.6,-12.0,
-3.5,-11.0,
-3.3,-10.0,
-3.1,-9.0,
-2.9,-8.0,
-2.8,-7.0,
-2.5,-6.0,
-2.3,-5.0,
-2.3,-4.8,
-2.1,-4.2,
-2.0,-3.6,
-1.8,-3.0,
-1.6,-2.4,
-1.4,-1.8,
-1.1,-1.2,
-0.8,-0.6,
-0.6,-0.3,
-0.6,-0.3,
-0.5,-0.3,
-0.5,-0.2,
-0.4,-0.2,
-0.3,-0.1,
-0.2,-0.1,
0.0,0.0,
0.2,-0.1,
0.3,-0.1,
0.4,-0.2,
0.5,-0.2,
0.5,-0.3,
0.6,-0.3,
0.6,-0.3,
0.8,-0.6,
1.1,-1.2,
1.4,-1.8,
1.6,-2.4,
1.8,-3.0,
2.0,-3.6,
2.1,-4.2,
2.3,-4.8,
2.3,-5.0,
2.5,-6.0,
2.8,-7.0,
2.9,-8.0,
3.1,-9.0,
3.3,-10.0,
3.5,-11.0,
3.6,-12.0,
3.8,-13.0,
3.9,-14.0,
4.0,-15.0,
6.0,-15.0,
11.0,-21.0,
14.0,-29.0,
15.0,-29.0,
26.0,-29.0,
56.0,-35.0,
70.0,-48.0,
90.0,-58.0,
120.0,-58.0,
180.0,-58.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,19
-180.0,-62.0,
-70.0,-62.0,
-53.0,-54.0,
-28.0,-41.0,
-15.0,-41.0,
-10.0,-41.0,
-9.0,-39.0,
-5.0,-39.0,
-2.5,-30.0,
0.0,-30.0,
2.5,-30.0,
5.0,-39.0,
9.0,-39.0,
10.0,-41.0,
15.0,-41.0,
28.0,-41.0,
53.0,-54.0,
70.0,-62.0,
180.0,-62.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,79
-180.0,-58.0,
-80.0,-58.0,
-56.0,-47.0,
-38.0,-38.0,
-26.0,-38.0,
-21.0,-31.0,
-15.0,-25.0,
-10.0,-23.0,
-6.0,-19.0,
-4.5,-19.0,
-4.4,-18.0,
-4.3,-17.0,
-4.2,-16.0,
-4.0,-15.0,
-3.9,-14.0,
-3.8,-13.0,
-3.6,-12.0,
-3.5,-11.0,
-3.3,-10.0,
-3.1,-9.0,
-2.9,-8.0,
-2.8,-7.0,
-2.5,-6.0,
-2.3,-5.0,
-2.3,-4.8,
-2.1,-4.2,
-2.0,-3.6,
-1.8,-3.0,
-1.6,-2.4,
-1.4,-1.8,
-1.1,-1.2,
-0.8,-0.6,
-0.6,-0.3,
-0.6,-0.3,
-0.5,-0.3,
-0.5,-0.2,
-0.4,-0.2,
-0.3,-0.1,
-0.2,-0.1,
0.0,0.0,
0.2,-0.1,
0.3,-0.1,
0.4,-0.2,
0.5,-0.2,
0.5,-0.3,
0.6,-0.3,
0.6,-0.3,
0.8,-0.6,
1.1,-1.2,
1.4,-1.8,
1.6,-2.4,
1.8,-3.0,
2.0,-3.6,
2.1,-4.2,
2.3,-4.8,
2.3,-5.0,
2.5,-6.0,
2.8,-7.0,
2.9,-8.0,
3.1,-9.0,
3.3,-10.0,
3.5,-11.0,
3.6,-12.0,
3.8,-13.0,
3.9,-14.0,
4.0,-15.0,
4.2,-16.0,
4.3,-17.0,
4.4,-18.0,
4.5,-19.0,
6.0,-19.0,
10.0,-23.0,
15.0,-25.0,
21.0,-31.0,
26.0,-38.0,
38.0,-38.0,
56.0,-47.0,
80.0,-58.0,
180.0,-58.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,19
-180.0,-64.0,
-75.0,-64.0,
-52.0,-47.0,
-29.0,-46.0,
-15.0,-46.0,
-13.0,-46.0,
-9.5,-39.0,
-5.0,-39.0,
-2.5,-30.0,
0.0,-30.0,
2.5,-30.0,
5.0,-39.0,
9.5,-39.0,
13.0,-46.0,
15.0,-46.0,
29.0,-46.0,
52.0,-47.0,
75.0,-64.0,
180.0,-64.0,
ENDFIL:,EOF
