REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HSX1-180
PATNUM:,2051
FEDORN:,LEFT 
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19940410
LOWFRQ:,17700
HGHFRQ:,19700
GUNITS:,DBI/DBR
LWGAIN:,32.4
MDGAIN:,33.0
HGGAIN:,33.5
AZWIDT:,3.60
ELWIDT:,3.60
ATVSWR:,1.14
FRTOBA:,60.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,74
-180.00,-64.00,
-107.00,-64.00,
-75.00,-52.00,
-25.00,-35.00,
-16.00,-34.00,
-15.00,-30.00,
-6.00,-18.00,
-4.40,-18.00,
-4.30,-17.00,
-4.20,-16.00,
-4.00,-15.00,
-3.90,-14.00,
-3.80,-13.00,
-3.60,-12.00,
-3.50,-11.00,
-3.30,-10.00,
-3.10,-9.00,
-2.90,-8.00,
-2.80,-7.00,
-2.60,-6.00,
-2.30,-5.00,
-2.30,-4.80,
-2.10,-4.20,
-2.00,-3.60,
-1.80,-3.00,
-1.60,-2.40,
-1.40,-1.80,
-1.10,-1.20,
-0.80,-0.60,
-0.60,-0.40,
-0.60,-0.30,
-0.50,-0.30,
-0.50,-0.20,
-0.40,-0.20,
-0.40,-0.10,
-0.20,-0.10,
0.00,0.00,
0.20,-0.10,
0.30,-0.10,
0.40,-0.20,
0.50,-0.20,
0.50,-0.30,
0.60,-0.30,
0.60,-0.40,
0.80,-0.60,
1.10,-1.20,
1.40,-1.80,
1.60,-2.40,
1.80,-3.00,
2.00,-3.60,
2.10,-4.20,
2.30,-4.80,
2.30,-5.00,
2.60,-6.00,
2.80,-7.00,
2.90,-8.00,
3.10,-9.00,
3.30,-10.00,
3.50,-11.00,
3.60,-12.00,
3.80,-13.00,
3.90,-14.00,
4.00,-15.00,
4.20,-16.00,
4.30,-17.00,
4.40,-18.00,
6.00,-18.00,
15.00,-30.00,
18.00,-34.00,
30.00,-35.00,
55.00,-40.00,
75.00,-52.00,
105.00,-64.00,
180.00,-64.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,13
-180.00,-64.00,
-60.00,-64.00,
-50.00,-51.00,
-15.00,-46.00,
-10.00,-46.00,
-2.50,-34.00,
0.00,-34.00,
2.50,-34.00,
10.00,-46.00,
15.00,-46.00,
45.00,-48.00,
64.00,-64.00,
180.00,-64.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,73
-180.00,-60.00,
-80.00,-60.00,
-67.00,-46.00,
-60.00,-44.00,
-45.00,-43.00,
-30.00,-33.00,
-15.00,-22.50,
-6.50,-18.00,
-4.40,-18.00,
-4.30,-17.00,
-4.20,-16.00,
-4.00,-15.00,
-3.90,-14.00,
-3.80,-13.00,
-3.60,-12.00,
-3.50,-11.00,
-3.30,-10.00,
-3.10,-9.00,
-2.90,-8.00,
-2.80,-7.00,
-2.60,-6.00,
-2.30,-5.00,
-2.30,-4.80,
-2.10,-4.20,
-2.00,-3.60,
-1.80,-3.00,
-1.60,-2.40,
-1.40,-1.80,
-1.10,-1.20,
-0.80,-0.60,
-0.60,-0.40,
-0.60,-0.30,
-0.50,-0.30,
-0.50,-0.20,
-0.40,-0.20,
-0.30,-0.10,
-0.20,-0.10,
0.00,0.00,
0.20,-0.10,
0.30,-0.10,
0.40,-0.20,
0.50,-0.20,
0.50,-0.30,
0.60,-0.30,
0.60,-0.40,
0.80,-0.60,
1.10,-1.20,
1.40,-1.80,
1.60,-2.40,
1.80,-3.00,
2.00,-3.80,
2.10,-4.20,
2.30,-4.80,
2.30,-5.00,
2.60,-6.00,
2.80,-7.00,
2.90,-8.00,
3.10,-9.00,
3.30,-10.00,
3.50,-11.00,
3.60,-12.00,
3.80,-13.00,
3.90,-14.00,
4.00,-15.00,
4.20,-16.00,
4.30,-17.00,
4.40,-18.00,
6.50,-18.00,
15.00,-22.50,
30.00,-33.00,
60.00,-44.00,
75.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,16
-180.00,-68.00,
-90.00,-68.00,
-80.00,-64.00,
-45.00,-51.00,
-15.00,-50.00,
-7.00,-41.00,
-3.00,-34.00,
0.00,-34.00,
3.00,-34.00,
7.00,-41.00,
15.00,-42.00,
24.00,-42.00,
48.00,-50.00,
80.00,-64.00,
90.00,-68.00,
180.00,-68.00,
ENDFIL:,EOF
