REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HSX2-180
PATNUM:,2052
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19940412
LOWFRQ:,17700
HGHFRQ:,19700
GUNITS:,DBI/DBR
LWGAIN:,38.0
MDGAIN:,38.4
HGGAIN:,38.8
AZWIDT:,1.90
ELWIDT:,1.90
ATVSWR:,1.14
FRTOBA:,64.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,68
-180.00,-64.00,
-80.00,-64.00,
-44.00,-47.00,
-38.00,-42.00,
-30.00,-42.00,
-30.00,-40.00,
-20.00,-37.00,
-15.00,-33.50,
-10.00,-30.00,
-7.00,-26.00,
-5.00,-26.00,
-4.60,-22.00,
-2.50,-20.00,
-2.30,-18.00,
-2.20,-16.00,
-2.10,-14.00,
-1.90,-12.00,
-1.70,-10.00,
-1.60,-8.00,
-1.30,-6.00,
-1.10,-4.00,
-1.00,-3.40,
-0.90,-2.80,
-0.60,-2.20,
-0.70,-1.60,
-0.60,-1.00,
-0.40,-0.40,
-0.30,-0.40,
-0.30,-0.30,
-0.30,-0.20,
-0.20,-0.20,
-0.20,-0.10,
-0.10,-0.10,
0.00,0.00,
0.10,-0.10,
0.20,-0.10,
0.20,-0.20,
0.30,-0.20,
0.30,-0.30,
0.30,-0.40,
0.40,-0.40,
0.60,-1.00,
0.70,-1.60,
0.80,-2.20,
0.90,-2.80,
1.00,-3.40,
1.10,-4.00,
1.30,-6.00,
1.60,-8.00,
1.70,-10.00,
1.90,-12.00,
2.10,-14.00,
2.20,-16.00,
2.30,-18.00,
2.50,-20.00,
4.00,-22.00,
5.00,-26.00,
7.00,-26.00,
10.00,-30.00,
15.00,-33.50,
20.00,-37.00,
30.00,-40.00,
30.00,-42.00,
38.00,-42.00,
44.00,-47.00,
80.00,-64.00,
90.00,-64.00,
180.00,-64.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,17
-180.00,-66.00,
-60.00,-66.00,
-50.00,-52.00,
-36.00,-50.00,
-25.00,-50.00,
-15.00,-47.30,
-10.00,-46.00,
-5.00,-40.00,
-2.00,-36.00,
0.00,-36.00,
2.00,-36.00,
5.00,-40.00,
10.00,-46.00,
15.00,-51.00,
50.00,-52.00,
60.00,-66.00,
180.00,-66.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,68
-180.00,-64.00,
-63.00,-64.00,
-49.00,-48.00,
-35.00,-42.50,
-30.00,-42.00,
-30.00,-38.00,
-26.00,-38.00,
-20.00,-37.00,
-15.00,-33.50,
-10.00,-30.00,
-5.00,-25.00,
-4.00,-22.00,
-2.50,-20.00,
-2.30,-18.00,
-2.20,-16.00,
-2.10,-14.00,
-1.90,-12.00,
-1.70,-10.00,
-1.60,-9.00,
-1.30,-6.00,
-1.10,-4.00,
-1.00,-3.40,
-0.90,-2.80,
-0.80,-2.20,
-0.70,-1.60,
-0.60,-1.00,
-0.40,-0.40,
-0.30,-0.40,
-0.30,-0.30,
-0.30,-0.20,
-0.20,-0.20,
-0.20,-0.10,
-0.10,-0.10,
0.00,0.00,
0.10,-0.10,
0.20,-0.10,
0.20,-0.20,
0.30,-0.20,
0.30,-0.30,
0.30,-0.40,
0.40,-0.40,
0.60,-1.00,
0.70,-1.60,
0.80,-2.20,
0.90,-2.80,
1.00,-3.40,
1.10,-4.00,
1.30,-6.00,
1.60,-8.00,
1.70,-10.00,
1.90,-12.00,
2.10,-14.00,
2.20,-16.00,
2.30,-18.00,
2.50,-20.00,
4.00,-22.00,
5.00,-25.00,
10.00,-30.00,
15.00,-33.50,
20.00,-37.00,
26.00,-38.00,
30.00,-38.00,
30.00,-42.00,
35.00,-42.50,
49.00,-48.00,
63.00,-64.00,
77.00,-64.00,
180.00,-64.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,16
-180.00,-68.00,
-72.00,-68.00,
-36.00,-50.00,
-26.00,-50.00,
-15.00,-47.50,
-10.00,-46.00,
-2.00,-36.00,
0.00,-36.00,
2.00,-36.00,
10.00,-46.00,
15.00,-47.50,
26.00,-50.00,
36.00,-50.00,
72.00,-68.00,
75.00,-68.00,
180.00,-68.00,
ENDFIL:,EOF
