REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHPX2-180A
PATNUM:,3944A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20001031
LOWFRQ:,17700
HGHFRQ:,19700
GUNITS:,DBI/DBR
LWGAIN:,38.0
MDGAIN:,38.4
HGGAIN:,38.8
AZWIDT:,1.90
ELWIDT:,1.90
ATVSWR:,1.25
FRTOBA:,60.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,71
-180.00,-60.00,
-74.00,-60.00,
-50.00,-42.00,
-30.00,-42.00,
-15.00,-35.00,
-10.00,-34.00,
-7.50,-25.00,
-4.50,-25.00,
-3.50,-15.00,
-2.10,-15.00,
-2.00,-14.00,
-2.00,-13.00,
-1.90,-12.00,
-1.80,-11.00,
-1.70,-10.00,
-1.60,-9.00,
-1.50,-8.00,
-1.50,-7.00,
-1.30,-6.00,
-1.20,-5.00,
-1.20,-4.80,
-1.10,-4.20,
-1.00,-3.60,
-0.90,-3.00,
-0.90,-2.40,
-0.70,-1.80,
-0.60,-1.20,
-0.40,-0.60,
-0.30,-0.30,
-0.30,-0.30,
-0.30,-0.30,
-0.30,-0.20,
-0.20,-0.20,
-0.20,-0.10,
-0.10,-0.10,
-0.00,-0.00,
0.10,-0.10,
0.20,-0.10,
0.20,-0.20,
0.30,-0.20,
0.30,-0.30,
0.30,-0.30,
0.30,-0.30,
0.40,-0.60,
0.60,-1.20,
0.70,-1.80,
0.90,-2.40,
0.90,-3.00,
1.00,-3.60,
1.10,-4.20,
1.20,-4.80,
1.20,-5.00,
1.30,-6.00,
1.50,-7.00,
1.50,-8.00,
1.60,-9.00,
1.70,-10.00,
1.80,-11.00,
1.90,-12.00,
2.00,-13.00,
2.00,-14.00,
2.10,-15.00,
3.50,-15.00,
4.50,-25.00,
7.50,-25.00,
10.00,-34.00,
15.00,-35.00,
30.00,-42.00,
50.00,-42.00,
74.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,17
-180.00,-64.00,
-60.00,-64.00,
-50.00,-52.00,
-20.00,-52.00,
-15.00,-45.00,
-10.00,-41.00,
-5.00,-41.00,
-3.00,-32.00,
-0.00,-32.00,
3.00,-32.00,
5.00,-41.00,
10.00,-41.00,
15.00,-45.00,
20.00,-52.00,
50.00,-52.00,
60.00,-64.00,
180.00,-64.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,85
-180.00,-60.00,
-60.00,-60.00,
-46.00,-47.00,
-34.00,-45.00,
-25.00,-41.00,
-18.00,-37.00,
-15.00,-36.00,
-10.00,-34.00,
-7.00,-26.00,
-5.00,-26.00,
-4.00,-20.00,
-2.50,-20.00,
-2.40,-19.00,
-2.30,-18.00,
-2.30,-17.00,
-2.20,-16.00,
-2.10,-15.00,
-2.00,-14.00,
-2.00,-13.00,
-1.90,-12.00,
-1.80,-11.00,
-1.70,-10.00,
-1.60,-9.00,
-1.50,-8.00,
-1.50,-7.00,
-1.30,-6.00,
-1.20,-5.00,
-1.20,-4.80,
-1.10,-4.20,
-1.00,-3.60,
-0.90,-3.00,
-0.90,-2.40,
-0.70,-1.80,
-0.60,-1.20,
-0.40,-0.60,
-0.30,-0.30,
-0.30,-0.30,
-0.30,-0.30,
-0.30,-0.20,
-0.20,-0.20,
-0.20,-0.10,
-0.10,-0.10,
-0.00,-0.00,
0.10,-0.10,
0.20,-0.10,
0.20,-0.20,
0.30,-0.20,
0.30,-0.30,
0.30,-0.30,
0.30,-0.30,
0.40,-0.60,
0.60,-1.20,
0.70,-1.80,
0.90,-2.40,
0.90,-3.00,
1.00,-3.60,
1.10,-4.20,
1.20,-4.80,
1.20,-5.00,
1.30,-6.00,
1.50,-7.00,
1.50,-8.00,
1.60,-9.00,
1.70,-10.00,
1.80,-11.00,
1.90,-12.00,
2.00,-13.00,
2.00,-14.00,
2.10,-15.00,
2.20,-16.00,
2.30,-17.00,
2.30,-18.00,
2.40,-19.00,
2.50,-20.00,
4.00,-20.00,
5.00,-26.00,
7.00,-26.00,
10.00,-34.00,
15.00,-36.00,
18.00,-37.00,
25.00,-41.00,
34.00,-45.00,
46.00,-47.00,
60.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,15
-180.00,-60.00,
-66.00,-60.00,
-55.00,-51.00,
-20.00,-42.00,
-15.00,-42.00,
-6.00,-42.00,
-2.50,-32.00,
-0.00,-32.00,
2.50,-32.00,
6.00,-42.00,
15.00,-42.00,
20.00,-42.00,
55.00,-51.00,
66.00,-60.00,
180.00,-60.00,
ENDFIL:,EOF
