REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHP2-180B
PATNUM:,4347A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20001031
LOWFRQ:,17700
HGHFRQ:,19700
GUNITS:,DBI/DBR
LWGAIN:,38.2
MDGAIN:,38.7
HGGAIN:,39.1
AZWIDT:,1.90
ELWIDT:,1.90
ATVSWR:,1.20
FRTOBA:,60.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,53
-180.00,-60.00,
-80.00,-60.00,
-56.00,-42.00,
-30.00,-42.00,
-27.50,-39.00,
-15.00,-39.00,
-10.00,-33.00,
-7.50,-25.00,
-5.00,-25.00,
-4.00,-20.00,
-3.50,-16.00,
-2.00,-16.00,
-1.70,-9.60,
-1.60,-8.40,
-1.50,-7.50,
-1.40,-6.60,
-1.30,-5.70,
-1.20,-4.80,
-1.00,-3.60,
-0.90,-3.00,
-0.90,-2.70,
-0.80,-2.10,
-0.70,-1.50,
-0.50,-0.90,
-0.40,-0.60,
-0.30,-0.30,
-0.00,-0.00,
0.30,-0.30,
0.40,-0.60,
0.50,-0.90,
0.70,-1.50,
0.80,-2.10,
0.90,-2.70,
0.90,-3.00,
1.00,-3.60,
1.20,-4.80,
1.30,-5.70,
1.40,-6.60,
1.50,-7.50,
1.60,-8.40,
1.70,-9.60,
2.00,-16.00,
3.50,-16.00,
4.00,-20.00,
5.00,-25.00,
7.50,-25.00,
10.00,-33.00,
15.00,-39.00,
27.50,-39.00,
30.00,-42.00,
56.00,-42.00,
80.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,13
-180.00,-65.00,
-70.00,-65.00,
-31.00,-47.00,
-15.00,-46.00,
-5.00,-46.00,
-3.00,-32.00,
-0.00,-32.00,
3.00,-32.00,
5.00,-46.00,
15.00,-46.00,
31.00,-47.00,
70.00,-65.00,
180.00,-65.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,59
-180.00,-60.00,
-70.00,-60.00,
-55.00,-44.00,
-30.00,-42.00,
-20.00,-36.00,
-15.00,-33.00,
-10.00,-31.00,
-8.00,-25.00,
-4.50,-25.00,
-3.50,-20.00,
-2.30,-20.00,
-2.20,-18.00,
-2.10,-16.00,
-2.00,-14.00,
-1.90,-12.00,
-1.70,-9.60,
-1.60,-8.40,
-1.50,-7.50,
-1.40,-6.60,
-1.30,-5.70,
-1.20,-4.80,
-1.00,-3.60,
-0.90,-3.00,
-0.90,-2.70,
-0.80,-2.10,
-0.70,-1.50,
-0.50,-0.90,
-0.40,-0.60,
-0.30,-0.30,
-0.00,-0.00,
0.30,-0.30,
0.40,-0.60,
0.50,-0.90,
0.70,-1.50,
0.80,-2.10,
0.90,-2.70,
0.90,-3.00,
1.00,-3.60,
1.20,-4.80,
1.30,-5.70,
1.40,-6.60,
1.50,-7.50,
1.60,-8.40,
1.70,-9.60,
1.90,-12.00,
2.00,-14.00,
2.10,-16.00,
2.20,-18.00,
2.30,-20.00,
3.50,-20.00,
4.50,-25.00,
8.00,-25.00,
10.00,-31.00,
15.00,-33.00,
20.00,-36.00,
30.00,-42.00,
55.00,-44.00,
70.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,11
-180.00,-60.00,
-60.00,-60.00,
-20.00,-46.00,
-5.00,-46.00,
-3.00,-32.00,
-0.00,-32.00,
3.00,-32.00,
5.00,-46.00,
20.00,-46.00,
60.00,-60.00,
180.00,-60.00,
ENDFIL:,EOF
